race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,satellite_radio_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime,short_name
5218,3,2022,NextEra Energy 250,1,TRUE,105,Daytona International Speedway,2022-02-18T19:30:00,2022-02-18T19:30:00,2022-02-18T19:30:00,2022-02-18T19:30:00,250,265,100,106,20,20,66,36,4235,179.122,18,10,7,27,129.146,2:03:07,Under Caution,0,"Zane Smith has won the NextEra Energy 250 at Daytona International Speedway, his fourth career victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: Nos. 56 (engine change), #30, 22 (Unapproved Adjustments), #75 (Missing Driver Intros). ",0,MRN,FS1,SIRIUSXM,3020,TRUE,0,FALSE,0,-1,FALSE,4272,NA,Daytona
5219,3,2022,Victoria's Voice Foundation 200,1,FALSE,42,Las Vegas Motor Speedway,2022-03-04T21:00:00,2022-03-04T18:00:00,2022-03-04T18:00:00,2022-03-04T21:00:00,201,201,134,134,30,30,74,36,4092,178.583,21,10,10,52,93.223,2:09:22,0.289,0,"Chandler Smith won the Victoria's Voice 200 presented by Westgate Resorts at Las Vegas Motor Speedway, his third career NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reasons indicated: No. 3 and 19 (unapproved adjustments) and No. 46 (Driver Change).",0,MRN,FS1,SIRIUSXM,4103,TRUE,0,FALSE,0,-1,FALSE,4312,NA,Las Vegas
5220,3,2022,Fr8 208,1,FALSE,111,Atlanta Motor Speedway,2022-03-19T14:30:00,2022-03-19T14:30:00,1900-01-01T00:00:00,2022-03-19T14:30:00,208,207.9,135,135,30,30,75,36,0,0,18,10,7,40,109.182,1:54:15,0.173,0,"Corey Heim won the FR8 208 at Atlanta Motor Speedway, his first career NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reason indicated: No. 3, 4, 43, 61, and 66 (unapproved adjustments).",0,MRN,FS1,SIRIUSXM,4475,TRUE,0,FALSE,0,-1,FALSE,4387,NA,Atlanta
5221,3,2022,XPEL 225,1,FALSE,214,Circuit of The Americas,2022-03-26T13:00:00,2022-03-26T12:00:00,2022-03-26T12:00:00,2022-03-26T13:00:00,143.22,157.596,42,46,12,14,20,36,4204,90.985,10,6,8,12,64.908,2:25:00,3.529,0,"Zane Smith has won the XPEL 225 at the Circuit of The Americas, his fifth career victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason(s) indicated: Nos. 20, 4, 44, 02, 88, 37, 45, 24, 9, 30, 43, 33, 46, 25 (Unapproved Adjustments).  ",0,MRN,FS1,SIRIUSXM,5129,TRUE,0,FALSE,0,-1,FALSE,4272,NA,COTA
5222,3,2022,Blue-Emu Maximum Pain Relief 200,1,FALSE,22,Martinsville Speedway,2022-04-07T20:00:00,2022-04-07T20:00:00,2022-04-07T20:00:00,2022-04-07T20:00:00,105,105.2,200,200,50,50,100,36,4272,0,9,6,11,71,58.662,1:47:36,1.138,0,"William Byron has won the Blu-Emu Maximum Pain Relief 200 at Martinsville Speedway, his 8th career victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason(s) indicated: Nos. 20 (Unapproved Adjustments).",0,MRN,FS1,SIRIUSXM,3112,TRUE,0,FALSE,0,-1,FALSE,4184,NA,Martinsville
5223,3,2022,Pinty’s Truck Race on Dirt,1,FALSE,216,Bristol Motor Speedway Dirt,2022-04-16T20:00:00,2022-04-16T20:00:00,2022-04-16T20:00:00,2022-04-16T20:00:00,75,75,150,150,40,50,60,36,3859,0,3,2,8,43,45.957,1:37:55,0.824,0,"Ben Rhodes has won the Pinty's Truck Race on Dirt at Bristol Motor Speedway Dirt, his sixth career victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason(s) indicated: Nos. 1 (Backup truck), 49 (Unapproved Adjustments).",0,MRN,FS1,SIRIUSXM,3105,TRUE,0,FALSE,0,-1,FALSE,4107,NA,Bristol Dirt
5224,3,2022,Dead On Tools 200,1,FALSE,4,Darlington Raceway,2022-05-06T19:30:00,2022-05-06T19:30:00,2022-05-06T19:30:00,2022-05-06T19:30:00,200.8,203.534,147,149,45,45,59,36,4092,171.232,16,9,10,54,91.625,2:13:17,.552,0,"John Hunter Nemechek won the 3rd running of the Dead On Tools 200 at Darlington Raceway, his 12th victory in the NASCAR Camping World Truck Series Series. Prior to the start of the race, the following truck dropped to the rear of the field under penalty for the reasons indicated: No. 30 (unapproved adjustments).",0,MRN,FS1,SIRIUSXM,3055,TRUE,0,FALSE,0,-1,FALSE,4092,NA,Darlington
5225,3,2022,Heart Of America 200,1,FALSE,41,Kansas Speedway,2022-05-14T20:00:00,2022-05-14T19:00:00,2022-05-14T19:00:00,2022-05-14T20:00:00,201,201,134,134,30,30,74,35,4092,176.644,9,5,4,19,127.709,1:34:26,1.653,0,"Zane Smith won the Heart of America 200 at Kansas Speedway, his sixth NASCAR Camping World Truck Series victory. Prior to the start of the race the following trucks dropped to the rear of the field under penalty for the reason indicated: #30, #25 (unapproved adjustments), #52 (driver change).",0,MRN,FS1,SIRIUSXM,3055,TRUE,0,FALSE,0,-1,FALSE,4272,NA,Kansas
5226,3,2022,SpeedyCash.com 220,1,FALSE,43,Texas Motor Speedway,2022-05-20T20:30:00,2022-05-20T19:30:00,2022-05-20T19:30:00,2022-05-20T20:30:00,220.5,223.5,147,149,35,35,79,36,4092,182.359,18,7,7,36,116.575,1:55:02,0.122,0,"Stewart Friesen has won the SpeedyCash.com  220 at Texas Motor Speedway, his third career victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: Nos. 4, 3, 22, 32, 23, 33 (Unapproved Adjustments), No. 91 (Backup Truck). ",0,MRN,FS1,SIRIUSXM,4095,TRUE,0,FALSE,0,-1,FALSE,4205,NA,Texas
5227,3,2022,North Carolina Education Lottery 200,1,FALSE,162,Charlotte Motor Speedway,2022-05-27T20:30:00,2022-05-27T20:30:00,2022-05-27T20:30:00,2022-05-27T20:30:00,200,214.5,134,143,30,30,83,35,4235,178.312,15,9,5,25,125.827,1:42:17,0.102,0,"Ross Chastain won the North Carolina Education Lottery 200 at Charlotte Motor Speedway, his fourth career NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reasons indicated: No. 1 and 22 (unapproved adjustments).",0,MRN,FS1,SIRIUSXM,3094,TRUE,0,FALSE,0,-1,FALSE,4001,NA,Charlotte
