race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,pole_winner_laptime,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,short_name
4747,3,2018,NextEra Energy Resources 250,1,FALSE,105,Daytona International Speedway,2018-02-16T19:30:00,2018-02-16T19:30:00,0001-01-01T00:00:00,250,250,100,100,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3020,Daytona
4748,3,2018,Active Pest Control 200,1,FALSE,111,Atlanta Motor Speedway,2018-02-24T16:30:00,2018-02-24T16:30:00,0001-01-01T00:00:00,200,200,130,130,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,4475,Atlanta
4749,3,2018,Alpha Energy Solutions 250,1,FALSE,22,Martinsville Speedway,2018-03-24T14:00:00,2018-03-24T14:00:00,0001-01-01T00:00:00,131.5,131.5,250,250,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,2913,Martinsville
4750,3,2018,Toyota Tundra 250,1,FALSE,41,Kansas Speedway,2018-05-11T20:30:00,2018-05-11T20:30:00,0001-01-01T00:00:00,250.5,250.5,167,167,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3055,Kansas
4751,3,2018,North Carolina Education Lottery 200,1,FALSE,162,Charlotte Motor Speedway,2018-05-18T20:30:00,2018-05-18T20:30:00,0001-01-01T00:00:00,201,201,134,134,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3094,Charlotte
4752,3,2018,Bar Harbor 200 presented by Sea Watch International,1,FALSE,103,Dover International Speedway,2018-05-04T17:00:00,2018-05-04T17:00:00,0001-01-01T00:00:00,200,200,200,200,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3041,Dover
4753,3,2018,Rattlesnake 400,1,FALSE,43,Texas Motor Speedway,2018-06-08T21:00:00,2018-06-08T21:00:00,0001-01-01T00:00:00,250.5,250.5,167,167,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,4095,Texas
4754,3,2018,Drivin' for Linemen 200,1,FALSE,45,Gateway Motorsports Park,2018-06-23T20:30:00,2018-06-23T20:30:00,0001-01-01T00:00:00,200,200,100,100,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,4376,Gateway
4755,3,2018,Iowa 200,1,FALSE,206,Iowa Speedway,2018-06-16T19:00:00,2018-06-16T19:00:00,0001-01-01T00:00:00,175,175,200,200,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3715,Iowa
4756,3,2018,Buckle Up In Your Truck 225,1,FALSE,61,Kentucky Speedway,2018-07-12T19:30:00,2018-07-12T19:30:00,0001-01-01T00:00:00,225,225,150,150,0,0,0,32,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,3994,Kentucky
