race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,pole_winner_laptime,short_name
4747,3,2018,NextEra Energy Resources 250,1,FALSE,105,Daytona International Speedway,2018-02-16T19:30:00,2018-02-16T19:30:00,2018-02-16T00:00:00,250,250,100,100,20,20,60,32,1202,183.61,21,10,7,35,120.385,02:04:36,0.098,0,"Johnny Sauter won the NextEra Energy Resources 250 at Daytona International Speedway, his 18th NASCAR Camping World Truck Series win. Prior to the start of the race, the following trucks dropped to the rear of the field under penalty: Nos. 3, 7, 39, 75 (unapproved adjustments).",0,MRN,FS1,3020,NA,Daytona
4748,3,2018,Active Pest Control 200 benefiting Children’s Healthcare of Atlanta,1,FALSE,111,Atlanta Motor Speedway,2018-02-24T16:30:00,2018-02-24T16:30:00,2018-02-24T00:00:00,200,206.36,130,134,40,40,54,32,454,179.743,9,6,5,24,123.816,01:40:00,1.326,0,"Brett Moffitt won the Active Pest Control 200 at Atlanta Motor Speedway, his second career NASCAR Camping World Truck Series victory. Prior to the green flag, the following trucks dropped to the rear of the field under penalty for the reasons indicated: #1 and #3 (unapproved adjustments).",0,MRN,FS1,4475,NA,Atlanta
4763,3,2018,Stratosphere 200,1,FALSE,42,Las Vegas Motor Speedway,2018-03-02T21:00:00,2018-03-02T21:00:00,2018-03-02T00:00:00,200,201,134,134,30,30,74,32,454,176.615,14,7,5,25,122.665,01:38:19,0.437,0,"Kyle Busch won the Stratosphere 200 at Las Vegas Motor Speedway, his 50th NASCAR Camping World Truck Series victory. Prior to the start of the race, the following truck(s) dropped to the rear of the field under penalty for the reason indicated: #50, 0, 88 (unapproved adjustments), #1 (tire change), #25, (engine change and unapproved adjustments).",0,MRN,FS1,4103,NA,Las Vegas
4749,3,2018,Alpha Energy Solutions 250,1,FALSE,22,Martinsville Speedway,2018-03-24T14:00:00,2018-03-24T00:00:00,2018-03-24T00:00:00,131.5,131.5,250,250,70,70,110,32,4107,95.942,10,6,10,68,64.628,02:02:05,0.106,0,"John Hunter Nemechek won the Alpha Energy Solutions 250 at Martinsville Speedway, his sixth NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field under penalty for reasons indicated: No. 4 and 10 (engine change), No. 6 (missed drivers meeting), No. 33 (unapproved adjustments).",0,MRN,FS1,2913,NA,Martinsville
4752,3,2018,JEGS 200,1,FALSE,103,Dover International Speedway,2018-05-04T17:00:00,2018-05-04T17:00:00,2018-05-04T00:00:00,200,210,200,210,45,45,120,32,4224,157.66,8,4,7,46,98.386,02:08:04,0.533,0,"Johnny Sauter won the JEGS 200 at Dover International Speedway, his 19th NASCAR Camping World Truck Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for reasons indicated: #22 - unapproved adjustments.",0,MRN,FS1,3041,NA,Dover
4750,3,2018,37 Kind Days 250,1,FALSE,41,Kansas Speedway,2018-05-11T20:30:00,2018-05-11T20:30:00,2018-05-11T00:00:00,250.5,250.5,167,167,40,40,87,32,4224,176.678,13,8,4,21,134.137,01:52:03,1.558,0,"Noah Gragson won the 37 Kind Days 250 at Kansas Speedway, his second NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field under penalty for the reasons indicated: #8 (Unapproved Adjustment - Electrical), #15 (Unapproved Adjustments – Body,) #74 (Unapproved Adjustments – Electrical), #13 (Unapproved Adjustments – Tires).",0,MRN,FS1,3055,NA,Kansas
4751,3,2018,North Carolina Education Lottery 200,1,FALSE,162,Charlotte Motor Speedway,2018-05-18T20:30:00,2018-05-18T20:30:00,1900-01-01T00:00:00,201,201,134,134,30,30,74,32,0,0,11,5,7,36,112.675,01:47:02,1.34,0,"Johnny Sauter won the North Carolina Education Lotttery 200 at Charlotte Motor Speedway, his 20th NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reasons indicated: #22 (Backup truck).",0,MRN,FS1,3094,NA,Charlotte
4753,3,2018,PPG 400,1,FALSE,43,Texas Motor Speedway,2018-06-08T21:00:00,2018-06-08T21:00:00,2018-06-08T00:00:00,250.5,250.5,167,167,40,40,87,32,4205,185.103,12,9,9,44,115.66,02:09:57,0.092,0,"Johnny Sauter won the PPG 400 at Texas Motor Speedway, his 21st NASCAR Camping World Truck Series victory. Prior to the green flag, the following truck(s) dropped to the rear of the field under penalty for the reason indicated: Nos. 25, 50 (unapproved adjustments).",0,MRN,FS1,4095,NA,Texas
4755,3,2018,M&M's 200 presented by Casey's General Store,1,FALSE,206,Iowa Speedway,2018-06-16T19:00:00,2018-06-16T19:00:00,2018-06-16T00:00:00,175,175,200,200,60,60,80,32,4217,133.085,7,7,6,44,89.936,01:56:45,0.333,0,"Brett Moffitt won the M&M's 200 presented by Casey's General Store at Iowa Speedway, his third NASCAR Camping World Truck Series victory. Prior to the green flag, the following truck dropped to the rear of the field under penalty for the reason indicated: No. 04 (unapproved adjustments).",0,MRN,FS1,3715,NA,Iowa
4754,3,2018,Villa Lighting delivers the Eaton 200 presented by CK Power,1,FALSE,45,Gateway Motorsports Park,2018-06-23T20:30:00,2018-06-23T20:30:00,2018-06-23T00:00:00,200,200,100,160,35,35,90,32,3978,138.867,7,7,9,53,85.328,02:20:38,0.753,0,"Justin Haley won the 5th Annual Villa Lighting delivers the Eaton 200 presented by CK Power, his 1st NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reason indicated: No. 33 (unapproved adjustments), No. 41 (backup truck), No. 87 (pitting before the green).",0,MRN,FS1,4376,NA,Gateway
4762,3,2018,Overton’s 225,1,FALSE,39,Chicagoland Speedway,2018-06-29T21:00:00,2018-06-29T21:00:00,2018-06-29T00:00:00,225,225,150,150,35,35,80,32,4224,175.131,17,6,6,29,119.346,01:53:07,5.092,0,"Brett Moffitt won the Overton's 225 at Chicagoland Speedway, his fourth victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following trucks dropped to the rear of the field under penalty for the reasons indicated: Nos. 49, 0 (unapproved adjustments).",0,MRN,FS1,3714,NA,Chicagoland
4756,3,2018,Buckle Up in Your Truck 225,1,FALSE,61,Kentucky Speedway,2018-07-12T19:30:00,2018-07-12T19:30:00,2018-07-12T00:00:00,225,225,150,150,35,35,80,32,4224,183.955,11,5,3,14,146.739,01:32:00,0.922,0,"Ben Rhodes won the Buckle Up in Your Truck 225 at Kentucky Speedway, his second victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following trucks dropped to the rear of the field under penalty for the reasons indicated: No. 8 (unapproved adjustments), No. 13 (backup truck) and #52 (engine change).",0,MRN,FS1,3994,NA,Kentucky
4757,3,2018,Eldora Dirt Derby,1,FALSE,208,Eldora Speedway,2018-07-18T21:00:00,2018-07-18T21:00:00,2018-07-18T00:00:00,75,76.5,150,153,40,50,63,32,4107,86.801,7,5,9,41,46.131,01:39:30,0.038,0,"Chase Briscoe won the Eldora Dirt Derby, his second NASCAR Camping World Truck Series victory. Prior to the start of the race, the following trucks dropped to the rear of the field for the reason indicated: No. 49 (unapproved adjustments).",0,MRN,FS1,4363,NA,Eldora
4758,3,2018,Gander Outdoors 150,1,FALSE,198,Pocono Raceway,2018-07-28T13:00:00,2018-07-28T13:00:00,2018-07-28T00:00:00,125,150,50,60,15,15,30,32,454,170.345,9,6,2,8,136.813,01:05:47,1.469,0,"Kyle Busch won the 9th annual Gander Outdoors 150 at Pocono Raceway, his 51st victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 18, 52, 10, 02 (unapproved adjustments); No. 16 (engine change); No. 41 (backup car).",0,MRN,FS1,3822,NA,Pocono
4759,3,2018,Corrigan Oil 200,1,FALSE,133,Michigan International Speedway,2018-08-11T13:00:00,2018-08-11T13:00:00,2018-08-11T00:00:00,200,200,100,100,20,20,60,32,4092,184.044,16,9,5,22,130.175,01:32:11,0.025,0,"Brett Moffitt won the 19th annual Corrigan Oil 200 at Michigan International Speedway, his 5th victory in the NASCAR Camping World Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 51, 81 (tire change), 20, 24 (engine change).",0,MRN,FS1,3010,NA,Michigan
