race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime,short_name
5121,3,2021,NextEra Energy 250,1,TRUE,105,Daytona International Speedway,2021-02-12T19:30:00,2021-02-12T19:30:00,2021-02-12T19:30:00,2021-02-12T19:30:00,250,252.5,100,101,20,20,61,36,2911,180.966,31,12,10,43,107.791,2:20:33,.036,0,"Ben Rhodes won the NextEra Energy 250 at Daytona International Speedway, his fourth victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field for the reasons indicated: No. 19 (unapproved adjustments). ",0,MRN,FS1,3020,TRUE,0,FALSE,0,-1,TRUE,4107,NA,Daytona
5122,3,2021,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,1,FALSE,212,DAYTONA Road Course,2021-02-19T19:30:00,2021-02-19T19:30:00,1900-01-01T00:00:00,2021-02-19T19:30:00,159,184.11,44,51,12,13,26,40,0,0,9,6,10,20,67.044,2:44:46,Caution,0,"Ben Rhodes has won the BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly at the Daytona International Speedway Road Course, his fifth victory in the NASCAR Camping  World Truck Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field. ",0,MRN,FS1,4996,TRUE,0,FALSE,0,-1,FALSE,4107,NA,Daytona Road
5123,3,2021,Bucked Up 200,1,FALSE,42,Las Vegas Motor Speedway,2021-03-05T21:00:00,2021-03-05T18:00:00,1900-01-01T00:00:00,2021-03-05T21:00:00,201,201,134,134,30,30,74,40,0,0,9,5,9,48,96.134,2:05:27,.686,0,"John Hunter Nemechek has won the Bucked Up 200 at Las Vegas Motor Speedway, his seventh victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field for the reasons indicated: No. 02 (unapproved adjustments).  ",0,MRN,FS1,4103,TRUE,0,FALSE,0,-1,FALSE,4092,NA,Las Vegas
5124,3,2021,Fr8Auctions 200,1,FALSE,111,Atlanta Motor Speedway,2021-03-20T14:30:00,2021-03-20T14:30:00,1900-01-01T00:00:00,2021-03-20T14:30:00,200,200.2,130,130,30,30,70,40,0,0,8,4,3,16,133.888,1:29:43,4.133,0,"Kyle Busch won the 13th running of the Fr8Auctions 200 at Atlanta Motor Speedway, his 60th victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 45 (engine change), 02 (driver change). ",0,MRN,FS1,4475,TRUE,0,FALSE,0,-1,FALSE,454,NA,Atlanta
5125,3,2021,Pinty's Truck Race on Dirt,1,FALSE,216,Bristol Motor Speedway Dirt,2021-03-27T20:00:00,2021-03-29T12:00:00,1900-01-01T00:00:00,2021-03-29T12:00:00,75,75,150,150,40,50,60,40,0,0,11,6,12,56,41.096,1:49:30,1.149,0,"Martin Truex Jr. has won the Pinty's Truck Race on Dirt at Bristol Motor Speedway Dirt, his first victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: #10 (Unapproved Adjustments). ",0,MRN,FS1,3105,TRUE,0,FALSE,0,-1,TRUE,3368,NA,Bristol Dirt
5126,3,2021,ToyotaCare 250,1,FALSE,26,Richmond Raceway,2021-04-17T13:30:00,2021-04-17T13:30:00,1900-01-01T00:00:00,2021-04-17T13:30:00,187.5,187.5,250,250,70,70,110,40,0,0,9,6,11,79,77.072,2:25:58,0.307,0,"John Hunter Nemechek won the ToyotaCare 250 at Richmond Raceway, his 8th NASCAR Camping World Truck Series victory. Prior to the start of the race the following trucks dropped to the rear of the field under penalty for the reason indicated: #49 (driver change), #34 (unapproved adjustments).",0,MRN,FS1,5004,TRUE,0,FALSE,0,-1,FALSE,4092,NA,Richmond
5127,3,2021,Wise Power 200,1,FALSE,41,Kansas Speedway,2021-05-01T19:30:00,2021-05-01T18:30:00,1900-01-01T00:00:00,2021-05-01T19:30:00,200,210,134,140,30,30,80,40,0,0,14,7,5,25,119.582,1:45:22,.665,0,"Kyle Busch has won the Wise Power 200 at Kansas Speedway, his 61st victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: Nos. 34, 45 (driver change). ",0,MRN,FS1,3055,TRUE,0,FALSE,0,-1,FALSE,454,NA,Kansas
5128,3,2021,LiftKits4Less.com 200,1,FALSE,4,Darlington Raceway,2021-05-07T19:30:00,2021-05-07T19:30:00,1900-01-01T00:00:00,2021-05-07T19:30:00,200.8,200.8,147,147,45,45,57,40,0,0,20,12,12,66,81.041,2:28:40,Caution,0,"Sheldon Creed won the 2nd running of the Liftkits4less.com 200 at Darlington Raceway, his sixth victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following truck dropped to the rear of the field under penalty for the reasons indicated: No. 34 (missing the rookie meeting).",0,MRN,FS1,3055,TRUE,0,FALSE,0,-1,FALSE,4204,NA,Darlington
5129,3,2021,Toyota Tundra 225,1,FALSE,214,Circuit of The Americas,2021-05-22T13:00:00,2021-05-22T12:00:00,2021-05-22T00:00:00,2021-05-22T13:00:00,140.47,140.47,41,41,12,14,15,36,4296,75.041,8,6,2,2,70.79,1:58:30,7.941,0,"Todd Gilliland won the Toyota Tundra 225, his second career NASCAR Camping World Truck Series victory. Prior to the start of the race the following trucks dropped to the rear of the field for the reasons indicated: Nos. 15 and 40 (engine change), No. 34 (transmission change) and No. 22 and 23 (unapproved adjustments).",0,MRN,FS1,5129,TRUE,0,FALSE,0,-1,TRUE,4231,NA,COTA
5130,3,2021,North Carolina Education Lottery 200,1,FALSE,162,Charlotte Motor Speedway,2021-05-28T20:30:00,2021-05-28T20:30:00,1900-01-01T00:00:00,2021-05-28T20:30:00,200,201,134,134,30,30,74,38,0,0,12,9,5,31,114.331,1:45:29,0.419,0,"John Hunter Nemechek has won the North Carolina Education Lottery 200 at Charlotte Motor Speedway, his ninth victory in the NASCAR Camping World Truck Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: Nos. 51, 25 (Backup Trucks).",0,MRN,FS1,3094,TRUE,0,FALSE,0,-1,TRUE,4092,NA,Charlotte
