vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,race_id
34,Michael McDowell,Ford,262,258,1,1,10666.31,10703.391,37.081,10681.6419,10692.1523,10.5103,15.3319,11.2386,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4676
19,Daniel Suarez,Toyota,250,247,2,2,10215.116,10357.633,142.5169,10249.7054,10350.2813,100.5759,34.5894,7.3516,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,4676
1,Jamie McMurray,Chevrolet,249,249,2,2,10132.414,10174.051,41.6369,10149.2701,10163.3174,14.0472,16.8561,10.7335,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
95,Regan Smith,Chevrolet,249,222,2,2,10122.838,10165.293,42.4549,10142.1631,10157.8119,15.6488,19.3251,7.481,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
20,Erik Jones,Toyota,249,246,2,2,10122.082,10208.101,86.019,10139.8608,10198.8808,59.0199,17.7788,9.2201,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
88,Alex Bowman,Chevrolet,249,245,2,2,10116.373,10177.733,61.36,10136.7244,10171.6256,34.9012,20.3514,6.1073,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
19,Daniel Suarez,Toyota,249,246,2,2,10079.4599,10135.58,56.12,10099.5856,10128.2783,28.6927,20.1256,7.3016,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4676
42,Kyle Larson,Chevrolet,248,248,2,2,10024.89,10065.199,40.309,10039.3582,10053.272,13.9138,14.4682,11.9269,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
31,Ryan Newman,Chevrolet,248,248,2,2,10024.536,10064.975,40.439,10037.2895,10051.9047,14.6152,12.7535,13.0702,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
12,Ryan Blaney,Ford,248,248,2,2,10024.242,10065.181,40.939,10046.165,10061.0464,14.8814,21.923,4.1345,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
17,Ricky Stenhouse Jr.,Ford,248,248,2,2,10023.597,10065.171,41.574,10032.418,10047.8006,15.3826,8.821,17.3703,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
3,Austin Dillon,Chevrolet,248,248,2,2,10022.579,10063.209,40.63,10032.3512,10046.532,14.1807,9.7722,16.6769,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
41,Kurt Busch,Ford,248,248,2,2,10022.325,10063.075,40.75,10029.9822,10044.4299,14.4476,7.6572,18.645,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
2,Brad Keselowski,Ford,248,248,2,2,10021.843,10061.261,39.4179,10026.3119,10039.9922,13.6802,4.4689,21.2687,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
14,Clint Bowyer,Ford,248,248,2,2,10021.615,10063.479,41.8639,10032.6849,10048.2391,15.5541,11.0699,15.2398,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
10,Aric Almirola,Ford,248,248,2,2,10021.251,10061.797,40.546,10039.7586,10054.0061,14.2474,18.5076,7.7908,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
9,Chase Elliott,Chevrolet,248,248,2,2,10020.771,10061.021,40.25,10027.4464,10041.3268,13.8804,6.6754,19.6941,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
11,Denny Hamlin,Toyota,248,248,2,2,10020.418,10061.663,41.245,10042.4279,10057.9767,15.5487,22.0099,3.6862,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
48,Jimmie Johnson,Chevrolet,248,248,2,2,10020.128,10062.131,42.0029,10032.3846,10048.1009,15.7163,12.2566,14.03,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4676
