vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
1,Ross Chastain,Chevrolet,38,37,1,1,1802.981,1838.473,35.4919,1818.6043,1831.8172,13.2128,15.6233,6.6557,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,18,21,-3,5146
10,Aric Almirola,Ford,37,36,1,1,1756.792,1789.417,32.625,1769.154,1778.9032,9.7492,12.362,10.5137,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,31,33,-2,5146
10,Aric Almirola,Ford,43,42,2,2,2258.794,2288.134,29.34,2270.9354,2277.175,6.2395,12.1414,10.9589,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,21,26,-5,5146
10,Aric Almirola,Ford,53,52,2,2,2969.104,3004.628,35.524,2980.6581,2993.9044,13.2462,11.5541,10.7235,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,25,29,-4,5146
10,Aric Almirola,Ford,67,67,2,2,4347.7479,4383.151,35.403,4359.7286,4372.8415,13.1129,11.9806,10.3094,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,20,17,3,5146
10,Aric Almirola,Ford,107,107,1,1,6478.303,6507.658,29.355,6492.1292,6497.1008,4.9715,13.8262,10.5571,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,17,15,2,5146
10,Aric Almirola,Ford,132,132,2,2,7851.892,7888.815,36.9229,7863.6624,7878.4769,14.8145,11.7704,10.338,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,15,7,8,5146
10,Aric Almirola,Ford,155,155,2,2,9604.1209,9640.2369,36.1159,9615.4839,9629.9649,14.481,11.3629,10.272,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,10,13,-3,5146
10,Aric Almirola,Ford,157,157,2,2,9869.805,9894.2279,24.4229,9881.6848,9883.8536,2.1687,11.8798,10.3743,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,11,12,-1,5146
11,Denny Hamlin,Toyota,38,37,1,1,1802.205,1831.77,29.565,1818.7044,1825.8112,7.1067,16.4994,5.9587,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,14,9,5,5146
11,Denny Hamlin,Toyota,63,62,2,2,3746.676,0,0,3770.1279,3785.1279,15,23.4519,0,ONE_WHEEL_CHANGE,FALSE,FALSE,FALSE,TRUE,0,0,28,28,0,5146
12,Ryan Blaney,Ford,37,36,1,1,1754.725,1786.039,31.314,1773.6584,1783.3675,9.709,18.9334,2.6714,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,27,27,0,5146
12,Ryan Blaney,Ford,53,52,2,2,2967.648,3067.351,99.7029,2986.6306,3064.8067,78.1761,18.9826,2.5442,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,22,36,-14,5146
12,Ryan Blaney,Ford,67,67,2,2,4347.385,4373.441,26.0559,4366.4686,4370.7061,4.2375,19.0836,2.7348,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,19,5,14,5146
12,Ryan Blaney,Ford,107,107,1,1,6475.575,6505.513,29.938,6494.5306,6502.8053,8.2747,18.9556,2.7076,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,1,8,-7,5146
12,Ryan Blaney,Ford,132,132,2,2,7849.812,7889.222,39.4099,7869.1011,7886.5849,17.4838,19.2891,2.637,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,11,9,2,5146
12,Ryan Blaney,Ford,155,155,2,2,9602.91,9632.028,29.118,9621.8902,9629.064,7.1737,18.9802,2.9639,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4,7,-3,5146
14,Chase Briscoe,Ford,37,36,1,1,1757.017,1788.582,31.565,1765.5505,1774.626,9.0754,8.5335,13.9559,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,32,31,1,5146
