vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,race_id
95,Christopher Bell #,Toyota,207,205,1,1,13243.633,0,0,13247.6313,13262.6313,15,3.9983,0,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4871
14,Clint Bowyer,Ford,205,204,2,2,13025.68,13093.62,67.94,13038.5574,13081.6668,43.1094,12.8774,11.9531,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4871
16,* Justin Haley(i),Chevrolet,205,204,2,2,13019.513,13083.172,63.6589,13025.2109,13065.4841,40.2731,5.6979,17.6878,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4871
34,Michael McDowell,Ford,204,204,2,2,12965.3619,13095.223,129.861,12978.7632,13084.8345,106.0712,13.4012,10.3884,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4871
95,Christopher Bell #,Toyota,204,203,2,2,12919.3,12990.233,70.933,12932.5162,12973.1557,40.6395,13.2162,17.0772,ONE_WHEEL_CHANGE,FALSE,FALSE,TRUE,FALSE,0,0,4871
66,* Timmy Hill(i),Ford,204,199,2,2,12868.343,0,0,12883.0671,12898.0671,15,14.7241,0,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4871
14,Clint Bowyer,Ford,204,203,2,2,12851.558,12968,116.4419,12867.3507,12955.6588,88.3081,15.7927,12.3411,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4871
16,* Justin Haley(i),Chevrolet,204,203,2,2,12836.115,12952.113,115.9979,12842.5588,12934.3817,91.8228,6.4438,17.7312,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,4871
77,Ross Chastain(i),Chevrolet,203,200,2,2,12787.921,0,0,12811.5942,12826.5942,15,23.6732,0,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4871
22,Joey Logano,Ford,201,199,2,2,12555.535,0,0,12558.9729,12585.1989,26.2259,3.4379,0,ONE_WHEEL_CHANGE,FALSE,FALSE,TRUE,FALSE,0,0,4871
62,* Brendan Gaughan(i),Chevrolet,201,200,2,2,12511.913,12563.912,51.9989,12533.4802,12559.1721,25.6919,21.5672,4.7398,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4871
95,Christopher Bell #,Toyota,201,200,2,2,12498.849,12621.448,122.599,12503.65,12605.5719,101.9218,4.801,15.876,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,4871
47,Ricky Stenhouse Jr.,Chevrolet,201,197,2,2,12486.859,12528.5939,41.7349,12506.9866,12526.3389,19.3522,20.1276,2.255,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4871
77,Ross Chastain(i),Chevrolet,200,199,2,2,12466.301,12616.754,150.453,12488.2338,12613.5618,125.3279,21.9328,3.1921,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,4871
3,Austin Dillon,Chevrolet,199,199,2,2,12329.549,12355.915,26.3659,12339.6166,12344.755,5.1384,10.0676,11.1599,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,4871
