race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,pole_winner_laptime,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,short_name
4714,2,2018,PowerShares QQQ 300,1,TRUE,105,Daytona International Speedway,2018-02-17T14:30:00,2018-02-17T14:30:00,0001-01-01T00:00:00,300,300,120,120,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,2131,Daytona
4715,2,2018,Rinnai 250,1,FALSE,111,Atlanta Motor Speedway,2018-02-24T14:00:00,2018-02-24T14:00:00,0001-01-01T00:00:00,300.3,300.3,163,163,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FS1,2432,Atlanta
4716,2,2018,Boyd Gaming 300,1,FALSE,42,Las Vegas Motor Speedway,2018-03-03T16:00:00,2018-03-03T16:00:00,0001-01-01T00:00:00,300,300,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FS1,2573,Las Vegas
4717,2,2018,DC Solar 200,1,FALSE,84,ISM Raceway,2018-03-10T16:00:00,2018-03-10T16:00:00,0001-01-01T00:00:00,200,200,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,2837,Phoenix
4718,2,2018,Service King 300,1,FALSE,38,Auto Club Speedway,2018-03-17T17:00:00,2018-03-17T17:00:00,0001-01-01T00:00:00,300,300,150,150,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,2596,Auto Club
4719,2,2018,My Bariatric Solutions 300,1,FALSE,43,Texas Motor Speedway,2018-04-07T15:00:00,2018-04-07T15:00:00,0001-01-01T00:00:00,300,300,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FOX,2576,Texas
4720,2,2018,Fitzgerald Glider Kits 300,1,FALSE,14,Bristol Motor Speedway,2018-04-14T13:00:00,2018-04-14T13:00:00,0001-01-01T00:00:00,159.9,159.9,300,300,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FS1,2133,Bristol
4721,2,2018,ToyotaCare 250,1,FALSE,26,Richmond Raceway,2018-04-20T19:00:00,2018-04-20T19:00:00,0001-01-01T00:00:00,187.5,187.5,250,250,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,2368,Richmond
4722,2,2018,Sparks Energy 300,1,TRUE,82,Talladega Superspeedway,2018-04-28T15:00:00,2018-04-28T15:00:00,0001-01-01T00:00:00,300.58,300.58,113,113,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,2447,Talladega
4723,2,2018,Hisense 4K TV 300,1,FALSE,162,Charlotte Motor Speedway,2018-05-26T13:00:00,2018-05-26T13:00:00,0001-01-01T00:00:00,300,300,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,PRN,FS1,2143,Charlotte
4724,2,2018,OneMain Financial 200,1,FALSE,103,Dover International Speedway,2018-05-05T13:30:00,2018-05-05T13:30:00,0001-01-01T00:00:00,200,200,200,200,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,2141,Dover
4725,2,2018,Pocono Green 250,1,FALSE,198,Pocono Raceway,2018-06-02T13:00:00,2018-06-02T13:00:00,0001-01-01T00:00:00,250,250,100,100,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FS1,4532,Pocono
4726,2,2018,"NASCAR XFINITY Series Race at Michigan",1,FALSE,133,Michigan International Speedway,2018-06-09T13:30:00,2018-06-09T13:30:00,0001-01-01T00:00:00,250,250,125,125,0,0,0,40,0,0,NA,0,0,0,0,0,NA,0,NA,0,MRN,FOX,2450,Michigan
