race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,pole_winner_laptime,short_name
4714,2,2018,PowerShares QQQ 300,1,TRUE,105,Daytona International Speedway,2018-02-17T14:30:00,2018-02-17T14:30:00,2018-02-17T00:00:00,300,357.5,120,143,30,30,83,40,4093,189.31,19,11,12,49,119.1,03:00:06,0,0,"Tyler Reddick won the PowerShares QQQ 300 at Daytona International Speedway, his second NASCAR Xfinity Series win. Prior to the start of the race, the following trucks dropped to the rear of the field under penalty: Nos. 22, 40 (unapproved adjustments); No. 01 (engines change).",0,MRN,FS1,2131,NA,Daytona
4715,2,2018,Rinnai 250,1,FALSE,111,Atlanta Motor Speedway,2018-02-24T14:00:00,2018-02-24T14:00:00,2018-02-24T00:00:00,300.3,251.02,163,163,40,40,83,40,4153,181.176,9,3,4,21,129.67,01:56:09,4.183,0,"Kevin Harvick won the Rinnai 250 at Atlanta Motor Speedway, his 47th NASCAR XFINITY Series victory. Prior to the green flag, the following cars dropped to the rear of the field under penalty for the reasons indicated: #23 and 89 (unapproved adjustments), #39 (tire change and missed driver intros).",0,PRN,FS1,2432,NA,Atlanta
4716,2,2018,Boyd Gaming 300,1,FALSE,42,Las Vegas Motor Speedway,2018-03-03T16:00:00,2018-03-03T16:00:00,2018-03-03T00:00:00,300,300,200,200,45,45,110,40,4153,183.686,10,6,6,29,131.884,02:16:29,0.881,0,"Kyle Larson won the Boyd Gaming 300 at Las Vegas Motor Speedway, his ninth NASCAR Xfinity Series victory. Prior to the start of the race, no cars dropped to the rear of the field under penalty.",0,PRN,FS1,2573,NA,Las Vegas
4717,2,2018,DC Solar 200,1,FALSE,84,ISM Raceway,2018-03-10T16:00:00,2018-03-10T16:00:00,2018-03-10T00:00:00,200,200,200,200,45,45,110,40,34,133.849,10,6,4,24,103.019,01:56:29,0.53,0,"Brad Keselowski won the DC Solar 200 at ISM Raceway, his 37th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reason indicated: #1 (engine change), #9 (backup car), #00 (unapproved adjustments).",0,MRN,FOX,2837,NA,Phoenix
4718,2,2018,Roseanne 300,1,FALSE,38,Auto Club Speedway,2018-03-17T17:00:00,2018-03-17T17:00:00,2018-03-17T00:00:00,300,300,150,150,35,35,80,40,4153,181.059,6,5,7,32,127.283,02:21:25,1.429,0,"Joey Logano won the Roseanne 300 at Auto Club Speedway, his 29th NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for reasons indicated: #28 (Backup car).",0,MRN,FS1,2596,NA,Auto Club
4719,2,2018,My Bariatric Solutions 300,1,FALSE,43,Texas Motor Speedway,2018-04-07T15:00:00,2018-04-07T15:00:00,2018-04-07T00:00:00,300,300,200,200,45,45,110,40,4023,189.88,11,9,8,42,124.986,02:24:01,2.327,0,"Ryan Blaney won the My Bariatric Solutions 300 at Texas Motor Speedway, his seventh NASCAR XFINITY Series victory. Prior to the start of the race, the following car dropped to the rear of the field under penalty for the reason indicated: #23 (unapproved adjustements).",0,PRN,FOX,2576,NA,Texas
4720,2,2018,Fitzgerald Glider Kits 300,1,FALSE,14,Bristol Motor Speedway,2018-04-14T13:00:00,2018-04-14T13:00:00,2018-04-14T00:00:00,159.9,159.9,300,300,85,85,130,40,4104,127.157,13,8,12,93,67.857,02:21:57,Caution,0,"Ryan Preece won the Fitzgerald Glider Kits 300 at Bristol Motor Speedway, his second NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: #78 (back up car), #39 (back up car/driver change), #38 (driver change) and #5 (unapproved adjustments).",0,PRN,FS1,2133,NA,Bristol
4721,2,2018,ToyotaCare 250,1,FALSE,26,Richmond Raceway,2018-04-20T19:00:00,2018-04-20T19:00:00,2018-04-20T00:00:00,187.5,187.5,250,250,75,75,100,40,4104,121.332,9,6,5,39,93.284,02:00:36,0.423,0,"Christopher Bell won the ToyotaCare 250 at Richmond Raceway, his second NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for reasons indicated: #22 and 74 (unapproved adjustments).",0,MRN,FS1,2368,NA,Richmond
4722,2,2018,Sparks Energy 300,1,TRUE,82,Talladega Superspeedway,2018-04-28T15:00:00,2018-04-28T15:00:00,2018-04-28T00:00:00,300.58,305.9,113,115,25,25,65,40,4093,189.402,12,11,5,29,133.258,02:17:44,0.152,0,"Spencer Gallagher won the Sparks Energy 300 at Talladega Superspeedway, his first NASCAR XFINITY Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 1 (engine change) and No. 35 and 45 (unapproved adjustments).",0,MRN,FOX,2447,NA,Talladega
4724,2,2018,OneMain Financial 200,1,FALSE,103,Dover International Speedway,2018-05-05T12:30:00,2018-05-05T12:30:00,2018-05-05T00:00:00,200,200,200,200,45,45,110,40,4085,155.831,11,7,8,45,98.053,02:02:23,0.306,0,"Justin Allgaier won the OneMain Financial 200 at Dover International Speedway, his 6th NASCAR Xfinity Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for reasons indicated: #76 - unapproved adjustments and #42- Back-up car.",0,MRN,FS1,2141,NA,Dover
4723,2,2018,Alsco 300,1,FALSE,162,Charlotte Motor Speedway,2018-05-26T13:00:00,2018-05-26T13:00:00,2018-05-26T00:00:00,300,306,200,204,45,45,114,40,1816,184.382,12,6,13,59,108.596,02:49:04,Caution,0,"Brad Keselowski won the ALSCO 300 at Charlotte Motor Speedway, his 38th NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #38- missed drivers meeting, 01- Back up car.",0,PRN,FS1,2143,NA,Charlotte
4725,2,2018,Pocono Green 250 Recycled by J.P. Mascaro & Sons,1,FALSE,198,Pocono Raceway,2018-06-02T13:00:00,2018-06-02T13:00:00,2018-06-02T00:00:00,250,250,100,100,25,25,50,40,4104,161.423,7,6,5,18,127.137,01:57:59,2.852,0,"Kyle Busch won the 3rd Annual Pocono Green 250 Recycled by JP Mascaro & Sons, his 92nd victory in 342 NASCAR XFINITY Series races. Prior to the start of the race the following car moved to the rear of the field for the reason indicated: 36 (unapproved adjustments).",0,MRN,FS1,4532,NA,Pocono
4726,2,2018,LTi Printing 250,1,FALSE,133,Michigan International Speedway,2018-06-09T16:45:00,2018-06-09T16:45:00,1900-01-01T00:00:00,250,182,125,91,30,30,31,40,0,0,14,9,10,37,103.067,01:45:57,Caution,0,"Austin Dillon won the LTi Printing 250 at Michigan International Speedway, his ninth victory in the NASCAR Xfinity Series. Prior to the start of the race, the following car(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 7 (unapproved adjustments) and 40 (engine change).",0,MRN,FS2,2450,NA,Michigan
4727,2,2018,Iowa 250 presented by Enogen,1,FALSE,206,Iowa Speedway,2018-06-17T17:00:00,2018-06-17T17:00:00,2018-06-17T00:00:00,218.75,218.75,250,250,60,60,130,40,4180,131.409,13,5,5,31,102.1,02:08:33,0.745,0,"Justin Allgaier won the Iowa 250 presented by Enogen at Iowa Speedway, his seventh NASCAR Xfinity Series victory. Prior to the green flag, the following cars dropped to the rear of the field under penalty for the reason indicated: Nos. 4, 2 (unapproved adjustments), Nos. 15, 76 (unapproved tire change).",0,MRN,FS1,3961,NA,Iowa
4739,2,2018,Overton’s 300,1,FALSE,39,Chicagoland Speedway,2018-06-30T15:30:00,2018-06-30T15:30:00,2018-06-30T00:00:00,300,300,200,200,45,45,110,40,4030,173.796,13,7,4,21,134.764,02:13:34,8.03,0,"Kyle Larson won the Overton's 300 at Chicagoland Speedway, his 10th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 42, 00, 01 (unapproved tire change) and 4 (unapproved adjustments).",0,MRN,NBCSN,2712,NA,Chicagoland
4728,2,2018,Coca-Cola Firecracker 250,1,TRUE,105,Daytona International Speedway,2018-07-06T19:30:00,2018-07-06T19:30:00,1900-01-01T00:00:00,250,262.5,100,105,30,30,45,40,0,0,10,5,6,29,129.541,02:01:35,0.005,0,"Kyle Larson won the 17th running of the Coca-Cola Firecracker 250 at Daytona International Speedway, his eleventh NASCAR Xfinity Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty: Nos. 45 (engine change), 16, 51, 55 (unapproved adjustments), 38 (missed driver's meeting).",0,MRN,NBCSN,2744,NA,Daytona
4729,2,2018,Alsco 300,1,FALSE,61,Kentucky Speedway,2018-07-13T20:00:00,2018-07-13T20:00:00,2018-07-13T00:00:00,300,300,200,200,45,45,110,40,4104,181.458,8,7,7,32,131.884,02:16:29,0.848,0,"Christopher Bell won the Alsco 300 at Kentucky Speedway, his third victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 20 (unapproved tire change), and No. 36 and 74 (unapproved adjustments).",0,PRN,NBCSN,2709,NA,Kentucky
4730,2,2018,Lakes Region 200,1,FALSE,138,New Hampshire Motor Speedway,2018-07-21T16:00:00,2018-07-21T16:00:00,2018-07-21T00:00:00,211.6,211.6,200,200,45,45,110,40,1816,130.296,13,5,7,33,99.616,02:07:27,0.416,0,"Christopher Bell won the Lakes Region 200 at New Hampshire Motor Speedway, his fourth victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 15, 22 (late to driver/crew chief meeting) and No. 16 (unapproved adjustment).",0,PRN,NBCSN,2395,NA,New Hampshire
4732,2,2018,U.S. Cellular 250 presented by The Rasmussen Group,1,FALSE,206,Iowa Speedway,2018-07-28T17:00:00,2018-07-28T17:00:00,2018-07-28T00:00:00,218.75,224.875,250,257,60,60,137,40,2878,133.61,12,7,6,41,97.772,02:18:00,0.421,0,"Christopher Bell won the U.S. Cellular 250 Presented by American Ethanol at Iowa Speedway, his fifth NASCAR Xfinity Series victory. Prior to the green flag, the following cars dropped to the rear of the field under penalty for the reason indicated: No. 45 (unapproved adjustments).",0,MRN,NBCSN,3713,NA,Iowa
4733,2,2018,Zippo 200 at The Glen,1,FALSE,157,Watkins Glen International,2018-08-04T15:00:00,2018-08-04T15:00:00,2018-08-04T00:00:00,200.9,200.9,82,82,20,20,42,40,3859,122.995,13,7,7,20,81.685,02:27:34,3.362,0,"Joey Logano won the 24th annual Zippo 200 at The Glen, his 30th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 01, 9 (tire change), 60 (back-up car), 8, 19, 36, 39, 45, 61, 76, and 90 (unapproved adjustments).",0,MRN,NBC,2530,NA,Watkins-Glen
