race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime,short_name
5088,2,2021,Beef. It's What's For Dinner. 300,1,TRUE,105,Daytona International Speedway,2021-02-13T17:00:00,2021-02-13T17:00:00,1900-01-01T00:00:00,2021-02-13T17:00:00,300,305,120,122,30,30,62,40,0,0,16,11,9,42,118.677,2:34:12,.104,0,"Austin Cindric won the Beef. Its Whats For Dinner. 300 at Daytona International Speedway, his ninth victory in the NASCAR Xfinity Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field. ",0,MRN,FS1,2131,TRUE,0,FALSE,0,-1,TRUE,4180,NA,Daytona
5089,2,2021,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,1,FALSE,212,DAYTONA Road Course,2021-02-20T17:00:00,2021-02-20T17:00:00,1900-01-01T00:00:00,2021-02-20T17:00:00,188,202.16,52,56,15,15,26,40,0,0,11,8,7,14,78.213,2:35:05,1.726,0,"Ty Gibbs has won the Super Start Batteries 188 At DAYTONA Presented by O’Reilly at the Daytona International Speedway Road Course, his first victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field for the reasons indicated: No. 18 (Multiple Inspection Failures), #9 (Unapproved adjustments).",0,MRN,FS1,4928,TRUE,0,FALSE,0,-1,FALSE,4368,NA,Daytona Road
5090,2,2021,Contender Boats 250,1,FALSE,40,Homestead-Miami Speedway,2021-02-27T16:30:00,2021-02-27T16:30:00,1900-01-01T00:00:00,2021-02-27T16:30:00,250,268.5,167,179,40,40,99,40,0,0,20,11,8,42,103.72,2:30:59,.085,0,"Myatt Snider won the Contender Boats 250 at Homestead-Miami Speedway, his first career NASCAR Xfinity Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FS1,2861,TRUE,0,FALSE,0,-1,FALSE,4223,NA,Homestead
5091,2,2021,Alsco Uniforms 300,1,FALSE,42,Las Vegas Motor Speedway,2021-03-06T16:30:00,2021-03-06T13:30:00,1900-01-01T00:00:00,2021-03-06T16:30:00,300,300,200,200,45,45,110,40,0,0,23,7,8,45,113.804,2:38:10,.978,0,"AJ Allmendinger has won the Alsco Uniforms 300 at Las Vegas Motor Speedway, his sixth victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field for the reasons indicated: No. 0 (unapproved adjustments), No. 17 (driver change). ",0,PRN,FS1,2573,TRUE,0,FALSE,0,-1,FALSE,3774,NA,Las Vegas
5092,2,2021,Call 811 Before You Dig 200 presented by Arizona 811,1,FALSE,84,Phoenix Raceway,2021-03-13T17:30:00,2021-03-13T15:30:00,1900-01-01T00:00:00,2021-03-13T17:30:00,200,200,200,200,45,45,110,40,0,0,10,6,11,65,82.408,2:25:37,.360,0,"Austin Cindric won the Call 811 Before You Dig 200 Presented by Arizona 811 at Phoenix Raceway, his 10th NASCAR Xfinity Series victory. Prior to the start of the race the following car dropped to the rear of the field under penalty for the reason indicated: #13 (driver change).",0,MRN,FS1,2837,TRUE,0,FALSE,0,-1,FALSE,4180,NA,Phoenix
5093,2,2021,EchoPark 250,1,FALSE,111,Atlanta Motor Speedway,2021-03-20T17:00:00,2021-03-20T17:00:00,1900-01-01T00:00:00,2021-03-20T17:00:00,308,251.02,163,163,40,40,83,40,0,0,6,5,7,37,115.117,2:10:50,1.449,0,"Justin Allgaier won the 30th running of the EchoPark 250 at Atlanta Motor Speedway, his 15th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 13 and 61 (driver change), 16 (multiple inspection failures). ",0,PRN,FS1,2432,TRUE,0,FALSE,0,-1,FALSE,34,NA,Atlanta
5094,2,2021,Cook Out 250,1,FALSE,22,Martinsville Speedway,2021-04-09T20:00:00,2021-04-09T20:00:00,1900-01-01T00:00:00,2021-04-11T12:00:00,131.5,131.5,250,250,60,60,130,40,0,0,13,9,12,75,59.758,2:12:02,0.590,0,"Josh Berry won the Cook Out 250 at Martinsville Speedway, his first career NASCAR Xfinity Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FS1,4916,TRUE,0,FALSE,0,-1,FALSE,4123,NA,Martinsville
5095,2,2021,Ag-Pro 300,1,TRUE,82,Talladega Superspeedway,2021-04-24T16:00:00,2021-04-24T15:00:00,1900-01-01T00:00:00,2021-04-24T16:00:00,300,239.4,113,90,25,25,40,40,0,0,22,12,4,15,139.164,1:43:13,Caution,0,"Jeb Burton has won the Ag-Pro 300 at Talladega Superspeedway, his first victory in the NASCAR Xfinity Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field under penalty. Noah Gragson has won the NASCAR Xfinity Series Dash 4 Cash $100,000 bonus. ",0,MRN,FOX,2447,TRUE,0,FALSE,0,-1,FALSE,4018,NA,Talladega
5096,2,2021,Steakhouse Elite 200,1,FALSE,4,Darlington Raceway,2021-05-08T13:00:00,2021-05-08T13:00:00,1900-01-01T00:00:00,2021-05-08T13:00:00,199.92,202.17,147,148,45,45,58,40,0,0,13,7,9,43,98.739,2:02:51,0.422,0,"Justin Allgaier won the 2nd running of the Steakhouse Elite 200 at Darlington Raceway, his 16th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: None.",0,MRN,FS1,4970,TRUE,0,FALSE,0,-1,FALSE,34,NA,Darlington
5097,2,2021,Drydene 200,1,FALSE,103,Dover International Speedway,2021-05-15T13:30:00,2021-05-15T13:30:00,1900-01-01T00:00:00,2021-05-15T13:30:00,200,200,200,200,45,45,110,40,0,0,9,6,7,45,94.987,2:06:20,3.796,0,"Austin Cindric has won the Drydene 200 at Dover International Speedway, his 11th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 11 (driver change). ",0,MRN,FS1,2141,TRUE,0,FALSE,0,-1,FALSE,4180,NA,Dover
