race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,pole_winner_laptime,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,short_name
4542,2,2016,VFW Sport Clips Help A Hero 200,1,FALSE,4,Darlington Raceway,2016-09-03T15:30:00,2016-09-03T15:30:00,1900-01-01T00:00:00,200.8,200.802,147,147,40,0,0,NA,8,6,3,17,128.719,01:33:36,0,"Elliott Sadler won the VFW Sport Clips Help a Hero 200 at Darlington Raceway, his 12th career NASCAR XFINITY Series victory.",0,MRN,NBC,2200,Darlington
4540,2,2016,Food City 300,1,FALSE,14,Bristol Motor Speedway,2016-08-19T19:30:00,2016-08-19T19:30:00,2016-08-19T00:00:00,159.9,164.164,300,308,40,4059,127.903,NA,16,7,8,54,84.827,01:56:07,0,"Austin Dillon won the Food City 300 at Bristol Motor Speedway, his eighth career NASCAR XFINITY Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #7 and 18 (unapproved adjusments) and #10 (missing the drivers meeting).",0,PRN,USA,2153,Bristol
4525,2,2016,Fitzgerald Glider Kits 300,1,FALSE,14,Bristol Motor Speedway,2016-04-16T12:30:00,2016-04-16T12:30:00,2016-04-16T00:00:00,159.9,106.6,300,200,40,4059,125.914,NA,10,4,3,23,93.829,01:08:10,0,"Erik Jones won the Fitzgerald Glider Kits 300 at Bristol Motor Speedway, his third NASCAR XFINITY Series victory. Prior to the start of the race, no cars 
dropped to the rear of the field.  ",0,PRN,FS1,2133,Bristol
4526,2,2016,ToyotaCare 250,1,FALSE,26,Richmond International Raceway,2016-04-23T12:30:00,2016-04-23T12:30:00,1900-01-01T00:00:00,187.5,111.75,250,149,40,0,0,NA,4,4,2,20,93.623,01:11:37,0,"Dale Earnhardt Jr. won the ToyotaCare 250 at Richmond International Raceway, his 24th career NASCAR XFINITY Series victory. Prior to the start of the race, the following car dropped to the rear of the field: No. 43 (engine change).",0,MRN,FS1,2368,Richmond
4543,2,2016,Virginia529 College Savings 250,1,FALSE,26,Richmond International Raceway,2016-09-09T19:30:00,2016-09-09T19:30:00,2016-09-09T00:00:00,187.5,187.5,250,250,40,3873,119.665,NA,3,3,2,14,103.687,01:48:30,0,"Kyle Busch won the Virginia529 College Savings 250 at Richmond International Raceway, his 84th career NASCAR XFINITY Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: #25 (driver change).",0,MRN,NBCSN,2332,Richmond
4541,2,2016,Road America 180 Fired Up by Johnsonville,1,FALSE,34,Road America,2016-08-27T15:00:00,2016-08-27T15:00:00,2016-08-26T00:00:00,182.16,194.3,45,48,40,3911,109.866,NA,6,4,6,13,74.573,02:36:20,0,"Michael McDowell won the Road America 180 Fired Up by Johnsonville at Road America, his first NASCAR XFINITY Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: Nos. 88, 89, 39, 0, 77, 97, 13, 74 (unapproved adjustments) and No. 40 (missing driver introductions).",0,MRN,NBCSN,3793,Road America
4523,2,2016,TreatMyClot.com 300 by Janssen,1,FALSE,38,Auto Club Speedway,2016-03-19T16:00:00,2016-03-19T16:00:00,2016-03-19T00:00:00,300,300,150,150,40,4113,179.955,NA,12,8,4,16,143.008,02:05:52,0,"Austin Dillon won the TreatMyClot.com 300 by Janssen at Auto Club Speedway, his 7th career NASCAR XFINITY Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FS1,2596,Auto Club
4544,2,2016,Drive for Safety 300,1,FALSE,39,Chicagoland Speedway,2016-09-17T15:00:00,2016-09-17T15:00:00,2016-09-17T00:00:00,300,300,200,200,40,454,180.735,NA,22,11,8,38,120.576,02:29:17,0,"Erik Jones won the Drive For Safety 300 at Chicagoland Speedway, his sixth career NASCAR XFINITY Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: Nos. 33, 40 and 77 (unapproved adjustments).",0,MRN,NBC,2712,Chicagoland
4551,2,2016,Ford EcoBoost 300,1,FALSE,40,Homestead-Miami Speedway,2016-11-19T15:30:00,2016-11-19T15:30:00,2016-11-19T00:00:00,300,300,200,200,40,4113,169.924,NA,21,11,7,39,116.455,02:34:34,0,"Daniel Suarez won the Ford EcoBoost 300 at Homestead-Miami Speedway, his third career NASCAR XFINITY Series victory. Prior to the start of the race, no cars dropped to the rear of the field under penalty.",0,MRN,NBCSN,2861,Homestead
4548,2,2016,Kansas Lottery 300,1,FALSE,41,Kansas Speedway,2016-10-15T15:00:00,2016-10-15T15:00:00,2016-10-15T00:00:00,300,300,200,200,40,454,182.1,NA,17,7,10,51,109.256,02:44:45,0,"Kyle Busch won the Kansas Lottery 300 at Kansas Speedway, his 85th career NASCAR XFINITY Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: Nos. 48, 42 and 93 (unapproved adjustments).",0,MRN,NBC,2721,Kansas
