vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
33,Mason Maggio,Chevrolet,39,38,2,2,1560.674,1652.16,91.486,1592.572,1634.1948,41.6228,31.898,17.9651,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
33,Mason Maggio,Chevrolet,49,48,2,2,2296.614,2385.629,89.0149,2329.6214,2367.4919,37.8705,33.0074,18.137,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
33,Mason Maggio,Chevrolet,73,72,2,2,4001.437,4118.403,116.966,4030.4112,4067.7778,37.3665,28.9742,50.6251,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
33,Mason Maggio,Chevrolet,109,109,2,2,5788.91,5848.5559,59.6459,5819.3284,5829.8722,10.5437,30.4184,18.6837,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
33,Mason Maggio,Chevrolet,125,125,2,2,6547.599,6626.521,78.9219,6576.6714,6608.8689,32.1975,29.0724,17.652,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
33,Mason Maggio,Chevrolet,159,158,2,2,8162.086,8270.801,108.7149,8216.6596,8250.5258,33.8662,54.5736,20.2751,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
5,Tyler Hill,Toyota,39,38,2,2,1558.41,1642.594,84.1839,1585.9653,1619.6275,33.6621,27.5553,22.9664,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
5,Tyler Hill,Toyota,72,72,2,2,3917.146,4016.566,99.4199,3939.9188,3987.0475,47.1287,22.7728,29.5184,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
5,Tyler Hill,Toyota,95,95,2,2,5041.863,5117.8639,76.0009,5068.2635,5096.4315,28.1679,26.4005,21.4324,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
5,Tyler Hill,Toyota,109,109,2,2,5786.974,5865.8149,78.8409,5810.7865,5843.7435,32.9569,23.8125,22.0714,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
40,Dean Thompson #,Chevrolet,39,38,2,2,1557.179,1626.987,69.8079,1582.8289,1605.2845,22.4555,25.6499,21.7024,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
40,Dean Thompson #,Chevrolet,56,56,2,2,2806.56,2857.438,50.878,2829.1274,2836.5013,7.3738,22.5674,20.9366,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
40,Dean Thompson #,Chevrolet,72,72,2,2,3908.719,3984.426,75.7069,3931.4102,3963.009,31.5988,22.6912,21.4169,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
40,Dean Thompson #,Chevrolet,95,95,2,2,5040.967,5099.916,58.949,5066.3615,5078.7407,12.3791,25.3945,21.1752,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,5228
40,Dean Thompson #,Chevrolet,109,109,2,2,5786.455,5871.325,84.8699,5808.3839,5849.5532,41.1692,21.9289,21.7717,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
15,Tanner Gray,Ford,38,38,2,2,1474.23,1556.177,81.9469,1509.4245,1541.9944,32.5698,35.1945,14.1825,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
15,Tanner Gray,Ford,63,63,2,2,3253.171,3319.51,66.339,3288.791,3306.2082,17.4172,35.62,13.3017,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
15,Tanner Gray,Ford,95,95,2,2,5032.156,5089.294,57.1379,5066.2281,5075.771,9.5429,34.0721,13.5229,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,5228
15,Tanner Gray,Ford,147,146,1,1,7672.376,7737.106,64.7299,7701.0774,7724.2996,23.2221,28.7014,12.8063,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
51,Corey Heim #,Toyota,38,38,2,2,1467.574,1532.207,64.633,1494.9089,1512.0928,17.1839,27.3349,20.1141,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
51,Corey Heim #,Toyota,63,63,2,2,3249.717,3314.765,65.0479,3277.6498,3295.1668,17.5169,27.9328,19.5981,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
51,Corey Heim #,Toyota,95,95,2,2,5029.5559,5092.501,62.945,5056.1513,5072.9682,16.8168,26.5953,19.5327,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
98,Christian Eckes,Toyota,38,38,2,2,1470.592,1533.392,62.7999,1501.9159,1518.1647,16.2487,31.3239,15.2272,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5228
