Number,NASCARDriverID,Driver,FullName,Manufacturer,Sponsor,OverAllAvg,OverAllAvgRank,BestLapTime,BestLapRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank,PracticeName,race_id
22,4180,Cindric,Austin Cindric,Frd,Menards/Richmond,90.9971667,1,90.703,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
16,3774,Allmendinger,AJ Allmendinger,Chv,Digital Ally Body Cameras,91.4845,2,90.155,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
98,4228,Briscoe,Chase Briscoe,Frd,Highpoint.com,91.9955,3,91.016,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
11,4172,Haley,Justin Haley,Chv,LeafFilter Gutter Protection,92.2568333,4,91.26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
7,34,Allgaier,Justin Allgaier,Chv,Klondike,92.4685833,5,91.485,5,92.289,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
51,595,Clements,Jeremy Clements,Chv,RepairableVehicles.com,92.8736364,6,91.801,6,92.126,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
10,4001,Chastain,Ross Chastain,Chv,Chevy Accessories,93.17225,7,92.241,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
9,4224,Gragson,Noah Gragson,Chv,Switch,93.2094375,8,91.858,7,92.332,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
18,4269,Herbst #,Riley Herbst #,Tyt,Monster Energy,93.4637692,9,92.356,12,93.332,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
99,4213,Bilicki,Josh Bilicki,Tyt,Insurance King,93.609,10,92.197,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
20,4217,Burton #,Harrison Burton #,Tyt,DEX Imaging,93.7805333,11,92.578,13,93.113,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
21,4301,Alfredo,Anthony Alfredo,Chv,Lucas Oil,93.8653,12,92.601,14,93.675,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
36,4317,Pardus,Preston Pardus,Chv,Chinchor Electric/Danus,94.2351667,13,92.257,10,94.51,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
07,4346,Buford,Jade Buford,Chv,Big Machine Distillery,94.531375,14,92.904,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
90,4225,Labbe,Alex Labbe,Chv,Prolon/VRVictroriaVille.com,94.6321667,15,92.793,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
19,4085,Jones,Brandon Jones,Tyt,Toyota Service Centers,94.6362222,16,92.306,11,94.507,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
13,3984,Hill(i),Timmy Hill(i),Tyt,ROOFCLAIM.COM,95.22475,17,94.32,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
02,4038,Moffitt(i),Brett Moffitt(i),Chv,Fr8 Auctions,95.37775,18,93.641,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
8,4018,Burton,Jeb Burton,Chv,LS Tractor,95.4404545,19,92.626,15,93.262,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
93,4223,Snider,Myatt Snider,Chv,Louisiana Hot Sauce,95.4423333,20,94.338,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
26,4149,Gdovic,Brandon Gdovic,Tyt,WindstaxEnergy,95.5125,21,93.675,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
61,1965,Leicht,Stephen Leicht,Tyt,JANIKING,95.6455,22,94.185,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
47,4187,Weatherman,Kyle Weatherman,Chv,Stand For The Flag,95.952,23,95.952,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
68,4118,Brown,Brandon Brown,Chv,BMS,96.7514,24,94.317,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
44,3902,Martins,Tommy Joe Martins,Chv,AAN Adjusters,97.6816667,25,94.306,22,98.558,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
15,3894,Earnhardt,Jeffrey Earnhardt,Chv,FlexFit,97.8343333,26,95.302,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
74,4257,Currey(i),Bayley Currey(i),Chv,Stand For The Flag,98.025,27,98.025,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
92,4106,Williams,Josh Williams,Chv,Alloy Employer Services,98.03325,28,94.684,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
0,3458,Wallace,Mike Wallace,Chv,Market Scan,99.194,29,96.503,29,97.687,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
08,4313,Graf Jr #,Joe Graf Jr #,Chv,Bucked Up Energy,99.6659167,30,97.46,31,98.248,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
39,3884,Sieg,Ryan Sieg,Chv,CMRRoofing.com,100.5232857,31,96.877,30,98.795,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
52,4345,Vanderwal #,Kody Vanderwal #,Chv,ADVANCED DAIRY SERVICE,100.685,32,99.773,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,4933
