Number,NASCARDriverID,Driver,FullName,Manufacturer,Sponsor,OverAllAvg,OverAllAvgRank,BestLapTime,BestLapRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank,PracticeName,race_id
43,4059,Jones,Erik Jones,Chv,FOCUSfactor,23.2508571,1,22.746,6,22.836,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
8,4065,Reddick,Tyler Reddick,Chv,Guaranteed Rate,23.304625,2,22.865,22,23.157,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
18,454,Busch,Kyle Busch,Tyt,Mars Crunchy Cookie,23.3095417,3,22.558,1,22.931,9,23.383,12,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
48,4045,Bowman,Alex Bowman,Chv,Ally,23.3280476,4,22.899,26,23.138,23,23.395,13,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
24,4184,Byron,William Byron,Chv,Liberty University,23.3481304,5,22.773,7,23.059,18,23.654,19,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
1,4001,Chastain,Ross Chastain,Chv,ONX Homes/iFly,23.3517143,6,22.788,9,22.88,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
14,4228,Briscoe,Chase Briscoe,Frd,Mahindra Tractors,23.3693125,7,22.731,5,23.677,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
31,4172,Haley,Justin Haley,Chv,LeafFilter Gutter Protection,23.426,8,22.835,16,23.358,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
23,4025,Wallace,Bubba Wallace,Tyt,Dr Pepper,23.48095,9,22.809,12,23.291,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
3,3873,Dillon,Austin Dillon,Chv,BREZTRI,23.4832083,10,22.968,27,23.174,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
45,453,Busch,Kurt Busch,Tyt,Embrace Home Loans,23.4851071,11,22.829,15,22.992,14,23.173,8,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
11,1361,Hamlin,Denny Hamlin,Tyt,FedEx Express,23.4929524,12,22.853,19,22.979,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
19,3368,Truex Jr.,Martin Truex Jr.,Tyt,Auto-Owners Insurance,23.4931765,13,22.776,8,22.911,6,23.052,4,23.187,3,23.302,5,NA,NA,NA,NA,Final Practice,5152
17,3989,Buescher,Chris Buescher,Frd,Violet Defense,23.50004,14,22.628,2,23.008,15,23.555,18,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
99,4113,Suarez,Daniel Suarez,Chv,CommScope,23.523087,15,22.807,11,22.952,11,23.837,21,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
10,40,Almirola,Aric Almirola,Frd,Smithfield,23.5260769,16,22.853,18,22.921,8,23.537,16,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
21,4217,Burton #,Harrison Burton #,Frd,Motorcraft/Quick Lane,23.5373077,17,22.863,21,22.988,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
9,4062,Elliott,Chase Elliott,Chv,A SHOC,23.5378125,18,22.856,20,22.937,10,23.132,7,23.629,11,23.737,9,NA,NA,NA,NA,Final Practice,5152
38,4231,Gilliland #,Todd Gilliland #,Frd,Black's Tire,23.5378333,19,23.201,31,23.364,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5152
4,1416,Harvick,Kevin Harvick,Frd,Mobil 1 Triple Action Formula,23.5537297,20,22.8,10,22.915,7,23.086,5,23.187,4,23.276,3,23.352,3,23.43,3,Final Practice,5152
