Number,NASCARDriverID,Driver,FullName,Manufacturer,Sponsor,OverAllAvg,OverAllAvgRank,BestLapTime,BestLapRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank,PracticeName,race_id
5,4030,Larson,Kyle Larson,Chv,Valvoline,27.8134194,1,27.536,5,27.647,5,27.693,3,27.724,1,27.734,1,27.759,1,27.789,1,Final Practice,5149
24,4184,Byron,William Byron,Chv,Axalta,27.8183462,2,27.478,4,27.61,1,27.682,1,27.749,3,27.8,3,27.815,3,NA,NA,Final Practice,5149
2,4180,Cindric #,Austin Cindric #,Frd,Autotrader,27.8313182,3,27.462,1,27.666,7,27.739,4,27.857,5,NA,NA,NA,NA,NA,NA,Final Practice,5149
12,4023,Blaney,Ryan Blaney,Frd,Menards/Maytag,27.8939744,4,27.471,2,27.639,2,27.688,2,27.733,2,27.769,2,27.777,2,27.822,2,Final Practice,5149
1,4001,Chastain,Ross Chastain,Chv,K1 Speed,27.900625,5,27.642,9,27.677,8,27.774,7,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5149
4,1416,Harvick,Kevin Harvick,Frd,Hunt Brothers Pizza,27.9205625,6,27.794,24,27.807,14,27.842,8,27.874,7,27.876,4,27.891,4,27.9,3,Final Practice,5149
18,454,Busch,Kyle Busch,Tyt,DeWalt,27.98375,7,27.716,14,27.817,16,27.869,9,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5149
9,4062,Elliott,Chase Elliott,Chv,UniFirst,28.00084,8,27.613,8,27.797,12,27.918,14,28.056,12,NA,NA,NA,NA,NA,NA,Final Practice,5149
48,4045,Bowman,Alex Bowman,Chv,Ally/Best Friends,28.0017619,9,27.745,19,27.821,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5149
11,1361,Hamlin,Denny Hamlin,Tyt,FedEx Office,28.0168077,10,27.764,23,27.853,21,27.96,17,28.046,11,NA,NA,NA,NA,NA,NA,Final Practice,5149
