Number,NASCARDriverID,Driver,FullName,Manufacturer,Sponsor,OverAllAvg,OverAllAvgRank,BestLapTime,BestLapRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank,PracticeName,race_id
43,4059,Jones,Erik Jones,Chv,FOCUSfactor,23.9666667,1,23.157,7,24.065,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
8,4065,Reddick,Tyler Reddick,Chv,3CHI,24.0685652,2,23.064,2,23.243,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
18,454,Busch,Kyle Busch,Tyt,M&M's,24.2081818,3,23.28,11,23.442,10,23.6,7,23.788,6,23.919,6,24.022,5,24.116,5,Final Practice,5171
24,4184,Byron,William Byron,Chv,Liberty University,24.215037,4,23.55,20,23.732,20,23.863,14,24.458,18,NA,NA,NA,NA,NA,NA,Final Practice,5171
5,4030,Larson,Kyle Larson,Chv,HendrickCars.com,24.2205,5,23.442,17,23.6,15,23.787,11,23.917,10,24.025,10,NA,NA,NA,NA,Final Practice,5171
34,3832,McDowell,Michael McDowell,Frd,Chicago Pneumatic Compressors,24.2233,6,23.428,16,23.572,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
19,3368,Truex Jr.,Martin Truex Jr.,Tyt,Bass Pro Shops,24.229,7,23.12,5,23.323,6,23.556,4,23.76,4,23.901,5,24.003,4,24.107,4,Final Practice,5171
23,4025,Wallace,Bubba Wallace,Tyt,leidos,24.2324,8,23.598,24,23.736,21,24.409,22,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
9,4062,Elliott,Chase Elliott,Chv,NAPA Auto Parts,24.2406286,9,23.204,8,23.37,7,23.519,3,23.712,2,23.868,2,24.046,6,NA,NA,Final Practice,5171
45,4368,Gibbs(i),Ty Gibbs(i),Tyt,Jordan Brand,24.2524483,10,23.628,27,23.771,22,23.889,15,24.012,11,24.096,11,NA,NA,NA,NA,Final Practice,5171
12,4023,Blaney,Ryan Blaney,Frd,BodyArmor,24.2930476,11,23.553,21,23.601,16,23.693,9,23.793,7,23.883,4,23.984,3,24.088,2,Final Practice,5171
1,4001,Chastain,Ross Chastain,Chv,Moose Fraternity,24.2974595,12,22.976,1,23.117,1,23.398,1,24.513,20,24.555,19,24.608,14,NA,NA,Final Practice,5171
99,4113,Suarez,Daniel Suarez,Chv,CommScope,24.3012308,13,23.222,9,23.405,8,24.411,23,24.531,21,NA,NA,NA,NA,NA,NA,Final Practice,5171
11,1361,Hamlin,Denny Hamlin,Tyt,FedEx Freight,24.3138095,14,23.154,6,23.293,3,23.558,6,23.749,3,23.876,3,23.983,2,24.089,3,Final Practice,5171
41,4104,Custer,Cole Custer,Frd,Jacob Construction,24.3215758,15,23.555,22,23.647,17,23.816,12,24.475,19,24.527,18,NA,NA,NA,NA,Final Practice,5171
31,4172,Haley,Justin Haley,Chv,LeafFilter Gutter Protection,24.33224,16,23.266,10,23.454,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
42,4013,Dillon,Ty Dillon,Chv,Allegiant,24.345,17,23.582,23,23.653,18,24.353,21,24.437,17,24.508,17,NA,NA,NA,NA,Final Practice,5171
48,4045,Bowman,Alex Bowman,Chv,Ally,24.3597727,18,23.4,15,24.443,34,24.577,26,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
38,4231,Gilliland #,Todd Gilliland #,Frd,The Pete Store,24.387,19,23.78,32,23.891,28,24.676,28,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
17,3989,Buescher,Chris Buescher,Frd,Fastenal,24.3956154,20,23.711,29,23.877,27,24.611,27,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
3,3873,Dillon,Austin Dillon,Chv,Huk Performance Fishing,24.3964667,21,23.618,25,24.164,31,24.534,25,24.596,22,NA,NA,NA,NA,NA,NA,Final Practice,5171
20,4153,Bell,Christopher Bell,Tyt,Rheem,24.4029355,22,23.513,18,24.024,29,24.213,19,24.304,15,24.381,15,24.437,13,NA,NA,Final Practice,5171
14,4228,Briscoe,Chase Briscoe,Frd,HighPoint.com,24.4134483,23,23.622,26,23.835,24,23.95,16,24.744,23,NA,NA,NA,NA,NA,NA,Final Practice,5171
16,4224,Gragson(i),Noah Gragson(i),Chv,Chevy Accessories,24.4142963,24,23.953,34,24.184,32,24.256,20,24.345,16,24.418,16,NA,NA,NA,NA,Final Practice,5171
6,1816,Keselowski,Brad Keselowski,Frd,RoushParts.com,24.4171282,25,23.666,28,23.824,23,23.973,17,24.07,12,24.17,13,24.241,11,24.309,9,Final Practice,5171
2,4180,Cindric #,Austin Cindric #,Frd,Menards/Duracell,24.4201136,26,23.087,3,23.307,5,23.558,5,23.781,5,23.944,7,24.054,7,24.173,7,Final Practice,5171
15,3669,Yeley(i),JJ Yeley(i),Frd,,24.4201176,27,23.717,30,23.861,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
10,40,Almirola,Aric Almirola,Frd,Smithfield,24.4258696,28,23.096,4,23.305,4,23.516,2,23.694,1,23.848,1,23.965,1,24.08,1,Final Practice,5171
7,4096,LaJoie,Corey LaJoie,Chv,Built.com,24.4382857,29,23.393,14,23.593,14,24.813,29,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5171
4,1416,Harvick,Kevin Harvick,Frd,Mobil 1,24.4512564,30,23.516,19,23.654,19,23.854,13,24.092,14,24.151,12,24.208,10,24.33,10,Final Practice,5171
22,3859,Logano,Joey Logano,Frd,Shell Pennzoil,24.4575957,31,23.379,13,23.542,12,23.749,10,23.876,9,23.965,8,24.079,8,24.166,6,Final Practice,5171
21,4217,Burton #,Harrison Burton #,Frd,Menards/Dutch Boy,24.474234,32,23.331,12,23.439,9,23.668,8,23.852,8,23.981,9,24.084,9,24.184,8,Final Practice,5171
