Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,14,7,Justin Allgaier,Chv,34,1,5000,8
1,24.162,111.746,14,7,Justin Allgaier,Chv,34,1,5000,1
2,24.018,112.416,13,7,Justin Allgaier,Chv,34,1,5000,1
3,23.876,113.084,13,7,Justin Allgaier,Chv,34,1,5000,1
4,24.105,112.010,13,7,Justin Allgaier,Chv,34,1,5000,1
5,23.792,113.484,11,7,Justin Allgaier,Chv,34,1,5000,1
6,23.87,113.113,11,7,Justin Allgaier,Chv,34,1,5000,1
7,24.068,112.182,11,7,Justin Allgaier,Chv,34,1,5000,1
8,24.006,112.472,11,7,Justin Allgaier,Chv,34,1,5000,1
9,24.04,112.313,11,7,Justin Allgaier,Chv,34,1,5000,1
10,24.163,111.741,11,7,Justin Allgaier,Chv,34,1,5000,1
11,24.26,111.294,11,7,Justin Allgaier,Chv,34,1,5000,1
12,24.397,110.669,11,7,Justin Allgaier,Chv,34,1,5000,1
13,24.449,110.434,11,7,Justin Allgaier,Chv,34,1,5000,1
14,24.417,110.579,11,7,Justin Allgaier,Chv,34,1,5000,1
15,24.525,110.092,11,7,Justin Allgaier,Chv,34,1,5000,1
16,24.746,109.109,11,7,Justin Allgaier,Chv,34,1,5000,1
17,24.754,109.073,11,7,Justin Allgaier,Chv,34,1,5000,1
18,24.72,109.223,11,7,Justin Allgaier,Chv,34,1,5000,1
19,24.747,109.104,11,7,Justin Allgaier,Chv,34,1,5000,1
20,24.955,108.195,10,7,Justin Allgaier,Chv,34,1,5000,1
21,24.714,109.250,9,7,Justin Allgaier,Chv,34,1,5000,1
22,24.827,108.753,9,7,Justin Allgaier,Chv,34,1,5000,1
23,24.891,108.473,9,7,Justin Allgaier,Chv,34,1,5000,1
24,24.919,108.351,9,7,Justin Allgaier,Chv,34,1,5000,1
25,25.112,107.518,8,7,Justin Allgaier,Chv,34,1,5000,1
26,25.274,106.829,8,7,Justin Allgaier,Chv,34,1,5000,1
27,25.195,107.164,7,7,Justin Allgaier,Chv,34,1,5000,1
28,25.046,107.802,7,7,Justin Allgaier,Chv,34,1,5000,1
