Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,30,16,AJ Allmendinger,Chv,3774,1,4977,8
1,35.206,157.473,28,16,AJ Allmendinger,Chv,3774,1,4977,1
2,34.632,160.083,28,16,AJ Allmendinger,Chv,3774,1,4977,1
3,34.159,162.300,26,16,AJ Allmendinger,Chv,3774,1,4977,1
4,34.487,160.756,24,16,AJ Allmendinger,Chv,3774,1,4977,1
5,34.333,161.477,21,16,AJ Allmendinger,Chv,3774,1,4977,1
6,33.79,164.072,21,16,AJ Allmendinger,Chv,3774,1,4977,1
7,34.482,160.780,20,16,AJ Allmendinger,Chv,3774,1,4977,1
8,33.84,163.830,20,16,AJ Allmendinger,Chv,3774,1,4977,1
9,34.181,162.195,20,16,AJ Allmendinger,Chv,3774,1,4977,1
10,34.717,159.691,18,16,AJ Allmendinger,Chv,3774,1,4977,1
11,34.432,161.013,18,16,AJ Allmendinger,Chv,3774,1,4977,1
12,34.449,160.934,17,16,AJ Allmendinger,Chv,3774,1,4977,1
13,34.107,162.547,17,16,AJ Allmendinger,Chv,3774,1,4977,1
14,33.912,163.482,17,16,AJ Allmendinger,Chv,3774,1,4977,1
15,34.376,161.275,17,16,AJ Allmendinger,Chv,3774,1,4977,1
16,35.106,157.922,16,16,AJ Allmendinger,Chv,3774,1,4977,1
17,51.198,108.285,16,16,AJ Allmendinger,Chv,3774,1,4977,2
18,79.008,70.170,15,16,AJ Allmendinger,Chv,3774,1,4977,2
19,97.514,56.853,14,16,AJ Allmendinger,Chv,3774,1,4977,2
20,97.075,57.110,14,16,AJ Allmendinger,Chv,3774,1,4977,2
21,91.165,60.813,13,16,AJ Allmendinger,Chv,3774,1,4977,1
22,36.26,152.896,15,16,AJ Allmendinger,Chv,3774,1,4977,1
23,34.616,160.157,15,16,AJ Allmendinger,Chv,3774,1,4977,1
24,34.615,160.162,16,16,AJ Allmendinger,Chv,3774,1,4977,1
25,34.512,160.640,15,16,AJ Allmendinger,Chv,3774,1,4977,1
26,34.784,159.384,15,16,AJ Allmendinger,Chv,3774,1,4977,1
27,34.899,158.858,15,16,AJ Allmendinger,Chv,3774,1,4977,1
28,34.96,158.581,15,16,AJ Allmendinger,Chv,3774,1,4977,1
29,34.85,159.082,13,16,AJ Allmendinger,Chv,3774,1,4977,1
30,34.816,159.237,13,16,AJ Allmendinger,Chv,3774,1,4977,1
31,34.898,158.863,12,16,AJ Allmendinger,Chv,3774,1,4977,1
32,34.889,158.904,11,16,AJ Allmendinger,Chv,3774,1,4977,1
33,34.669,159.912,11,16,AJ Allmendinger,Chv,3774,1,4977,1
34,34.809,159.269,11,16,AJ Allmendinger,Chv,3774,1,4977,1
35,35.429,156.482,11,16,AJ Allmendinger,Chv,3774,1,4977,1
36,35.066,158.102,10,16,AJ Allmendinger,Chv,3774,1,4977,1
37,35.06,158.129,10,16,AJ Allmendinger,Chv,3774,1,4977,1
38,35.177,157.603,9,16,AJ Allmendinger,Chv,3774,1,4977,1
39,34.843,159.114,9,16,AJ Allmendinger,Chv,3774,1,4977,1
40,34.829,159.178,9,16,AJ Allmendinger,Chv,3774,1,4977,1
41,52.753,105.094,9,16,AJ Allmendinger,Chv,3774,1,4977,2
42,70.884,78.212,9,16,AJ Allmendinger,Chv,3774,1,4977,2
43,116.102,47.751,17,16,AJ Allmendinger,Chv,3774,1,4977,2
44,83.83,66.134,7,16,AJ Allmendinger,Chv,3774,1,4977,2
45,94.062,58.940,6,16,AJ Allmendinger,Chv,3774,1,4977,2
46,97.045,57.128,5,16,AJ Allmendinger,Chv,3774,1,4977,2
47,94.579,58.618,6,16,AJ Allmendinger,Chv,3774,1,4977,1
48,34.643,160.032,5,16,AJ Allmendinger,Chv,3774,1,4977,1
49,33.332,166.327,7,16,AJ Allmendinger,Chv,3774,1,4977,1
50,33.683,164.593,8,16,AJ Allmendinger,Chv,3774,1,4977,1
51,33.323,166.372,8,16,AJ Allmendinger,Chv,3774,1,4977,1
52,33.615,164.926,8,16,AJ Allmendinger,Chv,3774,1,4977,1
53,33.792,164.062,8,16,AJ Allmendinger,Chv,3774,1,4977,1
54,33.897,163.554,8,16,AJ Allmendinger,Chv,3774,1,4977,1
55,33.866,163.704,8,16,AJ Allmendinger,Chv,3774,1,4977,1
56,33.997,163.073,8,16,AJ Allmendinger,Chv,3774,1,4977,1
57,34.265,161.798,8,16,AJ Allmendinger,Chv,3774,1,4977,1
58,34.211,162.053,8,16,AJ Allmendinger,Chv,3774,1,4977,1
59,34.4,161.163,8,16,AJ Allmendinger,Chv,3774,1,4977,1
60,34.311,161.581,8,16,AJ Allmendinger,Chv,3774,1,4977,1
61,34.353,161.383,8,16,AJ Allmendinger,Chv,3774,1,4977,1
62,34.509,160.654,8,16,AJ Allmendinger,Chv,3774,1,4977,1
63,34.182,162.191,7,16,AJ Allmendinger,Chv,3774,1,4977,1
64,34.447,160.943,7,16,AJ Allmendinger,Chv,3774,1,4977,1
65,34.449,160.934,7,16,AJ Allmendinger,Chv,3774,1,4977,1
66,34.474,160.817,5,16,AJ Allmendinger,Chv,3774,1,4977,1
67,34.676,159.880,5,16,AJ Allmendinger,Chv,3774,1,4977,1
68,34.726,159.650,5,16,AJ Allmendinger,Chv,3774,1,4977,1
69,39.334,140.947,5,16,AJ Allmendinger,Chv,3774,1,4977,2
70,85.02,65.208,5,16,AJ Allmendinger,Chv,3774,1,4977,2
71,98.401,56.341,5,16,AJ Allmendinger,Chv,3774,1,4977,2
72,97.711,56.739,5,16,AJ Allmendinger,Chv,3774,1,4977,2
73,94.336,58.769,6,16,AJ Allmendinger,Chv,3774,1,4977,1
74,35.521,156.077,6,16,AJ Allmendinger,Chv,3774,1,4977,1
75,33.957,163.265,6,16,AJ Allmendinger,Chv,3774,1,4977,1
76,34.02,162.963,5,16,AJ Allmendinger,Chv,3774,1,4977,1
77,33.957,163.265,5,16,AJ Allmendinger,Chv,3774,1,4977,1
