Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,7,21,Zane Smith,Chv,4272,1,4995,8
1,43.798,164.391,13,21,Zane Smith,Chv,4272,1,4995,1
2,41.133,175.042,12,21,Zane Smith,Chv,4272,1,4995,1
3,40.807,176.440,11,21,Zane Smith,Chv,4272,1,4995,1
4,62.976,114.329,11,21,Zane Smith,Chv,4272,1,4995,2
5,98.492,73.102,11,21,Zane Smith,Chv,4272,1,4995,2
6,112.89,63.779,11,21,Zane Smith,Chv,4272,1,4995,2
7,104.052,69.196,14,21,Zane Smith,Chv,4272,1,4995,1
8,43.228,166.559,12,21,Zane Smith,Chv,4272,1,4995,1
9,40.209,179.064,9,21,Zane Smith,Chv,4272,1,4995,1
10,40.294,178.687,9,21,Zane Smith,Chv,4272,1,4995,1
11,40.392,178.253,9,21,Zane Smith,Chv,4272,1,4995,1
12,40.345,178.461,9,21,Zane Smith,Chv,4272,1,4995,1
13,46.405,155.156,8,21,Zane Smith,Chv,4272,1,4995,2
14,95.835,75.129,8,21,Zane Smith,Chv,4272,1,4995,2
15,110.136,65.374,8,21,Zane Smith,Chv,4272,1,4995,2
19,94.951,75.829,9,21,Zane Smith,Chv,4272,1,4995,2
20,112.085,64.237,9,21,Zane Smith,Chv,4272,1,4995,2
21,108.401,66.420,11,21,Zane Smith,Chv,4272,1,4995,2
22,120.098,59.951,23,21,Zane Smith,Chv,4272,1,4995,2
23,114.637,62.807,23,21,Zane Smith,Chv,4272,1,4995,2
24,99.189,72.589,32,21,Zane Smith,Chv,4272,1,4995,1
25,42.971,167.555,26,21,Zane Smith,Chv,4272,1,4995,1
26,41.064,175.336,25,21,Zane Smith,Chv,4272,1,4995,1
27,40.753,176.674,24,21,Zane Smith,Chv,4272,1,4995,1
28,41.022,175.516,23,21,Zane Smith,Chv,4272,1,4995,1
29,40.986,175.670,20,21,Zane Smith,Chv,4272,1,4995,1
30,41.662,172.819,21,21,Zane Smith,Chv,4272,1,4995,1
31,40.589,177.388,18,21,Zane Smith,Chv,4272,1,4995,1
32,39.942,180.261,18,21,Zane Smith,Chv,4272,1,4995,1
33,39.968,180.144,18,21,Zane Smith,Chv,4272,1,4995,1
34,40.564,177.497,18,21,Zane Smith,Chv,4272,1,4995,1
35,40.757,176.657,17,21,Zane Smith,Chv,4272,1,4995,1
36,40.145,179.350,16,21,Zane Smith,Chv,4272,1,4995,1
37,40.44,178.042,16,21,Zane Smith,Chv,4272,1,4995,1
38,40.073,179.672,15,21,Zane Smith,Chv,4272,1,4995,1
39,40.211,179.055,14,21,Zane Smith,Chv,4272,1,4995,1
40,40.685,176.969,15,21,Zane Smith,Chv,4272,1,4995,1
41,62.748,114.745,15,21,Zane Smith,Chv,4272,1,4995,2
42,91.88,78.363,15,21,Zane Smith,Chv,4272,1,4995,2
43,109.449,65.784,10,21,Zane Smith,Chv,4272,1,4995,2
44,111.101,64.806,11,21,Zane Smith,Chv,4272,1,4995,2
45,108.728,66.220,9,21,Zane Smith,Chv,4272,1,4995,2
46,107.477,66.991,12,21,Zane Smith,Chv,4272,1,4995,2
47,106.486,67.615,11,21,Zane Smith,Chv,4272,1,4995,1
48,42.712,168.571,8,21,Zane Smith,Chv,4272,1,4995,1
49,40.198,179.113,7,21,Zane Smith,Chv,4272,1,4995,1
50,68.919,104.470,7,21,Zane Smith,Chv,4272,1,4995,2
51,104.909,68.631,7,21,Zane Smith,Chv,4272,1,4995,2
52,109.936,65.493,7,21,Zane Smith,Chv,4272,1,4995,2
53,110.26,65.300,7,21,Zane Smith,Chv,4272,1,4995,2
54,110.395,65.220,7,21,Zane Smith,Chv,4272,1,4995,2
55,110.985,64.874,7,21,Zane Smith,Chv,4272,1,4995,2
56,111.664,64.479,7,21,Zane Smith,Chv,4272,1,4995,2
57,106.855,67.381,9,21,Zane Smith,Chv,4272,1,4995,1
58,42.301,170.209,7,21,Zane Smith,Chv,4272,1,4995,1
59,56.154,128.219,7,21,Zane Smith,Chv,4272,1,4995,2
60,99.617,72.277,7,21,Zane Smith,Chv,4272,1,4995,2
61,110.912,64.916,5,21,Zane Smith,Chv,4272,1,4995,2
62,109.657,65.659,5,21,Zane Smith,Chv,4272,1,4995,2
63,114.371,62.953,11,21,Zane Smith,Chv,4272,1,4995,2
64,122.417,58.815,36,21,Zane Smith,Chv,4272,1,4995,1
65,40.067,179.699,35,21,Zane Smith,Chv,4272,1,4995,1
66,40.089,179.600,35,21,Zane Smith,Chv,4272,1,4995,1
67,40.023,179.897,34,21,Zane Smith,Chv,4272,1,4995,1
68,39.943,180.257,31,21,Zane Smith,Chv,4272,1,4995,1
69,39.801,180.900,30,21,Zane Smith,Chv,4272,1,4995,1
70,40.485,177.844,28,21,Zane Smith,Chv,4272,1,4995,1
71,39.869,180.591,27,21,Zane Smith,Chv,4272,1,4995,1
72,56.345,127.784,26,21,Zane Smith,Chv,4272,1,4995,2
73,87.612,82.181,21,21,Zane Smith,Chv,4272,1,4995,2
74,110.403,65.216,19,21,Zane Smith,Chv,4272,1,4995,2
75,111.072,64.823,19,21,Zane Smith,Chv,4272,1,4995,2
76,98.008,73.463,17,21,Zane Smith,Chv,4272,1,4995,1
77,43.25,166.474,19,21,Zane Smith,Chv,4272,1,4995,1
78,41.083,175.255,19,21,Zane Smith,Chv,4272,1,4995,1
79,40.369,178.355,18,21,Zane Smith,Chv,4272,1,4995,1
80,40.364,178.377,16,21,Zane Smith,Chv,4272,1,4995,1
81,39.692,181.397,14,21,Zane Smith,Chv,4272,1,4995,1
82,39.454,182.491,13,21,Zane Smith,Chv,4272,1,4995,1
83,39.941,180.266,13,21,Zane Smith,Chv,4272,1,4995,1
84,39.941,180.266,13,21,Zane Smith,Chv,4272,1,4995,1
85,53.825,133.767,12,21,Zane Smith,Chv,4272,1,4995,2
86,97.711,73.687,14,21,Zane Smith,Chv,4272,1,4995,2
87,119.612,60.195,25,21,Zane Smith,Chv,4272,1,4995,2
88,111.206,64.745,22,21,Zane Smith,Chv,4272,1,4995,2
89,93.607,76.917,16,21,Zane Smith,Chv,4272,1,4995,1
90,50.595,142.307,16,21,Zane Smith,Chv,4272,1,4995,2
91,99.705,72.213,17,21,Zane Smith,Chv,4272,1,4995,2
92,111.892,64.348,17,21,Zane Smith,Chv,4272,1,4995,2
93,111.95,64.314,17,21,Zane Smith,Chv,4272,1,4995,2
94,99.083,72.666,20,21,Zane Smith,Chv,4272,1,4995,1
95,43.086,167.108,18,21,Zane Smith,Chv,4272,1,4995,1
96,65.371,110.141,18,21,Zane Smith,Chv,4272,1,4995,2
97,95.649,75.275,18,21,Zane Smith,Chv,4272,1,4995,2
98,111.87,64.360,18,21,Zane Smith,Chv,4272,1,4995,2
99,96.73,74.434,14,21,Zane Smith,Chv,4272,1,4995,1
100,45.166,159.412,8,21,Zane Smith,Chv,4272,1,4995,2
101,96.194,74.849,8,21,Zane Smith,Chv,4272,1,4995,2
102,110.405,65.214,8,21,Zane Smith,Chv,4272,1,4995,2
103,788.199,9.135,8,21,Zane Smith,Chv,4272,1,4995,2
104,101.486,70.946,8,21,Zane Smith,Chv,4272,1,4995,2
