Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,5,99,Ben Rhodes,Frd,4107,1,5002,8
1,32.536,151.143,6,99,Ben Rhodes,Frd,4107,1,5002,1
2,30.931,158.986,6,99,Ben Rhodes,Frd,4107,1,5002,1
3,30.947,158.904,6,99,Ben Rhodes,Frd,4107,1,5002,1
4,31.072,158.265,6,99,Ben Rhodes,Frd,4107,1,5002,1
5,31.569,155.773,6,99,Ben Rhodes,Frd,4107,1,5002,2
6,49.158,100.037,6,99,Ben Rhodes,Frd,4107,1,5002,2
7,82.758,59.421,7,99,Ben Rhodes,Frd,4107,1,5002,2
8,93.348,52.680,7,99,Ben Rhodes,Frd,4107,1,5002,2
9,94.517,52.029,7,99,Ben Rhodes,Frd,4107,1,5002,2
10,85.37,57.603,5,99,Ben Rhodes,Frd,4107,1,5002,1
11,33.141,148.384,5,99,Ben Rhodes,Frd,4107,1,5002,1
12,31.311,157.057,5,99,Ben Rhodes,Frd,4107,1,5002,1
13,31.053,158.362,5,99,Ben Rhodes,Frd,4107,1,5002,1
14,31.32,157.011,5,99,Ben Rhodes,Frd,4107,1,5002,1
15,31.465,156.288,5,99,Ben Rhodes,Frd,4107,1,5002,1
16,31.445,156.387,5,99,Ben Rhodes,Frd,4107,1,5002,1
17,31.685,155.203,5,99,Ben Rhodes,Frd,4107,1,5002,1
18,32.096,153.215,5,99,Ben Rhodes,Frd,4107,1,5002,1
19,32.201,152.716,5,99,Ben Rhodes,Frd,4107,1,5002,1
20,32.693,150.418,5,99,Ben Rhodes,Frd,4107,1,5002,1
21,37.688,130.482,5,99,Ben Rhodes,Frd,4107,1,5002,2
22,81.05,60.674,4,99,Ben Rhodes,Frd,4107,1,5002,2
23,95.859,51.300,6,99,Ben Rhodes,Frd,4107,1,5002,2
24,94.329,52.132,6,99,Ben Rhodes,Frd,4107,1,5002,2
25,86.2,57.049,5,99,Ben Rhodes,Frd,4107,1,5002,1
26,32.676,150.496,4,99,Ben Rhodes,Frd,4107,1,5002,1
27,30.915,159.068,4,99,Ben Rhodes,Frd,4107,1,5002,1
28,30.69,160.235,4,99,Ben Rhodes,Frd,4107,1,5002,1
29,30.823,159.543,4,99,Ben Rhodes,Frd,4107,1,5002,1
