Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,7,18,Chandler Smith,Tyt,4312,1,5138,8
1,17.758,108.053,10,18,Chandler Smith,Tyt,4312,1,5138,1
2,16.573,115.779,10,18,Chandler Smith,Tyt,4312,1,5138,1
3,17.325,110.753,10,18,Chandler Smith,Tyt,4312,1,5138,2
4,41.457,46.284,10,18,Chandler Smith,Tyt,4312,1,5138,2
5,53.023,36.188,10,18,Chandler Smith,Tyt,4312,1,5138,2
6,54.208,35.397,10,18,Chandler Smith,Tyt,4312,1,5138,2
7,52.759,36.369,10,18,Chandler Smith,Tyt,4312,1,5138,2
8,53.392,35.938,10,18,Chandler Smith,Tyt,4312,1,5138,2
9,53.122,36.121,10,18,Chandler Smith,Tyt,4312,1,5138,2
10,53.619,35.786,10,18,Chandler Smith,Tyt,4312,1,5138,2
11,55.126,34.808,10,18,Chandler Smith,Tyt,4312,1,5138,2
12,49.437,38.813,9,18,Chandler Smith,Tyt,4312,1,5138,2
13,49.997,38.378,8,18,Chandler Smith,Tyt,4312,1,5138,1
14,17.142,111.936,8,18,Chandler Smith,Tyt,4312,1,5138,1
15,16.525,116.115,8,18,Chandler Smith,Tyt,4312,1,5138,1
16,16.379,117.150,7,18,Chandler Smith,Tyt,4312,1,5138,1
17,16.018,119.790,7,18,Chandler Smith,Tyt,4312,1,5138,1
18,16.334,117.473,7,18,Chandler Smith,Tyt,4312,1,5138,1
19,16.256,118.036,8,18,Chandler Smith,Tyt,4312,1,5138,1
20,15.99,120.000,8,18,Chandler Smith,Tyt,4312,1,5138,1
21,16.046,119.581,8,18,Chandler Smith,Tyt,4312,1,5138,1
22,17.779,107.925,8,18,Chandler Smith,Tyt,4312,1,5138,2
23,36.937,51.948,8,18,Chandler Smith,Tyt,4312,1,5138,2
24,52.806,36.337,8,18,Chandler Smith,Tyt,4312,1,5138,2
25,52.332,36.666,8,18,Chandler Smith,Tyt,4312,1,5138,2
26,53.645,35.768,8,18,Chandler Smith,Tyt,4312,1,5138,2
27,54.428,35.254,8,18,Chandler Smith,Tyt,4312,1,5138,2
28,53.413,35.924,8,18,Chandler Smith,Tyt,4312,1,5138,2
29,53.556,35.828,8,18,Chandler Smith,Tyt,4312,1,5138,2
30,53.467,35.888,8,18,Chandler Smith,Tyt,4312,1,5138,2
31,54.586,35.152,8,18,Chandler Smith,Tyt,4312,1,5138,2
32,47.427,40.458,8,18,Chandler Smith,Tyt,4312,1,5138,1
33,17.198,111.571,9,18,Chandler Smith,Tyt,4312,1,5138,1
34,16.369,117.222,9,18,Chandler Smith,Tyt,4312,1,5138,1
35,16.259,118.015,9,18,Chandler Smith,Tyt,4312,1,5138,1
36,16.338,117.444,10,18,Chandler Smith,Tyt,4312,1,5138,1
37,16.662,115.160,11,18,Chandler Smith,Tyt,4312,1,5138,1
