Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,15,54,Ty Gibbs,Tyt,4368,1,5107,8
1,79.352,111.150,11,54,Ty Gibbs,Tyt,4368,1,5107,1
2,75.172,117.331,10,54,Ty Gibbs,Tyt,4368,1,5107,1
3,74.37,118.596,8,54,Ty Gibbs,Tyt,4368,1,5107,1
4,98.077,89.929,8,54,Ty Gibbs,Tyt,4368,1,5107,2
5,181.195,48.677,8,54,Ty Gibbs,Tyt,4368,1,5107,2
6,215.325,40.961,7,54,Ty Gibbs,Tyt,4368,1,5107,2
7,191.723,46.004,8,54,Ty Gibbs,Tyt,4368,1,5107,1
8,76.857,114.759,6,54,Ty Gibbs,Tyt,4368,1,5107,1
9,74.558,118.297,5,54,Ty Gibbs,Tyt,4368,1,5107,1
10,73.611,119.819,5,54,Ty Gibbs,Tyt,4368,1,5107,1
11,167.966,52.511,5,54,Ty Gibbs,Tyt,4368,1,5107,2
12,191.427,46.075,6,54,Ty Gibbs,Tyt,4368,1,5107,1
13,75.984,116.077,5,54,Ty Gibbs,Tyt,4368,1,5107,1
14,74.347,118.633,4,54,Ty Gibbs,Tyt,4368,1,5107,1
15,73.968,119.241,4,54,Ty Gibbs,Tyt,4368,1,5107,1
16,74.074,119.070,4,54,Ty Gibbs,Tyt,4368,1,5107,1
17,84.545,104.323,10,54,Ty Gibbs,Tyt,4368,1,5107,1
18,104.336,84.535,29,54,Ty Gibbs,Tyt,4368,1,5107,1
19,75.12,117.412,26,54,Ty Gibbs,Tyt,4368,1,5107,1
20,75.843,116.293,26,54,Ty Gibbs,Tyt,4368,1,5107,1
21,107.907,81.737,26,54,Ty Gibbs,Tyt,4368,1,5107,2
22,186.524,47.286,9,54,Ty Gibbs,Tyt,4368,1,5107,2
23,210.28,41.944,3,54,Ty Gibbs,Tyt,4368,1,5107,2
24,195.105,45.206,3,54,Ty Gibbs,Tyt,4368,1,5107,1
25,77.39,113.968,2,54,Ty Gibbs,Tyt,4368,1,5107,1
26,74.753,117.989,1,54,Ty Gibbs,Tyt,4368,1,5107,1
27,74.808,117.902,1,54,Ty Gibbs,Tyt,4368,1,5107,1
28,74.533,118.337,1,54,Ty Gibbs,Tyt,4368,1,5107,1
29,74.607,118.219,1,54,Ty Gibbs,Tyt,4368,1,5107,1
30,74.695,118.080,1,54,Ty Gibbs,Tyt,4368,1,5107,1
31,74.74,118.009,1,54,Ty Gibbs,Tyt,4368,1,5107,1
32,74.562,118.291,1,54,Ty Gibbs,Tyt,4368,1,5107,1
33,74.736,118.015,1,54,Ty Gibbs,Tyt,4368,1,5107,1
34,196.2,44.954,1,54,Ty Gibbs,Tyt,4368,1,5107,2
35,201.514,43.769,1,54,Ty Gibbs,Tyt,4368,1,5107,2
