Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,3,9,Noah Gragson,Chv,4224,1,5112,8
1,24.779,108.963,5,9,Noah Gragson,Chv,4224,1,5112,1
2,24.018,112.416,5,9,Noah Gragson,Chv,4224,1,5112,1
3,24.073,112.159,5,9,Noah Gragson,Chv,4224,1,5112,1
4,23.82,113.350,4,9,Noah Gragson,Chv,4224,1,5112,1
5,23.964,112.669,4,9,Noah Gragson,Chv,4224,1,5112,1
6,24.024,112.388,4,9,Noah Gragson,Chv,4224,1,5112,1
7,24.132,111.885,4,9,Noah Gragson,Chv,4224,1,5112,1
8,24.257,111.308,4,9,Noah Gragson,Chv,4224,1,5112,1
9,24.443,110.461,4,9,Noah Gragson,Chv,4224,1,5112,1
10,24.47,110.339,4,9,Noah Gragson,Chv,4224,1,5112,1
11,24.59,109.801,4,9,Noah Gragson,Chv,4224,1,5112,1
12,24.589,109.805,4,9,Noah Gragson,Chv,4224,1,5112,1
13,24.628,109.631,4,9,Noah Gragson,Chv,4224,1,5112,1
14,24.623,109.654,4,9,Noah Gragson,Chv,4224,1,5112,1
15,24.851,108.648,3,9,Noah Gragson,Chv,4224,1,5112,1
16,24.7,109.312,3,9,Noah Gragson,Chv,4224,1,5112,1
17,24.738,109.144,3,9,Noah Gragson,Chv,4224,1,5112,1
18,24.925,108.325,3,9,Noah Gragson,Chv,4224,1,5112,1
19,24.785,108.937,3,9,Noah Gragson,Chv,4224,1,5112,1
20,25.002,107.991,3,9,Noah Gragson,Chv,4224,1,5112,1
21,25.018,107.922,3,9,Noah Gragson,Chv,4224,1,5112,1
22,24.973,108.117,3,9,Noah Gragson,Chv,4224,1,5112,1
23,25.005,107.978,3,9,Noah Gragson,Chv,4224,1,5112,1
24,24.956,108.190,3,9,Noah Gragson,Chv,4224,1,5112,1
25,25.029,107.875,3,9,Noah Gragson,Chv,4224,1,5112,1
26,25.182,107.219,3,9,Noah Gragson,Chv,4224,1,5112,1
27,25.144,107.381,3,9,Noah Gragson,Chv,4224,1,5112,1
28,25.495,105.903,4,9,Noah Gragson,Chv,4224,1,5112,1
29,25.5,105.882,4,9,Noah Gragson,Chv,4224,1,5112,1
30,25.532,105.750,5,9,Noah Gragson,Chv,4224,1,5112,1
31,25.275,106.825,5,9,Noah Gragson,Chv,4224,1,5112,1
32,25.405,106.278,5,9,Noah Gragson,Chv,4224,1,5112,1
33,25.897,104.259,6,9,Noah Gragson,Chv,4224,1,5112,1
34,25.437,106.145,6,9,Noah Gragson,Chv,4224,1,5112,1
35,25.495,105.903,6,9,Noah Gragson,Chv,4224,1,5112,1
36,33.52,80.549,6,9,Noah Gragson,Chv,4224,1,5112,2
37,49.11,54.979,6,9,Noah Gragson,Chv,4224,1,5112,2
38,57.821,46.696,6,9,Noah Gragson,Chv,4224,1,5112,2
39,57.295,47.125,6,9,Noah Gragson,Chv,4224,1,5112,2
40,59.47,45.401,6,9,Noah Gragson,Chv,4224,1,5112,2
41,62.214,43.399,8,9,Noah Gragson,Chv,4224,1,5112,2
42,54.222,49.795,7,9,Noah Gragson,Chv,4224,1,5112,1
43,25.413,106.245,6,9,Noah Gragson,Chv,4224,1,5112,1
44,25.519,105.804,7,9,Noah Gragson,Chv,4224,1,5112,1
45,25.154,107.339,7,9,Noah Gragson,Chv,4224,1,5112,1
46,25.137,107.411,7,9,Noah Gragson,Chv,4224,1,5112,1
47,25.062,107.733,7,9,Noah Gragson,Chv,4224,1,5112,1
48,25.06,107.741,7,9,Noah Gragson,Chv,4224,1,5112,1
49,25.129,107.446,7,9,Noah Gragson,Chv,4224,1,5112,1
50,25.124,107.467,6,9,Noah Gragson,Chv,4224,1,5112,1
51,25.748,104.863,6,9,Noah Gragson,Chv,4224,1,5112,1
