Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,10,54,John Hunter Nemechek,Tyt,4092,1,5117,8
1,32.774,164.765,10,54,John Hunter Nemechek,Tyt,4092,1,5117,1
2,30.567,176.661,9,54,John Hunter Nemechek,Tyt,4092,1,5117,1
3,30.326,178.065,9,54,John Hunter Nemechek,Tyt,4092,1,5117,1
4,30.066,179.605,7,54,John Hunter Nemechek,Tyt,4092,1,5117,1
5,30.013,179.922,7,54,John Hunter Nemechek,Tyt,4092,1,5117,1
6,30.123,179.265,7,54,John Hunter Nemechek,Tyt,4092,1,5117,1
7,30.243,178.554,7,54,John Hunter Nemechek,Tyt,4092,1,5117,1
8,30.295,178.247,7,54,John Hunter Nemechek,Tyt,4092,1,5117,1
9,30.448,177.352,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
10,30.001,179.994,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
11,30.181,178.921,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
12,30.211,178.743,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
13,30.221,178.684,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
14,30.425,177.486,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
15,30.796,175.347,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
16,30.551,176.754,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
17,30.747,175.627,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
18,30.76,175.553,5,54,John Hunter Nemechek,Tyt,4092,1,5117,1
19,30.775,175.467,5,54,John Hunter Nemechek,Tyt,4092,1,5117,1
20,30.744,175.644,5,54,John Hunter Nemechek,Tyt,4092,1,5117,1
21,39.5,136.709,5,54,John Hunter Nemechek,Tyt,4092,1,5117,2
22,82.812,65.208,5,54,John Hunter Nemechek,Tyt,4092,1,5117,2
23,91.973,58.713,5,54,John Hunter Nemechek,Tyt,4092,1,5117,2
24,93.036,58.042,5,54,John Hunter Nemechek,Tyt,4092,1,5117,2
25,86.737,62.257,6,54,John Hunter Nemechek,Tyt,4092,1,5117,1
26,38.078,141.814,5,54,John Hunter Nemechek,Tyt,4092,1,5117,2
