Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,1,54,Kyle Busch,Tyt,454,1,5102,8
1,33.316,143.715,2,54,Kyle Busch,Tyt,454,1,5102,1
2,32.017,149.546,3,54,Kyle Busch,Tyt,454,1,5102,1
3,31.396,152.504,3,54,Kyle Busch,Tyt,454,1,5102,1
4,31.287,153.035,3,54,Kyle Busch,Tyt,454,1,5102,1
5,31.402,152.474,3,54,Kyle Busch,Tyt,454,1,5102,1
6,31.531,151.851,3,54,Kyle Busch,Tyt,454,1,5102,1
7,31.702,151.031,3,54,Kyle Busch,Tyt,454,1,5102,1
8,31.707,151.008,3,54,Kyle Busch,Tyt,454,1,5102,1
9,31.63,151.375,3,54,Kyle Busch,Tyt,454,1,5102,1
10,31.448,152.251,3,54,Kyle Busch,Tyt,454,1,5102,1
11,31.543,151.793,3,54,Kyle Busch,Tyt,454,1,5102,1
12,31.657,151.246,3,54,Kyle Busch,Tyt,454,1,5102,1
13,31.719,150.951,3,54,Kyle Busch,Tyt,454,1,5102,1
14,31.635,151.351,3,54,Kyle Busch,Tyt,454,1,5102,1
15,31.707,151.008,3,54,Kyle Busch,Tyt,454,1,5102,1
16,31.841,150.372,2,54,Kyle Busch,Tyt,454,1,5102,1
17,31.624,151.404,2,54,Kyle Busch,Tyt,454,1,5102,1
18,31.703,151.027,2,54,Kyle Busch,Tyt,454,1,5102,1
19,31.708,151.003,2,54,Kyle Busch,Tyt,454,1,5102,1
20,31.699,151.046,2,54,Kyle Busch,Tyt,454,1,5102,1
21,31.653,151.265,2,54,Kyle Busch,Tyt,454,1,5102,1
22,31.605,151.495,2,54,Kyle Busch,Tyt,454,1,5102,1
23,31.675,151.160,2,54,Kyle Busch,Tyt,454,1,5102,1
24,31.688,151.098,2,54,Kyle Busch,Tyt,454,1,5102,1
25,31.73,150.898,2,54,Kyle Busch,Tyt,454,1,5102,1
26,31.861,150.278,2,54,Kyle Busch,Tyt,454,1,5102,1
27,31.77,150.708,2,54,Kyle Busch,Tyt,454,1,5102,1
28,31.933,149.939,2,54,Kyle Busch,Tyt,454,1,5102,1
29,32.092,149.196,2,54,Kyle Busch,Tyt,454,1,5102,1
30,32.407,147.746,2,54,Kyle Busch,Tyt,454,1,5102,1
31,32.166,148.853,2,54,Kyle Busch,Tyt,454,1,5102,1
32,32.169,148.839,2,54,Kyle Busch,Tyt,454,1,5102,1
33,32.152,148.918,2,54,Kyle Busch,Tyt,454,1,5102,1
34,31.984,149.700,2,54,Kyle Busch,Tyt,454,1,5102,1
35,32.263,148.405,2,54,Kyle Busch,Tyt,454,1,5102,1
