vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
11,Daniel Hemric,Chevrolet,32,32,2,2,2177.391,2215.428,38.0369,2193.6969,2208.7116,15.0147,16.3059,6.7163,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,1,19,-18,5184
11,Daniel Hemric,Chevrolet,62,62,2,2,4048.596,4080.383,31.7869,4064.8269,4073.6689,8.8419,16.2309,6.714,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,1,7,-6,5184
11,Daniel Hemric,Chevrolet,74,73,1,1,4830.76,4859.171,28.411,4847.426,4852.2975,4.8714,16.666,6.8734,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,31,33,-2,5184
11,Daniel Hemric,Chevrolet,86,86,2,2,5634.006,5738.396,104.3899,5651.4066,5731.7849,80.3783,17.4006,6.611,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,11,32,-21,5184
11,Daniel Hemric,Chevrolet,92,91,2,2,6155.953,6254.941,98.9879,6173.6674,6247.6395,73.9721,17.7144,7.3014,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,21,26,-5,5184
11,Daniel Hemric,Chevrolet,94,93,2,2,6411.767,6640.482,228.715,6430.4941,6633.8218,203.3277,18.7271,6.6601,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,26,28,-2,5184
11,Daniel Hemric,Chevrolet,116,114,1,1,7726.88,7865.377,138.497,7743.9313,7858.6568,114.7254,17.0513,6.7201,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,27,28,-1,5184
21,Austin Hill #,Chevrolet,32,32,2,2,2178.284,2211.346,33.0619,2190.5271,2201.004,10.4769,12.2431,10.3419,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,4,15,-11,5184
21,Austin Hill #,Chevrolet,62,62,2,2,4053.927,4085.365,31.4379,4066.5619,4074.9368,8.3748,12.6349,10.4281,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,18,13,5,5184
21,Austin Hill #,Chevrolet,75,74,1,1,4878.494,4905.285,26.791,4891.0373,4895.1747,4.1374,12.5433,10.1102,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,22,27,-5,5184
48,Jade Buford,Chevrolet,32,32,2,2,2182.386,2224.449,42.063,2188.3249,2206.8431,18.5181,5.9389,17.6058,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,15,27,-12,5184
48,Jade Buford,Chevrolet,62,62,2,2,4053.304,4095.465,42.161,4059.8888,4077.9731,18.0843,6.5848,17.4918,TWO_WHEEL_CHANGE_RIGHT,TRUE,TRUE,TRUE,TRUE,0,0,16,24,-8,5184
48,Jade Buford,Chevrolet,75,74,1,1,4878.585,4906.698,28.113,4884.4301,4889.7026,5.2725,5.8451,16.9953,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,23,29,-6,5184
2,Sheldon Creed #,Chevrolet,32,32,2,2,2182.641,2230.521,47.88,2199.7695,2224.5272,24.7576,17.1285,5.9937,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,16,31,-15,5184
2,Sheldon Creed #,Chevrolet,62,62,2,2,4052.2,4084.664,32.464,4069.9318,4079.0742,9.1423,17.7318,5.5897,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,12,12,0,5184
2,Sheldon Creed #,Chevrolet,75,74,1,1,4879.188,4906.333,27.1449,4896.5427,4901.3808,4.838,17.3547,4.9521,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,26,28,-2,5184
02,Brett Moffitt,Chevrolet,32,32,2,2,2184.464,2228.603,44.139,2201.1709,2222.7588,21.5878,16.7069,5.8441,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,21,30,-9,5184
02,Brett Moffitt,Chevrolet,62,62,2,2,4053.677,4092.45,38.7729,4070.132,4086.7485,16.6164,16.455,5.7014,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,17,20,-3,5184
02,Brett Moffitt,Chevrolet,76,75,1,1,4931.119,4962.512,31.393,4949.2626,4956.902,7.6393,18.1436,5.6099,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,23,23,0,5184
10,Landon Cassill,Chevrolet,32,32,2,2,2181.474,2221.227,39.7529,2202.0384,2219.1219,17.0834,20.5644,2.105,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,13,25,-12,5184
10,Landon Cassill,Chevrolet,62,62,2,2,4055.023,4086.723,31.6999,4076.138,4084.5797,8.4417,21.115,2.1432,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,22,14,8,5184
10,Landon Cassill,Chevrolet,74,73,1,1,4831.295,4858.219,26.9239,4851.6636,4856.0679,4.4043,20.3686,2.151,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,33,32,1,5184
8,Josh Berry,Chevrolet,32,32,2,2,2181.879,2221.029,39.15,2197.534,2214.1837,16.6496,15.655,6.8452,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,14,24,-10,5184
8,Josh Berry,Chevrolet,62,62,2,2,4050.982,4088.948,37.9659,4066.6286,4082.244,15.6153,15.6466,6.7039,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,8,17,-9,5184
8,Josh Berry,Chevrolet,76,76,1,1,4977.43,5005.55,28.1199,4993.4397,4998.6115,5.1718,16.0097,6.9384,OTHER,FALSE,FALSE,FALSE,FALSE,0,0,9,9,0,5184
8,Josh Berry,Chevrolet,86,86,2,2,5637.274,5677.849,40.5749,5653.5096,5670.193,16.6834,16.2356,7.6559,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,17,27,-10,5184
6,Ryan Vargas,Chevrolet,33,33,2,2,2305.647,2362.381,56.7339,2321.5932,2353.5909,31.9977,15.9462,8.79,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,1,31,-30,5184
6,Ryan Vargas,Chevrolet,63,63,2,2,4177.5649,4225.274,47.709,4193.158,4215.9472,22.7891,15.593,9.3267,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,2,28,-26,5184
6,Ryan Vargas,Chevrolet,86,86,2,2,5630.255,5676.02,45.765,5645.5675,5667.5561,21.9885,15.3125,8.4638,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,2,26,-24,5184
19,Brandon Jones,Toyota,32,32,2,2,2181.138,2211.681,30.543,2186.1895,2194.4976,8.3081,5.0515,17.1833,TWO_WHEEL_CHANGE_LEFT,TRUE,TRUE,FALSE,FALSE,0,0,12,16,-4,5184
19,Brandon Jones,Toyota,33,33,2,2,2313.312,2360.201,46.889,2319.1908,2342.3467,23.1558,5.8788,17.8542,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,17,30,-13,5184
19,Brandon Jones,Toyota,62,62,2,2,4051.296,4082.077,30.781,4056.5856,4064.5599,7.9743,5.2896,17.517,TWO_WHEEL_CHANGE_RIGHT,FALSE,FALSE,TRUE,TRUE,0,0,9,9,0,5184
