Number,NASCARDriverID,Driver,FullName,Manufacturer,Sponsor,OverAllAvg,OverAllAvgRank,BestLapTime,BestLapRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank,PracticeName,race_id
1,4366,Deegan,Hailie Deegan,Frd,Monster Energy,49.097,1,48.215,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
15,4342,Gray,Tanner Gray,Frd,Black's Tire,49.202,2,48.181,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
4,4092,Nemechek,John Hunter Nemechek,Tyt,Pye-Barker Fire & Safety,49.3843,3,48.465,10,49.087,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
23,3978,Enfinger,Grant Enfinger,Chv,Champion Power Equipment,49.4376,4,48.117,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
66,4235,Majeski,Ty Majeski,Tyt,Cincinnati,49.4395,5,48.635,13,48.967,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
22,4189,Self,Austin Wayne Self,Chv,AIRBOX/AM Technical Solutions,49.4616667,6,48.317,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
99,4107,Rhodes,Ben Rhodes,Tyt,EXT Extreme Hair Therapy,49.48,7,48.696,14,48.988,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
98,4268,Eckes,Christian Eckes,Tyt,AHI Facility Services/Curb Records,49.5846364,8,48.615,12,49.085,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
91,4344,Howard,Colby Howard,Chv,Gates Hydraulics,49.651375,9,48.566,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
42,4326,Hocevar,Carson Hocevar,Chv,Premier Security Solutions,49.6817,10,48.875,20,49.325,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
02,4150,Little,Jesse Little,Chv,Shriner's Children's,49.70025,11,48.391,8,48.871,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
19,4297,Kraus,Derek Kraus,Chv,Shockwave,49.7138333,12,48.131,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
44,4364,Wright,Kris Wright,Chv,F.N.B. Corporation,49.7684615,13,48.852,17,49.169,7,49.503,1,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
45,4371,Alan #,Lawless Alan #,Chv,AUTOParkIt.com,49.8210833,14,48.874,19,49.219,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
40,4414,Thompson #,Dean Thompson #,Chv,Worldwide Express,49.9545714,15,48.871,18,49.288,9,49.633,2,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
16,4296,Ankrum,Tyler Ankrum,Tyt,LiUNA!,50.167,16,49.784,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5218
