Number,NASCARDriverID,Driver,FullName,Manufacturer,Sponsor,OverAllAvg,OverAllAvgRank,BestLapTime,BestLapRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank,PracticeName,race_id
1,4366,Deegan,Hailie Deegan,Frd,Wastequip,20.5178889,1,19.636,10,20.263,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
19,4297,Kraus,Derek Kraus,Chv,NAPA AutoCare,20.5493333,2,19.436,3,19.57,2,19.792,1,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
30,4271,Fogleman,Tate Fogleman,Tyt,Rangeline Group,20.693875,3,19.741,16,19.853,10,19.988,3,20.244,1,NA,NA,NA,NA,NA,NA,Practice 1,5223
40,4414,Thompson #,Dean Thompson #,Chv,Worldwide Express,20.7359583,4,20.019,25,20.2,25,20.521,13,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
7,4062,Elliott(i),Chase Elliott(i),Chv,HendrickCars.com,20.7410588,5,19.617,8,19.868,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
98,4268,Eckes,Christian Eckes,Tyt,TSPORT/Curb Records,20.8300435,6,19.755,17,19.878,12,20.025,4,20.488,3,NA,NA,NA,NA,NA,NA,Practice 1,5223
66,4235,Majeski,Ty Majeski,Tyt,TSPORT,20.8772778,7,19.534,6,19.745,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
42,4326,Hocevar,Carson Hocevar,Chv,Premier Security Solutions,20.9505714,8,19.453,4,19.652,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
52,4205,Friesen,Stewart Friesen,Tyt,Halmar International,20.9615476,9,19.369,1,19.527,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
44,4364,Wright,Kris Wright,Chv,Big Dog Energy,21.0041875,10,19.77,18,19.936,17,20.169,8,20.58,5,NA,NA,NA,NA,NA,NA,Practice 1,5223
16,4296,Ankrum,Tyler Ankrum,Tyt,AISIN,21.0413226,11,20.036,26,20.132,22,20.215,9,20.354,2,20.669,1,NA,NA,NA,NA,Practice 1,5223
15,4342,Gray,Tanner Gray,Frd,Ford Performance,21.0417368,12,19.621,9,19.702,4,21.332,26,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
4,4092,Nemechek,John Hunter Nemechek,Tyt,Mobil 1,21.1392963,13,19.782,19,19.836,9,20.549,14,21.068,8,21.108,2,NA,NA,NA,NA,Practice 1,5223
45,4371,Alan #,Lawless Alan #,Chv,AUTOParkIt.com,21.1419667,14,19.8,21,20.02,18,20.608,15,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
18,4312,Smith,Chandler Smith,Tyt,Charge Me,21.1531905,15,19.735,15,19.888,14,20.059,5,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
38,4272,Smith,Zane Smith,Frd,Speedco,21.1792432,16,19.666,12,20.142,23,21.207,24,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
88,694,Crafton,Matt Crafton,Tyt,Great Lakes Flooring/Menards,21.1957273,17,19.493,5,19.776,7,20.691,16,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
33,4329,Marlar,Mike Marlar,Tyt,JDS Technologies Inc,21.2223269,18,19.728,14,19.882,13,20.104,6,20.496,4,NA,NA,NA,NA,NA,NA,Practice 1,5223
91,4344,Howard,Colby Howard,Chv,Gates Hydraulics,21.2484848,19,19.794,20,19.902,15,20.254,11,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
20,3873,Dillon(i),Austin Dillon(i),Chv,K&L Ready Mix,21.2696471,20,19.937,23,20.095,19,20.254,10,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
51,4428,Kofoid,Buddy Kofoid,Tyt,Mobil 1,21.4143704,21,20.594,33,20.889,33,20.926,20,21.39,11,NA,NA,NA,NA,NA,NA,Practice 1,5223
54,3859,Logano(i),Joey Logano(i),Frd,Planet Fitness,21.4248222,22,19.587,7,20.13,21,20.46,12,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
23,3978,Enfinger,Grant Enfinger,Chv,Champion Power Equipment,21.4295152,23,19.889,22,20.87,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
75,3914,Kligerman,Parker Kligerman,Chv,Food Country USA/Bounty,21.4350526,24,19.657,11,19.752,6,19.86,2,20.686,6,NA,NA,NA,NA,NA,NA,Practice 1,5223
22,4189,Self,Austin Wayne Self,Chv,AM Technical Solutions,21.4568444,25,20.092,27,20.171,24,20.963,22,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
61,4295,Purdy,Chase Purdy,Tyt,BAMA Buggies,21.4920286,26,20.387,32,20.618,30,21.022,23,21.008,7,21.418,3,21.401,1,NA,NA,Practice 1,5223
99,4107,Rhodes,Ben Rhodes,Tyt,Tenda,21.4974286,27,19.394,2,19.816,8,20.131,7,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
24,4391,Wood #,Jack Wood #,Chv,Chevyliners.com,21.575119,28,20.15,29,20.385,27,21.311,25,21.497,12,NA,NA,NA,NA,NA,NA,Practice 1,5223
25,3916,Dibenedetto,Matt Dibenedetto,Chv,TW Frierson/Rackley Roofing,21.6245333,29,19.717,13,19.905,16,20.846,18,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
62,4377,Friesen,Jessica Friesen,Tyt,Halmar International,21.6622593,30,20.369,31,20.476,28,20.741,17,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
12,4192,Boyd,Spencer Boyd,Chv,Rimtyme,21.7006154,31,20.66,34,21,34,21.361,27,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
9,4376,Perkins #,Blaine Perkins #,Chv,Raceline,21.7335085,32,19.955,24,20.112,20,20.884,19,21.101,9,NA,NA,NA,NA,NA,NA,Practice 1,5223
02,4191,Grala,Kaz Grala,Chv,Ruedebusch Development,21.830475,33,20.112,28,20.686,31,20.954,21,21.208,10,NA,NA,NA,NA,NA,NA,Practice 1,5223
17,4217,Burton(i),Harrison Burton(i),Frd,Hunt Brothers Pizza,21.8803611,34,20.184,30,20.483,29,21.364,28,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
6,214,Benning,Norm Benning,Chv,Circle B Diecast,21.8829,35,21.266,36,21.409,36,21.883,31,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
56,3984,Hill,Timmy Hill,Tyt,Hill Motorsports,21.9172222,36,20.662,35,21.068,35,21.601,29,NA,NA,NA,NA,NA,NA,NA,NA,Practice 1,5223
43,4382,Mcgee,Keith Mcgee,Chv,Vulcan Towing & Recovery,22.0810968,37,21.378,37,21.63,37,21.716,30,21.96,13,NA,NA,NA,NA,NA,NA,Practice 1,5223
30,4271,Fogleman,Tate Fogleman,Tyt,Rangeline Group,20.9438261,1,20.004,11,20.136,6,20.292,6,20.362,5,20.472,4,NA,NA,NA,NA,Final Practice,5223
99,4107,Rhodes,Ben Rhodes,Tyt,Tenda,20.9973387,2,19.837,2,19.973,1,20.059,1,20.131,1,20.19,1,20.268,1,20.432,1,Final Practice,5223
54,3859,Logano(i),Joey Logano(i),Frd,Planet Fitness,21.3402571,3,19.779,1,20.037,4,20.164,2,20.231,2,20.305,2,21.723,12,21.7,8,Final Practice,5223
88,694,Crafton,Matt Crafton,Tyt,Great Lakes Flooring/Menards,21.3554286,4,19.861,3,20.04,5,20.217,4,20.342,4,20.457,3,NA,NA,NA,NA,Final Practice,5223
56,3984,Hill,Timmy Hill,Tyt,Hill Motorsports,21.3970667,5,20.522,32,20.733,33,20.993,30,21.144,24,NA,NA,NA,NA,NA,NA,Final Practice,5223
02,4191,Grala,Kaz Grala,Chv,Ruedebusch Development,21.4304857,6,20.236,20,20.385,18,20.483,14,20.574,11,20.679,11,20.893,5,21.14,3,Final Practice,5223
19,4297,Kraus,Derek Kraus,Chv,NAPA AutoCare,21.4434516,7,20.093,14,20.234,11,20.492,16,20.608,13,21.3,15,21.243,9,21.306,5,Final Practice,5223
18,4312,Smith,Chandler Smith,Tyt,Charge Me,21.4662048,8,19.887,6,19.986,2,20.196,3,20.389,7,20.482,5,20.697,2,NA,NA,Final Practice,5223
4,4092,Nemechek,John Hunter Nemechek,Tyt,Mobil 1,21.5175942,9,20.342,24,20.46,23,20.8,29,20.949,21,21.497,17,21.447,11,NA,NA,Final Practice,5223
20,3873,Dillon(i),Austin Dillon(i),Chv,K&L Ready Mix,21.5302069,10,20.202,18,20.362,16,20.42,10,20.484,9,20.626,9,NA,NA,NA,NA,Final Practice,5223
91,4344,Howard,Colby Howard,Chv,Gates Hydraulics,21.5308594,11,20.089,13,20.304,13,20.487,15,20.585,12,20.695,12,20.931,6,NA,NA,Final Practice,5223
75,3914,Kligerman,Parker Kligerman,Chv,Food Country USA/Bounty,21.5461566,12,20.236,19,20.446,21,20.566,21,20.626,14,20.662,10,20.751,4,20.934,2,Final Practice,5223
98,4268,Eckes,Christian Eckes,Tyt,TSPORT/Curb Records,21.5684353,13,19.986,9,20.251,12,20.347,8,20.384,6,20.542,7,21.235,8,21.144,4,Final Practice,5223
51,4428,Kofoid,Buddy Kofoid,Tyt,Mobil 1,21.5786623,14,19.867,4,20.146,7,20.218,5,20.341,3,21.482,16,NA,NA,NA,NA,Final Practice,5223
17,4217,Burton(i),Harrison Burton(i),Frd,Hunt Brothers Pizza,21.6148824,15,20.334,23,20.398,19,20.508,19,20.642,15,22.056,21,NA,NA,NA,NA,Final Practice,5223
16,4296,Ankrum,Tyler Ankrum,Tyt,AISIN,21.6336935,16,20.284,21,20.443,20,20.519,20,21.493,26,21.661,18,NA,NA,NA,NA,Final Practice,5223
15,4342,Gray,Tanner Gray,Frd,Ford Performance,21.6473966,17,20.144,16,20.37,17,20.505,18,20.651,16,NA,NA,NA,NA,NA,NA,Final Practice,5223
12,4192,Boyd,Spencer Boyd,Chv,Rimtyme,21.6786552,18,20.328,22,20.533,26,21.354,33,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5223
33,4329,Marlar,Mike Marlar,Tyt,JDS Technologies Inc,21.7148182,19,20.537,33,20.7,32,20.996,31,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5223
40,4414,Thompson #,Dean Thompson #,Chv,Worldwide Express,21.7462982,20,20.168,17,20.35,15,20.474,13,21.263,25,22.096,22,22.172,15,NA,NA,Final Practice,5223
7,4062,Elliott(i),Chase Elliott(i),Chv,HendrickCars.com,21.7466145,21,19.882,5,19.998,3,20.372,9,20.513,10,20.617,8,21.398,10,21.403,6,Final Practice,5223
22,4189,Self,Austin Wayne Self,Chv,AM Technical Solutions,21.7927632,22,20.358,26,20.491,24,20.716,26,20.891,20,NA,NA,NA,NA,NA,NA,Final Practice,5223
42,4326,Hocevar,Carson Hocevar,Chv,Premier Security Solutions,21.8392405,23,20.008,12,20.198,9,20.332,7,21.739,28,21.728,19,21.765,13,NA,NA,Final Practice,5223
24,4391,Wood #,Jack Wood #,Chv,Chevyliners.com,21.8451538,24,20.394,28,20.453,22,20.723,27,20.963,22,21.138,14,21.176,7,21.497,7,Final Practice,5223
23,3978,Enfinger,Grant Enfinger,Chv,Champion Power Equipment,21.8488065,25,19.948,7,20.171,8,20.496,17,20.813,18,NA,NA,NA,NA,NA,NA,Final Practice,5223
61,4295,Purdy,Chase Purdy,Tyt,BAMA Buggies,21.8930189,26,20.483,30,20.57,30,20.682,25,21.874,29,NA,NA,NA,NA,NA,NA,Final Practice,5223
66,4235,Majeski,Ty Majeski,Tyt,TSPORT,21.8984459,27,19.95,8,20.326,14,20.465,11,20.482,8,20.522,6,20.72,3,NA,NA,Final Practice,5223
45,4371,Alan #,Lawless Alan #,Chv,AUTOParkIt.com,21.9072167,28,20.121,15,20.517,25,20.655,24,20.82,19,22.181,23,NA,NA,NA,NA,Final Practice,5223
52,4205,Friesen,Stewart Friesen,Tyt,Halmar International,21.9485476,29,20.576,34,20.997,35,22.027,37,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5223
25,3916,Dibenedetto,Matt Dibenedetto,Chv,TW Frierson/Rackley Roofing,21.9592979,30,20.003,10,20.233,10,20.473,12,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5223
9,4376,Perkins #,Blaine Perkins #,Chv,Raceline,22.0793636,31,20.355,25,20.536,27,20.596,22,20.764,17,20.86,13,NA,NA,NA,NA,Final Practice,5223
62,4377,Friesen,Jessica Friesen,Tyt,Halmar International,22.0908491,32,20.498,31,20.661,31,20.732,28,20.968,23,NA,NA,NA,NA,NA,NA,Final Practice,5223
49,4375,Gordon,Andrew Gordon,Tyt,Trick Shot Products/Staar Trucking,22.0993036,33,20.384,27,20.541,28,21.573,35,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5223
38,4272,Smith,Zane Smith,Frd,Speedco,22.2455789,34,20.402,29,20.57,29,20.634,23,22.225,31,NA,NA,NA,NA,NA,NA,Final Practice,5223
44,4364,Wright,Kris Wright,Chv,Big Dog Energy,22.4065738,35,20.942,36,21.16,36,21.535,34,21.712,27,21.979,20,22.111,14,22.37,9,Final Practice,5223
6,214,Benning,Norm Benning,Chv,Circle B Diecast,22.7753684,36,20.793,35,20.901,34,21.027,32,22.063,30,NA,NA,NA,NA,NA,NA,Final Practice,5223
