Number,NASCARDriverID,Driver,FullName,Manufacturer,Sponsor,OverAllAvg,OverAllAvgRank,BestLapTime,BestLapRank,Con5Lap,Con5LapRank,Con10Lap,Con10LapRank,Con15Lap,Con15LapRank,Con20Lap,Con20LapRank,Con25Lap,Con25LapRank,Con30Lap,Con30LapRank,PracticeName,race_id
38,4272,Smith,Zane Smith,Frd,RTA gigFAST,31.1653,1,30.519,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
25,3916,Dibenedetto,Matt Dibenedetto,Chv,Rackley Roofing/WAR Shocks,31.248375,2,30.6,2,30.969,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
66,4235,Majeski,Ty Majeski,Tyt,American Racing Wheels,31.2499412,3,30.913,8,31.141,2,31.273,1,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
42,4326,Hocevar,Carson Hocevar,Chv,Premier Security Solutions,31.31225,4,30.761,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
19,4297,Kraus,Derek Kraus,Chv,NAPA AutoCare,31.4003333,5,30.822,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
51,454,Busch(i),Kyle Busch(i),Tyt,Safelite,31.499,6,30.961,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
88,694,Crafton,Matt Crafton,Tyt,Ideal Door/Menards,31.5833571,7,30.787,4,31.811,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
41,4001,Chastain(i),Ross Chastain(i),Chv,Worldwide Express,31.6415333,8,30.926,9,31.602,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
15,4342,Gray,Tanner Gray,Frd,Black's Tire,31.72,9,30.851,6,32.129,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
17,4070,Preece,Ryan Preece,Frd,RaceChoice.com,31.8242143,10,31.492,23,31.69,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
98,4268,Eckes,Christian Eckes,Tyt,Curb Records,31.8711667,11,31.148,13,32.115,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
52,4205,Friesen,Stewart Friesen,Tyt,Halmar International,31.893,12,31.121,12,32.158,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
18,4312,Smith,Chandler Smith,Tyt,Safelite AutoGlass,31.9065385,13,31.469,22,32.104,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
46,4144,Poole(i),Brennan Poole(i),Tyt,Thank you Military,31.9334286,14,31.646,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
99,4107,Rhodes,Ben Rhodes,Tyt,Tenda,31.9570909,15,31.429,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
4,4092,Nemechek,John Hunter Nemechek,Tyt,Pye-Barker Fire & Safety,31.9608824,16,31.202,14,31.721,8,31.931,3,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
23,3978,Enfinger,Grant Enfinger,Chv,Champion Power Equipment,31.9655,17,30.877,7,31.888,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
44,4364,Wright,Kris Wright,Chv,F.N.B. Corporation,31.9824167,18,31.707,28,31.815,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
24,4391,Wood #,Jack Wood #,Chv,Channel Advisor,31.991,19,31.373,18,31.628,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
02,4150,Little,Jesse Little,Chv,Race City Sports Memorabilia,32.01625,20,31.406,20,32.166,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final Practice,5227
