race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,pole_winner_laptime,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,short_name
4389,1,2015,Bojangles' Southern 500,1,FALSE,4,Darlington Raceway,2015-09-06T19:00:00,2015-09-06T19:00:00,2015-09-05T00:00:00,501.32,501.322,367,367,43,1816,178.874,NA,24,11,18,89,111.993,04:28:35,5762276,"Carl Edwards won the Bojangles' Southern 500, his 25th career NASCAR Sprint Cup Series victory and first at Darlington Raceway. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 10 (backup car) and No. 25 (rear gear change).",0,MRN,NBC,442,Darlington
4385,1,2015,Food City 500 in Support of Steve Byrnes and Stand Up to Cancer,1,FALSE,14,Bristol Motor Speedway,2015-04-19T13:00:00,2015-04-19T13:00:00,2015-04-17T00:00:00,266.5,272.363,500,511,43,1810,128.632,NA,21,6,11,117,74.997,03:37:54,5628518,"Matt Kenseth won the Food City 500 in Support of Steve Byrnes at Bristol Motor Speedway, his 32nd victory in the NASCAR Sprint Cup Series and fourth at the track. Prior to the start of the race, the No. 95 dropped to the rear of the field for unapproved adjustments.",0,PRN,FOX,588,Bristol
4407,1,2015,IRWIN Tools Night Race,1,FALSE,14,Bristol Motor Speedway,2015-08-22T19:30:00,2015-08-22T19:30:00,2015-08-21T00:00:00,266.5,266.5,500,500,43,1361,131.407,NA,14,5,8,52,96.89,02:45:02,6366322,"Joey Logano won the IRWIN Tools Night Race, his 11th win in the NASCAR Sprint Cup Series and his second at Bristol Motor Speedway. No cars dropped to the rear of the field prior to the start of the race.",0,PRN,NBCSN,612,Bristol
4387,1,2015,STP 500,1,FALSE,22,Martinsville Speedway,2015-03-29T13:00:00,2015-03-29T13:00:00,2015-03-27T00:00:00,263,263,500,500,43,3859,98.461,NA,31,13,16,112,68.843,03:49:13,5075776,"Denny Hamlin won the STP 500 at Martinsville Speedway, his 25th victory in the NASCAR Sprint Cup Series and fifth at the track. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated:  #13 (transmission), #42 (driver change) and #51 (backup car).",0,MRN,FS1,12,Martinsville
4416,1,2015,Goody's Headache Relief Shot 500,1,FALSE,22,Martinsville Speedway,2015-11-01T13:15:00,2015-11-01T13:15:00,2015-10-30T00:00:00,263,263,500,500,43,3859,98.548,NA,21,9,18,109,69.643,03:46:35,5202126,"Jeff Gordon won the Goody's Headache Relief Shot 500, his 93rd career NASCAR Sprint Cup Series victory and ninth at Martinsville Speedway. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 5 and No. 14 (backup car).",0,MRN,NBCSN,6,Martinsville
4390,1,2015,Toyota Owners 400 ,1,FALSE,26,Richmond International Raceway,2015-04-25T19:00:00,2015-04-26T00:00:00,2015-04-24T00:00:00,300,300,400,400,43,3859,127.071,NA,12,5,8,53,97.157,03:05:16,5171635,"Kurt Busch won the Toyota Owners 400 at Richmond International Raceway, his 26th victory in the NASCAR Sprint Cup Series and second at the track. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #23 (driver change), #35 (transmission change), #30 (engine change).",0,MRN,FOX,1555,Richmond
4409,1,2015,Federated Auto Parts 400,1,FALSE,26,Richmond International Raceway,2015-09-12T19:30:00,2015-09-12T19:30:00,2015-09-11T00:00:00,300,300,400,400,43,3859,126.47,NA,13,4,6,47,100.353,02:59:22,5202126,"Matt Kenseth won the Federated Auto Parts 400, his 35th career NASCAR Sprint Cup Series victory.",0,MRN,NBCSN,1544,Richmond
4386,1,2015,Auto Club 400,1,FALSE,38,Auto Club Speedway,2015-03-22T15:30:00,2015-03-22T15:30:00,2015-03-20T00:00:00,400,418,200,209,43,453,185.142,NA,19,9,7,31,140.662,02:58:18,5950387,"Brad Keselowski won the Auto Club 400 at Auto Club Speedway, his 17th victory in the NASCAR Sprint Cup Series and first at the track. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated:  #55 (backup car).",0,MRN,FOX,1804,Auto Club
4410,1,2015,myAFibRisk.com 400,1,FALSE,39,Chicagoland Speedway,2015-09-20T15:00:00,2015-09-20T15:00:00,1900-01-01T00:00:00,400.5,400.5,267,267,43,0,0,NA,17,10,6,28,140.117,02:51:30,6144256,"Denny Hamlin won the myAFibRisk.com 400, his 26th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reasons indicated: No. 34 (transmission change).",0,MRN,NBCSN,1976,Chicagoland
4419,1,2015,Ford EcoBoost 400,1,FALSE,40,Homestead-Miami Speedway,2015-11-22T15:00:00,2015-11-22T15:00:00,2015-11-20T00:00:00,400.5,400.5,267,267,43,1361,176.655,NA,18,8,7,30,131.755,03:02:23,5378116,"Kyle Busch won the Ford EcoBoost 400, his 34th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars 

dropped to the rear of the field for the reason indicated: No. 38 (transmission change).",0,MRN,NBC,1887,Homestead
4392,1,2015,SpongeBob SquarePants 400,1,FALSE,41,Kansas Speedway,2015-05-09T19:30:00,2015-05-09T19:30:00,2015-05-08T00:00:00,400.5,400.5,267,267,43,3859,192.397,NA,16,10,9,49,125.265,03:11:50,5400236,"Jimmie Johnson won the SpongeBob SquarePants 400, his 73rd victory in the NASCAR Sprint Cup Series and third at the track. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FS1,3884,Kansas
4413,1,2015,Hollywood Casino 400,1,FALSE,41,Kansas Speedway,2015-10-18T14:15:00,2015-10-18T14:15:00,2015-10-16T00:00:00,400,403.5,267,269,43,1816,195.503,NA,21,9,7,39,135.732,02:58:22,6144256,"Joey Logano won the Hollywood Casino 400, his 13th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 13 (backup car).",0,MRN,NBC,1950,Kansas
4384,1,2015,Kobalt 400,1,FALSE,42,Las Vegas Motor Speedway,2015-03-08T15:30:00,2015-03-08T15:30:00,2015-03-06T00:00:00,400.5,400.5,267,267,43,1237,194.679,NA,19,10,6,28,143.677,02:47:15,6495939,"Kevin Harvick won the Kobalt 400 at Las Vegas Motor Speedway, his 29th victory in the NASCAR Sprint Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #18, 24 (backup car).",0,PRN,FOX,1824,Las Vegas
4388,1,2015,Duck Commander 500,1,FALSE,43,Texas Motor Speedway,2015-04-11T19:30:00,2015-04-11T19:30:00,2015-04-10T00:00:00,501,501,334,334,43,453,193.847,NA,29,9,8,40,140.5,03:33:57,7260922,"Jimmie Johnson won the Duck Commander 500 at Texas Motor Speedway, his 72nd victory in the NASCAR Sprint Cup Series. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated:  #31 (engine change).",0,PRN,FOX,1795,Texas
4417,1,2015,AAA Texas 500,1,FALSE,43,Texas Motor Speedway,2015-11-08T14:00:00,2015-11-08T14:00:00,2015-11-06T00:00:00,501,501,334,334,43,1816,196.929,NA,15,8,9,47,137.49,03:38:38,7075075,"Jimmie Johnson won the AAA Texas 500, his 75th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: Nos. 98 (engine change) and 14 (missed driver introductions).",0,PRN,NBC,2100,Texas
4400,1,2015,Quaker State 400 Presented by Advance Auto Parts,1,FALSE,61,Kentucky Speedway,2015-07-11T19:30:00,2015-07-11T19:30:00,2015-07-10T00:00:00,400.5,400.5,267,267,43,0,0,NA,13,8,11,49,129.402,03:05:42,5104114,"Kyle Busch won the Quaker State 400 presented by Advance Auto Parts, his 31st career NASCAR Sprint Cup Series victory. Prior to the start of the race, 
no cars dropped to the rear of the field.",0,PRN,NBCSN,3889,Kentucky
4391,1,2015,GEICO 500,1,TRUE,82,Talladega Superspeedway,2015-05-03T13:00:00,2015-05-03T13:00:00,2015-05-02T00:00:00,500,500.08,188,188,43,1237,194.793,NA,27,15,6,23,159.487,03:08:08,6183287,"Dale Earnhardt Jr. won the GEICO 500 at Talladega Superspeedway, his 24th victory in the NASCAR Sprint Cup Series. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FOX,957,Talladega
4415,1,2015,CampingWorld.com 500 at Talladega,1,TRUE,82,Talladega Superspeedway,2015-10-25T14:30:00,2015-10-25T14:30:00,2015-10-24T00:00:00,500,521.36,188,196,43,1237,194.5,NA,30,18,3,18,167.311,03:06:58,5446886,"Joey Logano won the CampingWorld.com 500, his 14th career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 10 (transmission repair), No. 14 (unapproved adjustments) and No. 51 (repairs).",0,MRN,NBCSN,937,Talladega
4383,1,2015,CampingWorld.com 500,1,FALSE,84,Phoenix International Raceway,2015-03-15T15:30:00,2015-03-15T15:30:00,2015-03-13T00:00:00,312,312,312,312,43,1416,140.751,NA,8,4,10,53,105.753,02:57:01,5107970,"Kevin Harvick won the CampingWorld.com 500 at Phoenix International Raceway, his 30th victory in the NASCAR Sprint Cup Series and seventh at Phoenix. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated:  #47 (engine change).",0,MRN,FOX,2074,Phoenix
4418,1,2015,Quicken Loans Race for Heroes 500,1,FALSE,84,Phoenix International Raceway,2015-11-15T14:30:00,2015-11-15T14:30:00,2015-11-13T00:00:00,312,219,312,219,43,1717,143.158,NA,8,7,2,29,106.512,02:03:22,5202126,"Dale Earnhardt Jr. won the Quicken Loans Race for Heroes 500, his 26th career NASCAR Sprint Cup Series victory.",0,MRN,NBCSN,1550,Phoenix
4399,1,2015,Toyota - Save Mart 350,1,FALSE,99,Sonoma Raceway,2015-06-28T15:00:00,2015-06-28T15:00:00,2015-06-27T00:00:00,218.9,218.9,110,110,43,3774,96.31,NA,9,5,5,21,74.774,02:55:39,5735702,"Kyle Busch won the Toyota/Save Mart 350, his 30th career NASCAR Sprint Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: Nos. 27, 46 (engine change).",0,PRN,FS1,1563,Sonoma
4396,1,2015,FedEx 400 Benefiting Autism Speaks,1,FALSE,103,Dover International Speedway,2015-05-31T13:00:00,2015-05-31T13:00:00,2015-05-29T00:00:00,400,405,400,405,43,1361,160.121,NA,15,9,7,40,119.547,03:23:16,5977115,"Jimmie Johnson won the FedEx 400 benefiting Autism Speaks, his 74th career NASCAR Sprint Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: No. 88 (changing rear gear).",0,MRN,FS1,922,Dover
4412,1,2015,AAA 400,1,FALSE,103,Dover International Speedway,2015-10-04T14:30:00,2015-10-04T14:30:00,1900-01-01T00:00:00,400,400,400,400,43,0,0,NA,14,3,8,43,119.87,03:20:13,5255734,"Kevin Harvick won the AAA 400, his 31st career NASCAR Sprint Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 78 (unapproved adjustments).",0,MRN,NBCSN,1038,Dover
4379,1,2015,Sprint Unlimited,2,TRUE,105,Daytona International Speedway,2015-02-14T20:00:00,2015-02-14T20:00:00,1900-01-01T00:00:00,187.5,187.5,75,75,25,0,0,NA,13,8,4,17,135.569,01:22:59,1051074,"Matt Kenseth won the Sprint Unlimited at Daytona International Speedway, his first victory in the preseason event. Prior to the start of the race, no cars dropped to the rear under penalty.",0,MRN,FOX,3222,Daytona
4380,1,2015,Budweiser Duel #1,2,TRUE,105,Daytona International Speedway,2015-02-19T19:00:00,2015-02-19T19:00:00,1900-01-01T00:00:00,150,150,60,60,25,0,0,NA,9,5,3,13,144.462,01:02:18,19809272,"Dale Earnhardt Jr. won the Budweiser Duel at Daytona #1 at Daytona International Speedway, his fourth victory in the Daytona 500 qualifying event. Prior to the start of the race, the following cars dropped to the rear of the field: #15, 23, 46 (backup car), 88 (failed post qualifying inspection).",0,MRN,FS1,3217,Daytona
4381,1,2015,Budweiser Duel #2 ,2,TRUE,105,Daytona International Speedway,2015-02-19T19:00:00,2015-02-19T19:00:00,1900-01-01T00:00:00,150,160,60,64,24,0,0,NA,7,5,3,12,144.724,01:06:20,19809272,"Jimmie Johnson won the Budweiser Duel at Daytona #2 at Daytona International Speedway, his second victory in the Daytona 500 qualifying event. Prior to the start of the race, the following cars dropped to the rear of the field: #31 (engine change) #32, 10, 26, 44 (backup car), 11 (failed post qualifying inspection).",0,MRN,FS1,3218,Daytona
4382,1,2015,Daytona 500,1,TRUE,105,Daytona International Speedway,2015-02-22T13:00:00,2015-02-22T13:00:00,2015-02-15T00:00:00,500,507.5,200,203,43,1237,201.293,NA,27,12,7,26,161.939,03:08:02,19809272,"Joey Logano won the Daytona 500 at Daytona International Speedway, his ninth victory in the NASCAR Sprint Cup Series and first Daytona 500. Prior to the start of the race, the following cars dropped to the rear of the field for the reason indicated: #18, #41 (Driver Change), #3, #6, #9, #10, #31, #32, #34, #42, #47, #83 (Backup Car).",0,MRN,FOX,385,Daytona
4401,1,2015,Coke Zero 400 Powered by Coca-Cola,1,TRUE,105,Daytona International Speedway,2015-07-05T19:45:00,2015-07-05T19:45:00,2015-07-04T00:00:00,400,402.5,160,161,43,0,0,NA,22,12,9,43,134.941,02:58:58,6343472,"Dale Earnhardt Jr. won the Coke Zero 400, his 25th career NASCAR Sprint Cup Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,NBC,408,Daytona
4408,1,2015,Folds of Honor QuikTrip 500,1,FALSE,111,Atlanta Motor Speedway,2015-03-01T13:00:00,2015-03-01T13:00:00,2015-02-27T00:00:00,500.5,500.5,325,325,43,3859,194.683,NA,28,12,10,54,131.078,03:49:06,6299292,"Jimmie Johnson won the Folds of Honor QuikTrip 500 at Atlanta Motor Speedway, his 71st victory in the NASCAR Sprint Cup Series and fourth at Atlanta. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #4 (engine change), #14 (missed driver introductions), #33 (driver change).",0,PRN,FOX,3335,Atlanta
4403,1,2015,Crown Royal Presents the Jeff Kyle 400 at the Brickyard,1,FALSE,123,Indianapolis Motor Speedway,2015-07-26T15:30:00,2015-07-26T15:30:00,2015-07-25T00:00:00,400,410,160,164,43,923,183.464,NA,16,6,9,36,131.656,03:06:51,9358657,"Kyle Busch won the Crown Royal Presents the Jeff Kyle 400 at the Brickyard, his 33rd career NASCAR Sprint Cup Series victory. Prior to the 

start of the race, no cars dropped to the rear of the field.",0,IMS,NBCSN,1716,Indy
4398,1,2015,Quicken Loans 400,1,FALSE,133,Michigan International Speedway,2015-06-14T13:00:00,2015-06-14T13:00:00,2015-06-12T00:00:00,400,276,200,138,43,1772,201.992,NA,17,11,5,38,116.688,02:21:55,5263885,"Kurt Busch won the Quicken Loans 400, his 27th career NASCAR Sprint Series victory. The race was shortened due to inclement weather. Prior to the start 
of the race, the following car dropped to the rear of the field for the reason indicated: No. 23 (engine change).",0,MRN,FS1,917,Michigan
