race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,pole_winner_laptime,short_name
4684,1,2018,TOYOTA OWNERS 400,1,FALSE,26,Richmond Raceway,2018-04-21T18:30:00,2018-04-21T18:30:00,2018-04-20T00:00:00,300,301.5,400,402,100,100,202,38,3368,123.859,16,7,6,46,96.215,03:08:01,0.511,0,"Kyle Busch won the Toyota Owners 400 at Richmond Raceway, his 46th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FOX,1555,NA,Richmond
4685,1,2018,GEICO 500,1,TRUE,82,Talladega Superspeedway,2018-04-29T14:00:00,2018-04-29T14:00:00,2018-04-28T00:00:00,500.08,500.08,188,188,55,55,78,40,1416,194.448,25,16,6,29,152.489,03:16:46,0.127,0,"Joey Logano won the GEICO 500 at Talladega Superspeedway, his 19th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 1, 13, 19 and 31 (backup car), No. 9 (unapproved tire change) and No. 10 (unapproved adjustments).",0,MRN,FOX,957,NA,Talladega
4690,1,2018,AAA 400 Drive for Autism,1,FALSE,103,Dover International Speedway,2018-05-06T14:00:00,2018-05-06T14:00:00,2018-05-04T00:00:00,400,400,400,400,120,120,160,38,4030,158.103,17,6,8,48,115.044,03:28:37,7.45,0,"Kevin Harvick won the AAA 400 Drive for Autism at Dover International Speedway, his 41st Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for reasons indicated: #72 - engine change, 3- unapproved adjustments, 88- failed pre-race inspection, 42- failed pre-race inspection.",0,MRN,FS1,922,NA,Dover
4686,1,2018,KC Masterpiece 400,1,FALSE,41,Kansas Speedway,2018-05-12T20:00:00,2018-05-12T20:00:00,2018-05-11T00:00:00,400.5,400.5,267,267,80,80,107,38,1416,188.811,13,7,6,31,128.395,02:53:38,0.39,0,"Kevin Harvick won the KC Masterpiece 400 at Kansas Speedway, his 42nd Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following car dropped to the rear of the field for the reason indicated: No. 42 (unapproved tire change).",0,MRN,FS1,3884,NA,Kansas
4688,1,2018,Monster Energy Open,2,FALSE,162,Charlotte Motor Speedway,2018-05-19T18:00:00,2018-05-19T18:00:00,2018-05-18T00:00:00,75,75,50,50,0,0,0,21,0,0,7,6,2,2,98.72,00:45:35,0.327,0,"AJ Allmendinger won the Monster Energyy Open at Charlotte Motor Speedway. his first victory in the Monster Energy NASCAR Cup Series non-points event. Prior to the start of the race, no cars dropped to the rear of the field. Stage 1 Winner: Alex Bowman; Stage 2 Winner: Daniel Suarez.",0,MRN,FS1,3690,NA,Charlotte
4687,1,2018,Monster Energy NASCAR All-Star Race,2,FALSE,162,Charlotte Motor Speedway,2018-05-19T20:00:00,2018-05-19T20:00:00,2018-05-18T00:00:00,105,139.5,70,93,0,0,0,21,1810,126.915,12,7,8,21,84.688,01:38:50,0.325,0,"Kevin Harvick won the Monster Energy NASCAR All-Star Race at Charlotte Motor Speedway, his second victory in the Monster Energy NASCAR Cup Series non-points event. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #1 (engine change).",0,MRN,FS1,3670,NA,Charlotte
4689,1,2018,Coca-Cola 600,1,FALSE,162,Charlotte Motor Speedway,2018-05-27T18:00:00,2018-05-27T18:00:00,2018-05-24T00:00:00,600,600,400,400,100,100,200,40,454,191.836,9,4,11,54,136.692,04:23:22,3.823,0,"Kyle Busch won the Coca-Cola 600 at Charlotte Motor Speedway, his 47th Monster Energy NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #00- inspection failure, 43- Unapproved adjustments.",0,PRN,FOX,447,NA,Charlotte
4691,1,2018,Pocono 400,1,FALSE,198,Pocono Raceway,2018-06-03T14:00:00,2018-06-03T14:00:00,2018-06-01T00:00:00,400,400,160,160,50,50,60,38,4023,176.897,11,7,6,23,139.535,02:52:00,2.496,0,"Martin Truex Jr. won the 37th Annual Pocono 400, his 17th victory in 455 Monster Energy NASCAR Cup Series races. No cars dropped to the rear of the field prior to the start of the race.",0,MRN,FS1,1358,NA,Pocono
4692,1,2018,FireKeepers Casino 400,1,FALSE,133,Michigan International Speedway,2018-06-10T14:00:00,2018-06-10T14:00:00,2018-06-08T00:00:00,400,266,200,133,60,60,13,39,453,203.361,9,7,8,30,132.723,02:00:15,Caution,0,"Clint Bowyer won the FireKeepers Casino 400 at Michigan International Speedway, his 10th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following car(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 11, 18, 20 (Inspection Failure).",0,MRN,FOX,917,NA,Michigan
4693,1,2018,Toyota / Save Mart 350,1,FALSE,99,Sonoma Raceway,2018-06-24T15:00:00,2018-06-24T15:00:00,2018-06-23T00:00:00,218.9,218.9,110,110,25,25,60,38,4030,94.597,11,7,3,8,82.882,02:38:28,10.513,0,"Martin Truex Jr. won the Toyota/Save Mart 350 at Sonoma Raceway, his 18th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following car dropped to the rear of the field under penalty for the reason indicated: No. 51 (unapproved adjustments).",0,PRN,FS1,1563,NA,Sonoma
