race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime,short_name
5036,1,2021,Coke Zero Sugar 400,1,TRUE,105,Daytona International Speedway,2021-08-28T19:00:00,2021-08-28T19:00:00,1900-01-01T00:00:00,2021-08-28T19:00:00,400,412.5,160,165,50,50,65,40,0,0,45,15,8,31,142.201,2:54:03,Caution,0,"Ryan Blaney won the Coke Zero Sugar 400 at Daytona International Speedway, his seventh victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicles dropped to the rear of the field under penalty: Nos. 5, 7, 15, 16 (multiple inspection failures), Nos. 34, 38 (inspection violations). ",0,MRN,NBC,408,TRUE,0,FALSE,0,-1,FALSE,4023,NA,Daytona
5078,1,2021,Cook Out Southern 500,1,FALSE,4,Darlington Raceway,2021-09-05T18:00:00,2021-09-05T18:00:00,1900-01-01T00:00:00,2021-09-05T18:00:00,501.3,501.32,367,367,115,115,137,37,0,0,18,10,11,52,121.279,4:08:01,.212,0,"Denny Hamlin won the 72nd running of the Cook Out Southern ""500"" at Darlington Raceway, his 45th victory in the NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 3 (multiple inspection failures).",0,MRN,NBCSN,442,TRUE,1,FALSE,0,-1,FALSE,1361,NA,Darlington
5079,1,2021,Federated Auto Parts 400 Salute to First Responders,1,FALSE,26,Richmond Raceway,2021-09-11T19:30:00,2021-09-11T19:30:00,1900-01-01T00:00:00,2021-09-11T19:30:00,300,300,400,400,80,155,165,37,0,0,21,8,5,30,98.307,3:03:06,1.417,0,"Martin Truex Jr. has won the Federated Auto Parts 400 Salute to First Responders at Richmond Raceway, his 31st victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 5, 41 (multiple inspection failures), No. 51 (driver change). ",0,MRN,NBCSN,1544,TRUE,1,FALSE,0,-1,FALSE,3368,NA,Richmond
5039,1,2021,Bass Pro Shops Night Race,1,FALSE,14,Bristol Motor Speedway,2021-09-18T19:30:00,2021-09-18T19:30:00,1900-01-01T00:00:00,2021-09-18T19:30:00,266.5,266.5,500,500,125,125,250,38,0,0,23,7,8,71,87.409,3:02:56,0.227,0,"Kyle Larson has won the Bass Pro Shops NRA Night Race at Bristol Motor Speedway, his 12th victory in the NASCAR Cup Series. Prior to the start of the race, no vehicles dropped to the rear of the field under penalty. ",0,PRN,NBCSN,612,TRUE,1,FALSE,0,-1,FALSE,4030,NA,Bristol
5081,1,2021,South Point 400,1,FALSE,42,Las Vegas Motor Speedway,2021-09-26T19:00:00,2021-09-26T16:00:00,1900-01-01T00:00:00,2021-09-26T19:00:00,400.5,400.5,267,267,80,80,107,38,0,0,21,10,4,21,144.643,2:46:08,0.442,0,"Denny Hamlin won the South Point 400 at Las Vegas Motor Speedway, his 46th NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reason indicated: #10, #19, #24, #66 (multiple inspection failures).",0,PRN,NBCSN,4705,TRUE,2,FALSE,0,-1,FALSE,1361,NA,Las Vegas
5082,1,2021,YellaWood 500,1,TRUE,82,Talladega Superspeedway,2021-10-03T14:00:00,2021-10-04T12:00:00,1900-01-01T00:00:00,2021-10-04T13:00:00,500.08,311.22,188,117,60,60,-3,40,0,0,35,19,5,27,130.218,2:23:24,Caution,0,"Bubba Wallace won the YellaWood 500 at Talladega Superspeedway, his first career NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #00 and 53 (Mulitple Inspection Failures) and 66 (Driver Change).",0,MRN,NBCSN,937,TRUE,2,FALSE,0,-1,FALSE,4025,NA,Talladega
5083,1,2021,Bank of America ROVAL 400,1,FALSE,210,Charlotte Motor Speedway Road Course,2021-10-10T14:00:00,2021-10-10T14:00:00,1900-01-01T00:00:00,2021-10-10T14:00:00,252.88,252.88,109,109,25,25,59,39,0,0,15,10,9,18,77.783,3:15:04,.782,0,"Kyle Larson has won the Bank of America ROVAL 400 at the Charlotte Motor Speedway Road Course, his 13th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: No. 53 (Multiple inspection failures).",0,PRN,NBC,4707,TRUE,2,FALSE,0,-1,FALSE,4030,NA,ROVAL
5044,1,2021,Autotrader EchoPark Automotive 500,1,FALSE,43,Texas Motor Speedway,2021-10-17T14:00:00,2021-10-17T13:00:00,1900-01-01T00:00:00,2021-10-17T14:00:00,501,501,334,334,105,105,124,39,0,0,8,5,11,55,134.859,3:42:54,.459,0,"Kyle Larson won the Autotrader EchoPark Automotive 500 at Texas Motor Speedway, his 14th NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reason indicated: #7, #9, #14, #15, #66 (multiple inspection failures), #48, #77 (unapproved adjustments).",0,PRN,NBC,2100,TRUE,3,FALSE,0,-1,FALSE,4030,NA,Texas
5084,1,2021,Hollywood Casino 400,1,FALSE,41,Kansas Speedway,2021-10-24T15:00:00,2021-10-24T14:00:00,1900-01-01T00:00:00,2021-10-24T15:00:00,400.5,400.5,267,267,80,80,107,40,0,0,23,8,7,33,130.728,3:03:49,3.619,0,"Kyle Larson won the Hollywood Casino 400 at Kansas Speedway, his 15th career NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 00 (Three Inspection Failures), No. 6 (Two Inspection Failures), No. 14 (Unapproved Adjustments).",0,MRN,NBCSN,1950,TRUE,3,FALSE,0,-1,FALSE,4030,NA,Kansas
5060,1,2021,Xfinity 500,1,FALSE,22,Martinsville Speedway,2021-10-31T14:00:00,2021-10-31T14:00:00,1900-01-01T00:00:00,2021-10-31T14:00:00,263,263.53,500,501,130,130,241,38,0,0,15,7,15,91,70.968,3:42:48,.472,0,"Alex Bowman has won the Xfinity 500 at Martinsville Speedway, his sixth career victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: No. 11 (Multiple Inspection Failures).",0,MRN,NBC,6,TRUE,3,FALSE,0,-1,FALSE,4045,NA,Martinsville
5087,1,2021,"NASCAR Cup Series Championship",1,FALSE,84,Phoenix Raceway,2021-11-07T15:00:00,2021-11-07T15:00:00,2021-11-07T13:00:00,2021-11-07T15:00:00,312,312,312,312,75,115,122,39,4030,137.847,18,7,9,51,100.348,3:06:33,.398,0,"Kyle Larson has won the NASCAR Cup Series Championship Race at Phoenix Raceway, his 16th career victory in the NASCAR Cup Series. Kyle Larson has won the 2021 NASCAR Cup Series Championship. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: Nos. 52, 66 (Uapproved adjustments). ",0,MRN,NBC,1550,TRUE,4,FALSE,0,-1,TRUE,4030,NA,Phoenix
