race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,winner_driver_id,pole_winner_laptime,short_name
4868,1,2020,Busch Clash at DAYTONA,2,TRUE,105,Daytona International Speedway,2020-02-09T15:00:00,2020-02-09T15:00:00,2020-02-09T15:00:00,187.5,220,75,88,0,0,0,18,2394,0,14,11,5,21,134.9,1:37:51,.697,0,"Erik Jones won the Busch Clash at Daytona International Speedway, his first victory in the non-points paying NASCAR Cup Series race.",0,MRN,FS1,3222,TRUE,0,4059,NA,Daytona
4869,1,2020,Bluegreen Vacations Duel 1 at DAYTONA,2,TRUE,105,Daytona International Speedway,2020-02-13T19:00:00,2020-02-13T19:00:00,1900-01-01T00:00:00,150,150,60,60,0,0,0,22,0,0,11,6,1,7,166.105,0:54:09,.172,0,"Joey Logano won the Bluegreen Vacations Duel 1 at Daytona International Speedway. His second victory in the NASCAR Cup Series qualifying races at Daytona. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 6 (unapproved adjustments).",0,MRN,FS1,3217,TRUE,0,3859,NA,Daytona
4870,1,2020,Bluegreen Vacations Duel 2 at DAYTONA,2,TRUE,105,Daytona International Speedway,2020-02-13T20:45:00,2020-02-13T20:45:00,2020-02-13T21:40:00,150,150,60,60,0,0,0,21,4045,0,8,5,1,5,170.994,00:52:38,.117,0,"William Byron won the Bluegreen Vacations Duel 2 at Daytona International Speedway. His first victory in the NASCAR Cup Series qualifying races at Daytona. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: #52 (transmission) and #15 (engine change). ",0,MRN,FS1,3218,TRUE,0,4184,NA,Daytona
4871,1,2020,DAYTONA 500,1,TRUE,105,Daytona International Speedway,2020-02-16T14:30:00,2020-02-17T16:00:00,2020-02-09T00:00:00,500,522.5,200,209,65,65,79,40,3888,194.582,24,13,9,39,141.11,3:42:10,Caution,0,"Denny Hamlin won the 62nd annual DAYTONA 500 at Daytona International Speedway, his 38th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 12, 32 (Backup Car), No. 15 (Engine, Muliple Inspection Failures), No. 13 (Gear), No. 11 (Multiple Inspection Failures), No. 52 (Transmission), No. 95 (Unapproved Adjustments). ",0,MRN,FOX,385,TRUE,0,1361,NA,Daytona
4873,1,2020,Pennzoil 400 presented by Jiffy Lube,1,FALSE,42,Las Vegas Motor Speedway,2020-02-23T15:30:00,2020-02-23T15:30:00,2020-02-22T00:00:00,400.5,400.5,267,267,80,80,107,38,0,0,25,8,9,37,134.861,2:58:11,Caution,0,"Joey Logano won the Pennzoil 400 at Las Vegas Motor Speedway, his 24th NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #11, 18, 95 (inspection infractions), #51 (multiple inspection failures), #15 (engine change at Daytona - single engine rule).",0,PRN,FOX,1824,TRUE,0,3859,NA,Las Vegas
4875,1,2020,Auto Club 400,1,FALSE,38,Auto Club Speedway,2020-03-01T15:30:00,2020-03-01T15:30:00,2020-03-01T15:30:00,400,400,200,200,60,60,80,38,339,179.614,16,8,3,13,152.753,2:37:07,8.904,0,"Alex Bowman won the Auto Club 400 at Auto Club Speedway, his second career NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 37 (penalty) and 47 (penalty).",0,MRN,FOX,1804,TRUE,0,4045,NA,Auto Club
4874,1,2020,FanShield 500,1,FALSE,84,Phoenix Raceway,2020-03-08T15:30:00,2020-03-08T15:30:00,2020-03-08T15:30:00,312,316,312,316,75,115,126,38,4062,138.116,20,7,12,73,94.407,3:20:50,.276,0,"Joey Logano won the FanShield 500 at Phoenix Raceway, his 25th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 19 (Engine Change), No. 38 (Radiator Change).",0,MRN,FOX,2074,TRUE,0,3859,NA,Phoenix
4967,1,2020,The Real Heroes 400,1,FALSE,4,Darlington Raceway,2020-05-17T15:30:00,2020-05-17T15:30:00,1900-01-01T00:00:00,400,400.24,293,293,90,95,108,40,0,0,11,6,10,57,115.815,3:27:21,2.154,0,"Kevin Harvick won The Real Heroes 400 at Darlington Raceway, his 50th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 18 (Multiple Inspection Failures). ",0,MRN,FOX,442,TRUE,0,1416,NA,Darlington
4968,1,2020,Toyota 500,1,FALSE,4,Darlington Raceway,2020-05-20T18:00:00,2020-05-20T19:30:00,1900-01-01T00:00:00,310.6,284.13,228,208,60,65,83,39,0,0,17,14,11,54,104.984,2:42:23,Caution,0,"Denny Hamlin won the Toyota 500 at Darlington Raceway, his 39th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 78, 32 (Multiple Inspection Failures), Nos. 27, 77 (Driver Change), No. 20 (Unapproved Adjustments).  ",0,MRN,FS1,4968,TRUE,0,1361,NA,Darlington
4885,1,2020,Coca-Cola 600,1,FALSE,162,Charlotte Motor Speedway,2020-05-24T18:00:00,2020-05-24T18:00:00,2020-05-24T18:00:00,600,607.5,400,405,100,100,100,40,453,181.269,20,11,8,52,135.042,4:29:55,.293,0,"Brad Keselowski won the 61st annual Coca-Cola 600 at Charlotte Motor Speedway, his 31st victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 21 (Back Up Car), 2, 7, 10, 66 (Unapproved Adjustments), 11 (Pitting Before Green Flag).",0,PRN,FOX,447,TRUE,0,1816,NA,Charlotte
4969,1,2020,Alsco Uniforms 500,1,FALSE,162,Charlotte Motor Speedway,2020-05-28T19:00:00,2020-05-28T20:00:00,1900-01-01T00:00:00,310.6,312,208,208,55,60,93,40,0,0,14,8,7,37,125.315,2:29:23,2.208,0,"Chase Elliott won the Alsco Uniforms 500 at Charlotte Motor Speedway, his seventh victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 10 (unapproved adjustments), Nos. 7, 77 (driver change).",0,PRN,FS1,4969,TRUE,0,4062,NA,Charlotte
4971,1,2020,Food City presents the Supermarket Heroes 500,1,FALSE,14,Bristol Motor Speedway,2020-05-31T15:30:00,2020-05-31T15:30:00,1900-01-01T00:00:00,266,266.5,500,500,125,125,250,40,0,0,21,7,17,102,80.338,3:19:02,.471,0,"Brad Keselowski won the Food City presents the SUPERMARKET HEROES 500 at Bristol Motor Speedway, his 32nd victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 27, 37 (failed pre-race inspection twice).",0,PRN,FS1,588,TRUE,0,1816,NA,Bristol
4972,1,2020,Folds of Honor QuikTrip 500,1,FALSE,111,Atlanta Motor Speedway,2020-06-07T15:00:00,2020-06-07T15:00:00,1900-01-01T00:00:00,500,500.5,325,325,105,105,115,40,0,0,21,9,5,24,142.966,3:30:03,3.527,0,"Kevin Harvick won the Folds of Honor QuikTrip 500 at Atlanta Motor Speedway, his 51st NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #41, 66 (unapproved adjustments), #1, 32, 53 (multiple inspection failures).",0,PRN,FOX,3335,TRUE,0,1416,NA,Atlanta
4973,1,2020,Blue-Emu Maximum Pain Relief 500,1,FALSE,22,Martinsville Speedway,2020-06-10T19:00:00,2020-06-10T19:00:00,1900-01-01T00:00:00,263,263,500,500,130,130,240,39,0,0,14,8,7,52,77.378,3:23:56,4.705,0,"Martin Truex Jr. won the Blue-Emu Maximum Pain Relief 500 at Martinsville Speedway, his 27th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 51 (failed pre-race inspection five times). ",0,MRN,FS1,12,TRUE,0,3368,NA,Martinsville
4974,1,2020,Dixie Vodka 400,1,FALSE,40,Homestead-Miami Speedway,2020-06-14T15:30:00,2020-06-14T15:30:00,1900-01-01T00:00:00,400,400.5,267,267,80,80,107,38,0,0,17,7,6,27,127.751,3:08:06,.895,0,"Denny Hamlin won the Dixie Vodka 400 at Homestead-Miami Speedway, his 40th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 00 (Multiple inspection failures) and No. 77 (Unapproved adjustments).",0,MRN,FOX,4974,TRUE,0,1361,NA,Homestead
4975,1,2020,GEICO 500,1,TRUE,82,Talladega Superspeedway,2020-06-22T15:00:00,2020-06-22T15:00:00,1900-01-01T00:00:00,500,508.06,188,191,60,60,71,40,0,0,57,19,8,33,146.933,3:27:28,0.007,0,"Ryan Blaney won the GEICO 500 at Talladega Superspeedway, his fourth victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 24, 78 (failed inspection 2 times), No. 51 (failed inspection 3 times), No. 62, 77, 96 (unapproved adjustments).",0,MRN,FOX,957,TRUE,0,4023,NA,Talladega
4886,1,2020,Pocono Organics 325 in partnership with Rodale Institute,1,FALSE,198,Pocono Raceway,2020-06-27T15:30:00,2020-06-27T15:30:00,1900-01-01T00:00:00,325,325,130,130,25,52,53,40,0,0,10,8,6,21,134.467,2:25:01,.761,0,"Kevin Harvick won the Pocono Organics 325 in partnership with Rodale Institute at Pocono Raceway, his 52nd NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #15 (inspection infractions), #7 (unapproved adjustments).",0,MRN,FOX,1358,TRUE,0,1416,NA,Pocono
