Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,30,25,Matt DiBenedetto,Chv,3916,1,5238,8
1,54.919,174.366,27,25,Matt DiBenedetto,Chv,3916,1,5238,1
2,52.268,183.210,34,25,Matt DiBenedetto,Chv,3916,1,5238,1
3,51.218,186.966,28,25,Matt DiBenedetto,Chv,3916,1,5238,1
4,52.316,183.042,29,25,Matt DiBenedetto,Chv,3916,1,5238,1
5,51.516,185.884,30,25,Matt DiBenedetto,Chv,3916,1,5238,1
6,51.128,187.295,30,25,Matt DiBenedetto,Chv,3916,1,5238,1
7,52.496,182.414,31,25,Matt DiBenedetto,Chv,3916,1,5238,1
8,51.889,184.548,31,25,Matt DiBenedetto,Chv,3916,1,5238,1
9,51.362,186.441,31,25,Matt DiBenedetto,Chv,3916,1,5238,1
10,52.153,183.614,32,25,Matt DiBenedetto,Chv,3916,1,5238,1
11,51.288,186.710,33,25,Matt DiBenedetto,Chv,3916,1,5238,1
12,51.263,186.801,33,25,Matt DiBenedetto,Chv,3916,1,5238,1
13,52.03,184.048,33,25,Matt DiBenedetto,Chv,3916,1,5238,1
14,51.343,186.510,32,25,Matt DiBenedetto,Chv,3916,1,5238,1
15,51.253,186.838,30,25,Matt DiBenedetto,Chv,3916,1,5238,1
16,51.089,187.438,30,25,Matt DiBenedetto,Chv,3916,1,5238,1
17,51.334,186.543,30,25,Matt DiBenedetto,Chv,3916,1,5238,1
18,51.409,186.271,30,25,Matt DiBenedetto,Chv,3916,1,5238,1
19,88.008,108.808,29,25,Matt DiBenedetto,Chv,3916,1,5238,2
20,127.458,75.131,29,25,Matt DiBenedetto,Chv,3916,1,5238,2
21,139.216,68.785,29,25,Matt DiBenedetto,Chv,3916,1,5238,2
22,138.77,69.006,29,25,Matt DiBenedetto,Chv,3916,1,5238,2
23,165.401,57.896,29,25,Matt DiBenedetto,Chv,3916,1,5238,2
