Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,18,66,Ty Majeski,Tyt,4235,1,5239,8
1,35.534,151.967,16,66,Ty Majeski,Tyt,4235,1,5239,1
2,34.138,158.181,13,66,Ty Majeski,Tyt,4235,1,5239,1
3,33.847,159.541,12,66,Ty Majeski,Tyt,4235,1,5239,1
4,34.342,157.242,11,66,Ty Majeski,Tyt,4235,1,5239,1
5,34.95,154.506,12,66,Ty Majeski,Tyt,4235,1,5239,1
6,34.61,156.024,11,66,Ty Majeski,Tyt,4235,1,5239,1
7,34.92,154.639,9,66,Ty Majeski,Tyt,4235,1,5239,1
8,34.982,154.365,9,66,Ty Majeski,Tyt,4235,1,5239,1
9,35.345,152.780,9,66,Ty Majeski,Tyt,4235,1,5239,1
10,35.323,152.875,9,66,Ty Majeski,Tyt,4235,1,5239,1
11,35.154,153.610,8,66,Ty Majeski,Tyt,4235,1,5239,1
12,35.535,151.963,8,66,Ty Majeski,Tyt,4235,1,5239,1
13,35.435,152.392,7,66,Ty Majeski,Tyt,4235,1,5239,1
14,36.601,147.537,6,66,Ty Majeski,Tyt,4235,1,5239,1
15,35.681,151.341,6,66,Ty Majeski,Tyt,4235,1,5239,1
16,35.955,150.188,6,66,Ty Majeski,Tyt,4235,1,5239,1
17,35.953,150.196,6,66,Ty Majeski,Tyt,4235,1,5239,1
18,35.876,150.518,6,66,Ty Majeski,Tyt,4235,1,5239,1
19,35.862,150.577,6,66,Ty Majeski,Tyt,4235,1,5239,1
20,36.603,147.529,5,66,Ty Majeski,Tyt,4235,1,5239,1
21,36.305,148.740,5,66,Ty Majeski,Tyt,4235,1,5239,1
22,36.222,149.081,5,66,Ty Majeski,Tyt,4235,1,5239,1
23,36.559,147.706,5,66,Ty Majeski,Tyt,4235,1,5239,1
24,36.658,147.308,5,66,Ty Majeski,Tyt,4235,1,5239,1
25,36.997,145.958,5,66,Ty Majeski,Tyt,4235,1,5239,1
26,36.77,146.859,4,66,Ty Majeski,Tyt,4235,1,5239,1
27,36.884,146.405,4,66,Ty Majeski,Tyt,4235,1,5239,1
28,36.536,147.799,4,66,Ty Majeski,Tyt,4235,1,5239,1
29,36.877,146.433,4,66,Ty Majeski,Tyt,4235,1,5239,1
30,36.745,146.959,4,66,Ty Majeski,Tyt,4235,1,5239,1
31,49.148,109.872,4,66,Ty Majeski,Tyt,4235,1,5239,2
32,87.725,61.556,4,66,Ty Majeski,Tyt,4235,1,5239,2
33,98.855,54.625,2,66,Ty Majeski,Tyt,4235,1,5239,2
34,100.353,53.810,5,66,Ty Majeski,Tyt,4235,1,5239,2
35,97.545,55.359,5,66,Ty Majeski,Tyt,4235,1,5239,2
36,94.554,57.110,5,66,Ty Majeski,Tyt,4235,1,5239,1
37,35.23,153.278,4,66,Ty Majeski,Tyt,4235,1,5239,1
38,33.606,160.686,4,66,Ty Majeski,Tyt,4235,1,5239,1
