Lap,LapTime,LapSpeed,RunningPos,Number,FullName,Manufacturer,NASCARDriverID,Finish,race_id,FlagState
0,NA,NA,4,38,Zane Smith,Frd,4272,1,5225,8
1,34.208,157.858,3,38,Zane Smith,Frd,4272,1,5225,1
2,30.985,174.278,2,38,Zane Smith,Frd,4272,1,5225,1
3,31.432,171.799,2,38,Zane Smith,Frd,4272,1,5225,1
4,31.38,172.084,1,38,Zane Smith,Frd,4272,1,5225,1
5,31.438,171.767,1,38,Zane Smith,Frd,4272,1,5225,1
6,31.592,170.929,1,38,Zane Smith,Frd,4272,1,5225,1
7,31.535,171.238,1,38,Zane Smith,Frd,4272,1,5225,1
8,31.56,171.103,1,38,Zane Smith,Frd,4272,1,5225,1
9,31.508,171.385,1,38,Zane Smith,Frd,4272,1,5225,1
10,31.667,170.525,1,38,Zane Smith,Frd,4272,1,5225,1
11,31.788,169.875,1,38,Zane Smith,Frd,4272,1,5225,1
12,31.822,169.694,1,38,Zane Smith,Frd,4272,1,5225,1
13,31.909,169.231,1,38,Zane Smith,Frd,4272,1,5225,1
14,32.121,168.114,1,38,Zane Smith,Frd,4272,1,5225,1
15,32.392,166.708,1,38,Zane Smith,Frd,4272,1,5225,1
16,32.463,166.343,1,38,Zane Smith,Frd,4272,1,5225,1
17,32.408,166.626,1,38,Zane Smith,Frd,4272,1,5225,1
18,32.677,165.254,1,38,Zane Smith,Frd,4272,1,5225,1
19,32.634,165.472,1,38,Zane Smith,Frd,4272,1,5225,1
20,32.782,164.725,1,38,Zane Smith,Frd,4272,1,5225,1
21,33.288,162.221,1,38,Zane Smith,Frd,4272,1,5225,1
22,33.372,161.812,2,38,Zane Smith,Frd,4272,1,5225,1
23,33.639,160.528,2,38,Zane Smith,Frd,4272,1,5225,1
24,33.403,161.662,2,38,Zane Smith,Frd,4272,1,5225,1
25,33.156,162.866,2,38,Zane Smith,Frd,4272,1,5225,1
26,33.179,162.754,2,38,Zane Smith,Frd,4272,1,5225,1
27,33.231,162.499,2,38,Zane Smith,Frd,4272,1,5225,1
28,33.469,161.343,2,38,Zane Smith,Frd,4272,1,5225,1
29,34.025,158.707,2,38,Zane Smith,Frd,4272,1,5225,1
30,34.167,158.047,3,38,Zane Smith,Frd,4272,1,5225,1
31,43.327,124.634,3,38,Zane Smith,Frd,4272,1,5225,2
32,86.738,62.256,3,38,Zane Smith,Frd,4272,1,5225,2
33,100.231,53.876,2,38,Zane Smith,Frd,4272,1,5225,2
34,105.721,51.078,3,38,Zane Smith,Frd,4272,1,5225,2
35,98.429,54.862,3,38,Zane Smith,Frd,4272,1,5225,2
36,103.909,51.969,2,38,Zane Smith,Frd,4272,1,5225,1
37,34.088,158.414,2,38,Zane Smith,Frd,4272,1,5225,1
38,30.9,174.757,1,38,Zane Smith,Frd,4272,1,5225,1
39,31.262,172.734,1,38,Zane Smith,Frd,4272,1,5225,1
40,31.453,171.685,1,38,Zane Smith,Frd,4272,1,5225,1
41,31.484,171.516,1,38,Zane Smith,Frd,4272,1,5225,1
42,31.575,171.021,1,38,Zane Smith,Frd,4272,1,5225,1
43,31.551,171.151,1,38,Zane Smith,Frd,4272,1,5225,1
44,31.73,170.186,1,38,Zane Smith,Frd,4272,1,5225,1
45,31.773,169.956,1,38,Zane Smith,Frd,4272,1,5225,1
46,31.789,169.870,1,38,Zane Smith,Frd,4272,1,5225,1
47,31.869,169.444,1,38,Zane Smith,Frd,4272,1,5225,1
48,32.038,168.550,1,38,Zane Smith,Frd,4272,1,5225,1
49,32.305,167.157,1,38,Zane Smith,Frd,4272,1,5225,1
50,32.191,167.749,1,38,Zane Smith,Frd,4272,1,5225,1
51,32.246,167.463,1,38,Zane Smith,Frd,4272,1,5225,1
52,32.412,166.605,1,38,Zane Smith,Frd,4272,1,5225,1
53,32.421,166.559,1,38,Zane Smith,Frd,4272,1,5225,1
54,32.503,166.139,1,38,Zane Smith,Frd,4272,1,5225,1
55,32.671,165.284,1,38,Zane Smith,Frd,4272,1,5225,1
56,32.638,165.451,1,38,Zane Smith,Frd,4272,1,5225,1
57,33.046,163.409,1,38,Zane Smith,Frd,4272,1,5225,1
58,33.018,163.547,1,38,Zane Smith,Frd,4272,1,5225,1
59,33.041,163.433,1,38,Zane Smith,Frd,4272,1,5225,1
60,33.329,162.021,1,38,Zane Smith,Frd,4272,1,5225,1
61,49.464,109.170,1,38,Zane Smith,Frd,4272,1,5225,2
62,91.85,58.792,1,38,Zane Smith,Frd,4272,1,5225,2
63,102.148,52.864,1,38,Zane Smith,Frd,4272,1,5225,2
64,104.581,51.635,2,38,Zane Smith,Frd,4272,1,5225,2
65,101.932,52.976,2,38,Zane Smith,Frd,4272,1,5225,2
66,100.485,53.739,2,38,Zane Smith,Frd,4272,1,5225,2
67,98.522,54.810,2,38,Zane Smith,Frd,4272,1,5225,1
68,33.945,159.081,1,38,Zane Smith,Frd,4272,1,5225,1
69,31.224,172.944,1,38,Zane Smith,Frd,4272,1,5225,1
70,31.367,172.155,1,38,Zane Smith,Frd,4272,1,5225,1
71,31.449,171.707,1,38,Zane Smith,Frd,4272,1,5225,1
72,31.511,171.369,1,38,Zane Smith,Frd,4272,1,5225,1
73,31.538,171.222,1,38,Zane Smith,Frd,4272,1,5225,1
74,31.619,170.783,1,38,Zane Smith,Frd,4272,1,5225,1
75,31.681,170.449,1,38,Zane Smith,Frd,4272,1,5225,1
76,31.754,170.057,1,38,Zane Smith,Frd,4272,1,5225,1
77,31.874,169.417,1,38,Zane Smith,Frd,4272,1,5225,1
78,32.044,168.518,1,38,Zane Smith,Frd,4272,1,5225,1
79,31.983,168.840,1,38,Zane Smith,Frd,4272,1,5225,1
80,32.131,168.062,1,38,Zane Smith,Frd,4272,1,5225,1
81,32.154,167.942,1,38,Zane Smith,Frd,4272,1,5225,1
82,32.148,167.973,1,38,Zane Smith,Frd,4272,1,5225,1
83,32.267,167.354,1,38,Zane Smith,Frd,4272,1,5225,1
84,32.322,167.069,1,38,Zane Smith,Frd,4272,1,5225,1
85,32.497,166.169,1,38,Zane Smith,Frd,4272,1,5225,1
86,32.426,166.533,1,38,Zane Smith,Frd,4272,1,5225,1
87,32.283,167.271,1,38,Zane Smith,Frd,4272,1,5225,1
88,32.302,167.172,1,38,Zane Smith,Frd,4272,1,5225,1
89,32.512,166.093,1,38,Zane Smith,Frd,4272,1,5225,1
90,32.59,165.695,1,38,Zane Smith,Frd,4272,1,5225,1
91,42.93,125.786,1,38,Zane Smith,Frd,4272,1,5225,2
92,92.388,58.449,1,38,Zane Smith,Frd,4272,1,5225,2
93,108.499,49.770,2,38,Zane Smith,Frd,4272,1,5225,2
94,98.275,54.948,2,38,Zane Smith,Frd,4272,1,5225,2
95,100.327,53.824,2,38,Zane Smith,Frd,4272,1,5225,1
96,33.822,159.659,1,38,Zane Smith,Frd,4272,1,5225,1
97,31.068,173.812,1,38,Zane Smith,Frd,4272,1,5225,1
98,31.243,172.839,1,38,Zane Smith,Frd,4272,1,5225,1
99,31.343,172.287,1,38,Zane Smith,Frd,4272,1,5225,1
100,31.515,171.347,1,38,Zane Smith,Frd,4272,1,5225,1
101,31.719,170.245,1,38,Zane Smith,Frd,4272,1,5225,1
102,31.687,170.417,1,38,Zane Smith,Frd,4272,1,5225,1
103,31.756,170.047,1,38,Zane Smith,Frd,4272,1,5225,1
104,31.888,169.343,1,38,Zane Smith,Frd,4272,1,5225,1
105,32.065,168.408,1,38,Zane Smith,Frd,4272,1,5225,1
106,32.113,168.156,1,38,Zane Smith,Frd,4272,1,5225,1
107,32.218,167.608,1,38,Zane Smith,Frd,4272,1,5225,1
108,32.105,168.198,1,38,Zane Smith,Frd,4272,1,5225,1
109,32.384,166.749,1,38,Zane Smith,Frd,4272,1,5225,1
110,32.137,168.031,1,38,Zane Smith,Frd,4272,1,5225,1
111,32.233,167.530,1,38,Zane Smith,Frd,4272,1,5225,1
112,32.527,166.016,1,38,Zane Smith,Frd,4272,1,5225,1
113,32.555,165.873,1,38,Zane Smith,Frd,4272,1,5225,1
114,32.652,165.380,1,38,Zane Smith,Frd,4272,1,5225,1
115,32.628,165.502,1,38,Zane Smith,Frd,4272,1,5225,1
116,32.444,166.441,1,38,Zane Smith,Frd,4272,1,5225,1
117,32.6,165.644,1,38,Zane Smith,Frd,4272,1,5225,1
118,32.722,165.027,1,38,Zane Smith,Frd,4272,1,5225,1
119,32.86,164.334,1,38,Zane Smith,Frd,4272,1,5225,1
120,32.792,164.674,1,38,Zane Smith,Frd,4272,1,5225,1
121,32.741,164.931,1,38,Zane Smith,Frd,4272,1,5225,1
122,41.887,128.918,1,38,Zane Smith,Frd,4272,1,5225,2
123,90.282,59.813,1,38,Zane Smith,Frd,4272,1,5225,2
124,101.386,53.262,1,38,Zane Smith,Frd,4272,1,5225,2
125,104.002,51.922,1,38,Zane Smith,Frd,4272,1,5225,2
126,115.625,46.703,1,38,Zane Smith,Frd,4272,1,5225,1
127,34.189,157.946,1,38,Zane Smith,Frd,4272,1,5225,1
128,31.667,170.525,1,38,Zane Smith,Frd,4272,1,5225,1
129,31.719,170.245,1,38,Zane Smith,Frd,4272,1,5225,1
130,31.953,168.998,1,38,Zane Smith,Frd,4272,1,5225,1
131,31.997,168.766,1,38,Zane Smith,Frd,4272,1,5225,1
132,32.092,168.266,1,38,Zane Smith,Frd,4272,1,5225,1
133,32.26,167.390,1,38,Zane Smith,Frd,4272,1,5225,1
134,32.588,165.705,1,38,Zane Smith,Frd,4272,1,5225,4
0,NA,NA,3,66,Ty Majeski,Tyt,4235,2,5225,8
1,34.201,157.890,4,66,Ty Majeski,Tyt,4235,2,5225,1
2,31.524,171.298,4,66,Ty Majeski,Tyt,4235,2,5225,1
3,31.538,171.222,3,66,Ty Majeski,Tyt,4235,2,5225,1
4,31.782,169.907,4,66,Ty Majeski,Tyt,4235,2,5225,1
5,31.723,170.223,4,66,Ty Majeski,Tyt,4235,2,5225,1
6,31.539,171.217,4,66,Ty Majeski,Tyt,4235,2,5225,1
7,31.587,170.956,4,66,Ty Majeski,Tyt,4235,2,5225,1
8,31.928,169.131,4,66,Ty Majeski,Tyt,4235,2,5225,1
9,32,168.750,4,66,Ty Majeski,Tyt,4235,2,5225,1
10,31.78,169.918,3,66,Ty Majeski,Tyt,4235,2,5225,1
11,31.979,168.861,3,66,Ty Majeski,Tyt,4235,2,5225,1
12,32.214,167.629,3,66,Ty Majeski,Tyt,4235,2,5225,1
13,32.621,165.538,3,66,Ty Majeski,Tyt,4235,2,5225,1
14,32.314,167.110,3,66,Ty Majeski,Tyt,4235,2,5225,1
15,32.443,166.446,3,66,Ty Majeski,Tyt,4235,2,5225,1
16,32.555,165.873,3,66,Ty Majeski,Tyt,4235,2,5225,1
17,32.571,165.792,3,66,Ty Majeski,Tyt,4235,2,5225,1
18,32.646,165.411,3,66,Ty Majeski,Tyt,4235,2,5225,1
19,32.647,165.406,3,66,Ty Majeski,Tyt,4235,2,5225,1
20,32.647,165.406,3,66,Ty Majeski,Tyt,4235,2,5225,1
21,32.69,165.188,3,66,Ty Majeski,Tyt,4235,2,5225,1
22,32.748,164.896,3,66,Ty Majeski,Tyt,4235,2,5225,1
23,32.926,164.004,3,66,Ty Majeski,Tyt,4235,2,5225,1
24,32.908,164.094,3,66,Ty Majeski,Tyt,4235,2,5225,1
25,33.01,163.587,3,66,Ty Majeski,Tyt,4235,2,5225,1
26,32.906,164.104,3,66,Ty Majeski,Tyt,4235,2,5225,1
27,33.077,163.255,3,66,Ty Majeski,Tyt,4235,2,5225,1
28,32.996,163.656,3,66,Ty Majeski,Tyt,4235,2,5225,1
29,33.487,161.257,3,66,Ty Majeski,Tyt,4235,2,5225,1
30,33.859,159.485,2,66,Ty Majeski,Tyt,4235,2,5225,1
31,42.591,126.787,2,66,Ty Majeski,Tyt,4235,2,5225,2
32,87.323,61.839,2,66,Ty Majeski,Tyt,4235,2,5225,2
33,100.416,53.776,1,66,Ty Majeski,Tyt,4235,2,5225,2
34,109.595,49.272,8,66,Ty Majeski,Tyt,4235,2,5225,2
35,98.666,54.730,8,66,Ty Majeski,Tyt,4235,2,5225,2
36,100.492,53.736,7,66,Ty Majeski,Tyt,4235,2,5225,1
37,34.295,157.457,7,66,Ty Majeski,Tyt,4235,2,5225,1
38,32.229,167.551,6,66,Ty Majeski,Tyt,4235,2,5225,1
39,31.83,169.651,6,66,Ty Majeski,Tyt,4235,2,5225,1
40,31.685,170.428,6,66,Ty Majeski,Tyt,4235,2,5225,1
41,31.835,169.625,6,66,Ty Majeski,Tyt,4235,2,5225,1
42,31.984,168.834,6,66,Ty Majeski,Tyt,4235,2,5225,1
43,32.131,168.062,6,66,Ty Majeski,Tyt,4235,2,5225,1
44,32.344,166.955,6,66,Ty Majeski,Tyt,4235,2,5225,1
45,32.299,167.188,6,66,Ty Majeski,Tyt,4235,2,5225,1
46,32.201,167.697,6,66,Ty Majeski,Tyt,4235,2,5225,1
47,32.402,166.656,6,66,Ty Majeski,Tyt,4235,2,5225,1
48,32.416,166.584,5,66,Ty Majeski,Tyt,4235,2,5225,1
49,32.364,166.852,5,66,Ty Majeski,Tyt,4235,2,5225,1
50,32.528,166.011,5,66,Ty Majeski,Tyt,4235,2,5225,1
51,32.715,165.062,5,66,Ty Majeski,Tyt,4235,2,5225,1
52,32.627,165.507,5,66,Ty Majeski,Tyt,4235,2,5225,1
53,33.04,163.438,5,66,Ty Majeski,Tyt,4235,2,5225,1
54,32.59,165.695,5,66,Ty Majeski,Tyt,4235,2,5225,1
55,32.928,163.994,4,66,Ty Majeski,Tyt,4235,2,5225,1
56,32.843,164.419,4,66,Ty Majeski,Tyt,4235,2,5225,1
57,32.636,165.461,4,66,Ty Majeski,Tyt,4235,2,5225,1
58,32.83,164.484,4,66,Ty Majeski,Tyt,4235,2,5225,1
59,33.038,163.448,4,66,Ty Majeski,Tyt,4235,2,5225,1
60,33.19,162.700,4,66,Ty Majeski,Tyt,4235,2,5225,1
61,51.03,105.820,4,66,Ty Majeski,Tyt,4235,2,5225,2
62,85.771,62.958,4,66,Ty Majeski,Tyt,4235,2,5225,2
63,100.034,53.982,3,66,Ty Majeski,Tyt,4235,2,5225,2
64,104.426,51.711,4,66,Ty Majeski,Tyt,4235,2,5225,2
65,101.906,52.990,4,66,Ty Majeski,Tyt,4235,2,5225,2
66,100.457,53.754,4,66,Ty Majeski,Tyt,4235,2,5225,2
67,97.45,55.413,4,66,Ty Majeski,Tyt,4235,2,5225,1
68,34.471,156.653,6,66,Ty Majeski,Tyt,4235,2,5225,1
69,32.041,168.534,7,66,Ty Majeski,Tyt,4235,2,5225,1
70,31.891,169.327,7,66,Ty Majeski,Tyt,4235,2,5225,1
71,31.712,170.283,6,66,Ty Majeski,Tyt,4235,2,5225,1
72,31.573,171.032,6,66,Ty Majeski,Tyt,4235,2,5225,1
73,31.903,169.263,6,66,Ty Majeski,Tyt,4235,2,5225,1
74,31.958,168.972,5,66,Ty Majeski,Tyt,4235,2,5225,1
75,32.078,168.340,5,66,Ty Majeski,Tyt,4235,2,5225,1
76,32.219,167.603,5,66,Ty Majeski,Tyt,4235,2,5225,1
77,32.004,168.729,5,66,Ty Majeski,Tyt,4235,2,5225,1
78,32.255,167.416,5,66,Ty Majeski,Tyt,4235,2,5225,1
79,32.373,166.806,5,66,Ty Majeski,Tyt,4235,2,5225,1
80,32.39,166.718,5,66,Ty Majeski,Tyt,4235,2,5225,1
81,32.34,166.976,4,66,Ty Majeski,Tyt,4235,2,5225,1
82,32.301,167.177,4,66,Ty Majeski,Tyt,4235,2,5225,1
83,32.472,166.297,4,66,Ty Majeski,Tyt,4235,2,5225,1
84,32.536,165.970,4,66,Ty Majeski,Tyt,4235,2,5225,1
85,32.349,166.929,4,66,Ty Majeski,Tyt,4235,2,5225,1
86,32.647,165.406,4,66,Ty Majeski,Tyt,4235,2,5225,1
87,32.598,165.654,3,66,Ty Majeski,Tyt,4235,2,5225,1
88,32.774,164.765,3,66,Ty Majeski,Tyt,4235,2,5225,1
89,32.568,165.807,3,66,Ty Majeski,Tyt,4235,2,5225,1
90,32.59,165.695,3,66,Ty Majeski,Tyt,4235,2,5225,1
91,41.772,129.273,3,66,Ty Majeski,Tyt,4235,2,5225,2
92,87.84,61.475,2,66,Ty Majeski,Tyt,4235,2,5225,2
93,110.109,49.042,6,66,Ty Majeski,Tyt,4235,2,5225,2
94,98.664,54.731,6,66,Ty Majeski,Tyt,4235,2,5225,2
95,97.638,55.306,5,66,Ty Majeski,Tyt,4235,2,5225,1
96,34.654,155.826,7,66,Ty Majeski,Tyt,4235,2,5225,1
97,31.887,169.348,6,66,Ty Majeski,Tyt,4235,2,5225,1
98,31.972,168.898,6,66,Ty Majeski,Tyt,4235,2,5225,1
99,31.769,169.977,5,66,Ty Majeski,Tyt,4235,2,5225,1
100,31.9,169.279,5,66,Ty Majeski,Tyt,4235,2,5225,1
101,31.84,169.598,4,66,Ty Majeski,Tyt,4235,2,5225,1
102,32.088,168.287,4,66,Ty Majeski,Tyt,4235,2,5225,1
103,32.137,168.031,4,66,Ty Majeski,Tyt,4235,2,5225,1
104,32.101,168.219,3,66,Ty Majeski,Tyt,4235,2,5225,1
105,32.478,166.266,3,66,Ty Majeski,Tyt,4235,2,5225,1
106,32.52,166.052,3,66,Ty Majeski,Tyt,4235,2,5225,1
107,32.556,165.868,3,66,Ty Majeski,Tyt,4235,2,5225,1
108,32.464,166.338,3,66,Ty Majeski,Tyt,4235,2,5225,1
109,32.741,164.931,3,66,Ty Majeski,Tyt,4235,2,5225,1
110,32.477,166.272,3,66,Ty Majeski,Tyt,4235,2,5225,1
111,32.786,164.704,3,66,Ty Majeski,Tyt,4235,2,5225,1
112,32.41,166.615,3,66,Ty Majeski,Tyt,4235,2,5225,1
113,32.819,164.539,3,66,Ty Majeski,Tyt,4235,2,5225,1
114,32.601,165.639,3,66,Ty Majeski,Tyt,4235,2,5225,1
115,32.583,165.731,3,66,Ty Majeski,Tyt,4235,2,5225,1
116,32.735,164.961,3,66,Ty Majeski,Tyt,4235,2,5225,1
117,32.775,164.760,3,66,Ty Majeski,Tyt,4235,2,5225,1
118,32.693,165.173,3,66,Ty Majeski,Tyt,4235,2,5225,1
119,32.801,164.629,3,66,Ty Majeski,Tyt,4235,2,5225,1
120,32.944,163.915,3,66,Ty Majeski,Tyt,4235,2,5225,1
121,32.898,164.144,3,66,Ty Majeski,Tyt,4235,2,5225,1
122,42.885,125.918,3,66,Ty Majeski,Tyt,4235,2,5225,2
123,84.453,63.941,3,66,Ty Majeski,Tyt,4235,2,5225,2
124,99.207,54.432,3,66,Ty Majeski,Tyt,4235,2,5225,2
125,104.301,51.773,3,66,Ty Majeski,Tyt,4235,2,5225,2
126,114.52,47.153,2,66,Ty Majeski,Tyt,4235,2,5225,1
127,34.253,157.650,2,66,Ty Majeski,Tyt,4235,2,5225,1
128,31.711,170.288,2,66,Ty Majeski,Tyt,4235,2,5225,1
129,31.812,169.747,2,66,Ty Majeski,Tyt,4235,2,5225,1
130,32.238,167.504,2,66,Ty Majeski,Tyt,4235,2,5225,1
131,32.178,167.817,2,66,Ty Majeski,Tyt,4235,2,5225,1
132,32.321,167.074,2,66,Ty Majeski,Tyt,4235,2,5225,1
133,32.528,166.011,2,66,Ty Majeski,Tyt,4235,2,5225,1
134,32.871,164.279,2,66,Ty Majeski,Tyt,4235,2,5225,4
0,NA,NA,21,23,Grant Enfinger,Chv,3978,3,5225,8
1,34.733,155.472,18,23,Grant Enfinger,Chv,3978,3,5225,1
2,32.814,164.564,19,23,Grant Enfinger,Chv,3978,3,5225,1
3,32.653,165.375,19,23,Grant Enfinger,Chv,3978,3,5225,1
4,32.212,167.639,19,23,Grant Enfinger,Chv,3978,3,5225,1
5,32.281,167.281,19,23,Grant Enfinger,Chv,3978,3,5225,1
6,32.775,164.760,19,23,Grant Enfinger,Chv,3978,3,5225,1
7,32.736,164.956,19,23,Grant Enfinger,Chv,3978,3,5225,1
8,32.879,164.239,19,23,Grant Enfinger,Chv,3978,3,5225,1
9,32.767,164.800,19,23,Grant Enfinger,Chv,3978,3,5225,1
10,33.006,163.607,20,23,Grant Enfinger,Chv,3978,3,5225,1
11,32.813,164.569,20,23,Grant Enfinger,Chv,3978,3,5225,1
12,32.885,164.209,20,23,Grant Enfinger,Chv,3978,3,5225,1
13,33.455,161.411,19,23,Grant Enfinger,Chv,3978,3,5225,1
14,32.743,164.921,19,23,Grant Enfinger,Chv,3978,3,5225,1
15,33.061,163.334,19,23,Grant Enfinger,Chv,3978,3,5225,1
16,32.891,164.179,18,23,Grant Enfinger,Chv,3978,3,5225,1
17,32.977,163.750,18,23,Grant Enfinger,Chv,3978,3,5225,1
18,32.944,163.915,18,23,Grant Enfinger,Chv,3978,3,5225,1
19,32.902,164.124,18,23,Grant Enfinger,Chv,3978,3,5225,1
20,33.033,163.473,18,23,Grant Enfinger,Chv,3978,3,5225,1
21,33.383,161.759,18,23,Grant Enfinger,Chv,3978,3,5225,1
22,32.996,163.656,18,23,Grant Enfinger,Chv,3978,3,5225,1
23,33.606,160.686,18,23,Grant Enfinger,Chv,3978,3,5225,1
24,34.009,158.781,18,23,Grant Enfinger,Chv,3978,3,5225,1
25,33.465,161.363,18,23,Grant Enfinger,Chv,3978,3,5225,1
26,33.176,162.768,18,23,Grant Enfinger,Chv,3978,3,5225,1
27,33.344,161.948,18,23,Grant Enfinger,Chv,3978,3,5225,1
28,33.728,160.104,18,23,Grant Enfinger,Chv,3978,3,5225,1
29,33.7,160.237,18,23,Grant Enfinger,Chv,3978,3,5225,1
30,34.249,157.669,18,23,Grant Enfinger,Chv,3978,3,5225,1
31,59.189,91.233,17,23,Grant Enfinger,Chv,3978,3,5225,2
32,65.477,82.472,17,23,Grant Enfinger,Chv,3978,3,5225,2
33,92.969,58.084,10,23,Grant Enfinger,Chv,3978,3,5225,2
34,107.02,50.458,16,23,Grant Enfinger,Chv,3978,3,5225,2
35,99.993,54.004,16,23,Grant Enfinger,Chv,3978,3,5225,2
36,94.838,56.939,18,23,Grant Enfinger,Chv,3978,3,5225,1
37,34.523,156.417,18,23,Grant Enfinger,Chv,3978,3,5225,1
38,32.771,164.780,18,23,Grant Enfinger,Chv,3978,3,5225,1
39,32.729,164.991,19,23,Grant Enfinger,Chv,3978,3,5225,1
40,32.987,163.701,19,23,Grant Enfinger,Chv,3978,3,5225,1
41,32.753,164.870,18,23,Grant Enfinger,Chv,3978,3,5225,1
42,32.943,163.919,18,23,Grant Enfinger,Chv,3978,3,5225,1
43,33.141,162.940,18,23,Grant Enfinger,Chv,3978,3,5225,1
44,32.752,164.875,18,23,Grant Enfinger,Chv,3978,3,5225,1
45,32.938,163.944,18,23,Grant Enfinger,Chv,3978,3,5225,1
46,32.993,163.671,17,23,Grant Enfinger,Chv,3978,3,5225,1
47,33.375,161.798,18,23,Grant Enfinger,Chv,3978,3,5225,1
48,32.906,164.104,18,23,Grant Enfinger,Chv,3978,3,5225,1
49,33.113,163.078,18,23,Grant Enfinger,Chv,3978,3,5225,1
50,32.999,163.641,18,23,Grant Enfinger,Chv,3978,3,5225,1
51,33.224,162.533,18,23,Grant Enfinger,Chv,3978,3,5225,1
52,33.48,161.290,18,23,Grant Enfinger,Chv,3978,3,5225,1
53,33.048,163.399,18,23,Grant Enfinger,Chv,3978,3,5225,1
54,33.192,162.690,18,23,Grant Enfinger,Chv,3978,3,5225,1
55,33.315,162.089,18,23,Grant Enfinger,Chv,3978,3,5225,1
56,33.408,161.638,18,23,Grant Enfinger,Chv,3978,3,5225,1
57,33.305,162.138,18,23,Grant Enfinger,Chv,3978,3,5225,1
58,33.162,162.837,18,23,Grant Enfinger,Chv,3978,3,5225,1
59,33.281,162.255,18,23,Grant Enfinger,Chv,3978,3,5225,1
60,33.657,160.442,18,23,Grant Enfinger,Chv,3978,3,5225,1
61,52.974,101.937,18,23,Grant Enfinger,Chv,3978,3,5225,2
62,78.062,69.176,18,23,Grant Enfinger,Chv,3978,3,5225,2
63,96.021,56.238,11,23,Grant Enfinger,Chv,3978,3,5225,2
64,104.267,51.790,13,23,Grant Enfinger,Chv,3978,3,5225,2
65,100.487,53.738,12,23,Grant Enfinger,Chv,3978,3,5225,2
66,101.751,53.071,12,23,Grant Enfinger,Chv,3978,3,5225,2
67,92.378,58.455,13,23,Grant Enfinger,Chv,3978,3,5225,1
68,34.361,157.155,14,23,Grant Enfinger,Chv,3978,3,5225,1
69,32.999,163.641,15,23,Grant Enfinger,Chv,3978,3,5225,1
70,32.565,165.822,14,23,Grant Enfinger,Chv,3978,3,5225,1
71,32.436,166.482,14,23,Grant Enfinger,Chv,3978,3,5225,1
72,32.41,166.615,14,23,Grant Enfinger,Chv,3978,3,5225,1
73,32.341,166.971,14,23,Grant Enfinger,Chv,3978,3,5225,1
74,32.697,165.153,15,23,Grant Enfinger,Chv,3978,3,5225,1
75,33.004,163.617,15,23,Grant Enfinger,Chv,3978,3,5225,1
76,32.932,163.974,16,23,Grant Enfinger,Chv,3978,3,5225,1
